Specific Domains	Type	Type	Type	Type	Type	Type
Cycling	Sporting Activity	Activity	Contest	Struggle		
Dadaism	Art	Art Genre	Genre			
Dancing	Artistic Activity	Specialist Activity	Activity			
Das Capital	Victorian Book, Political philosophy	Victorian literature	Philosophy			
DC Comics	Publishing Company	Company, Business, Genre	Organization			
Denmark	Country, Culture					
Desert Islands	Country, Culture					
Detective fiction	Literary Genre	Genre				
Diagnostic medicine	Medicine	Science				
Dickensian fiction	Victorian literature, Literary Genre	Genre				
Die Hard	Movie	Drama	Fictional World			
Directing	Artistic Activity	Specialist Activity	Activity			
DNA	Biology, Discipline	Science, Academic Discipline				
Documentaries	Movie Genre	Genre				
Doonesbury	Political Cartoons	Cartooning	Political Culture, Genre	Fictional World		
Drag	Cross-Dressing	Style, Artistic Activity	Transgressive Activity	Activity		
Drawing room mysteries	Detective fiction	Literary Genre	Genre			
Dreams	Imagination	Fictional World				
Dystopian fiction	Literary Genre	Genre				
Eastern philosophy	Regional philosophy	Philosophy	Cultural Phenomenon, Academic Discipline	Culture, Discipline		
Eastern religion	Regional religion	Religion	Philosophy			
Easy Listening	Music	Music Genre	Genre			
Economics	Business, Science, Academic Discipline	Discipline				
Electricity	Technology					
Elizabethan theatre	Historical theatre, Historical literature	Theatre	Art Genre, Cultural Phenomenon, Era	Culture, Genre		
Romeo and Juliet	Historical theatre, Historical literature	Literature	Theatre	Fictional World		
Hamlet: Prince of Denmark	Historical theatre, Historical literature	Literature	Theatre	Fictional World		
Elsinore	City, Culture	Place				
English literature	Regional literature	Literature	Cultural Phenomenon, Cultural Genre, Academic Discipline	Culture, Genre		
English poetry	Regional poetry, Regional literature	Poetry, Literature	Cultural Phenomenon, Cultural Genre, Academic Discipline			
English soccer	Regional culture, Regional sport	Cultural Phenomenon,  Sport	Contest	Struggle		
Escapism	Psychology, Fictional World					
Escapology	Specialist Activity, Magic Genre	Genre				
Espionage	Transgressive Activity	Activity				
European history	Regional history, Regional culture	History	Cultural Phenomenon, Academic Discipline	Culture, Discipline		
European politics	Regional politics	Politics	Cultural Phenomenon, Academic Discipline	Culture, Discipline		
Evolution	Science, Academic Discipline	Discipline				
Experimental music	Music	Music Genre	Genre			
Expressionist art	Art	Art Genre	Genre			
Expressionist painting	Art	Art Genre	Genre			
Fairy Tales	Literary Genre	Genre				
Family Guy	TV Show, Fictional Character	Comedy	Fictional World			
Family life	Cultural Phenomenon					
Family Ties	TV Show	Comedy	Fictional World			
Fascism	Political Movement, Political Culture, Political Philosophy	Culture, Philosophy	Struggle			
Fashion	Style, Art Genre	Genre, Culture				
Fast Food	Business, Cultural Phenomenon, Cooking					
Feminism	Political Movement, Political Culture	Culture, Struggle				
Finance	Business, Science, Academic Discipline	Discipline				
Flash Gordon	Science Fiction Movie	Science Fiction	Fictional World			
Florence	City, Culture	Place				
Folk music	Music	Music Genre	Genre			
Footloose	Muslcal Movie	Movie	Drama	Fictional World		
Forecasting	Special Ability, Specialist Activity	Activity				
Formula One	Sport	Contest	Struggle			
Fox News	TV Network, Political Movement	Political Culture, Genre	Culture, Genre			
France	Country, Culture					
French comedy	Regional comedy	Comedy	Cultural Phenomenon, Comedy Genre	Genre, Culture		
French history	Regional history, Regional culture	History	Cultural Phenomenon, Academic Discipline	Culture, Discipline		
French humour	Regional comedy	Comedy	Cultural Phenomenon, Comedy Genre	Genre, Culture		
French politics	Regional politics	Politics	Cultural Phenomenon, Academic Discipline	Culture, Discipline		
Friday the 13th	Horror Movie	Horrow, Movie	Fictional World			
Fried Chicken	Southern Food	Business, Cultural Phenomenon, Cooking				
Friends	TV Show	Comedy	Fictional World			
Game of Thrones	TV Show, Book	Drama, Fantasy	Fictional World			
Genetics	Biology	Science, Academic Discipline	Discipline			
Geometry	Mathematics	Science, Academic Discipline	Discipline			
German Fascism	Fascism, Regional politics	Political Movement, Political Culture, Political Philosophy	Culture, Philosophy	Struggle		
Germany	Country, Culture					
Gladiator	Movie, Fictional Character	Drama	Fictional World			
Golf	Sport	Content	Struggle			
Gone With The Wind	Movie, Book	Drama	Fictional World			
Gorillas	Zoology	Science, Academic Discipline	Discipline			
Gotham City	Fictional Place	City, Culture	Fictional World			
Greek philosophy	Regional philosophy	Philosophy	Cultural Phenomenon, Academic Discipline	Culture, Discipline		
Greenbow Alabama	City, Culture	Fictional World				
Grunge music	Music	Music Genre	Genre			
Guitar music	Instrumental music	Music	Music Genre	Genre		
Halloween	Religious Event	Event				
Harvey Comics	Publishing Company	Company, Business, Genre	Organization			
Haute Cuisine	Style, Art Genre, Cooking	Genre				
Heavy Metal	Music Genre	Genre, Culture				
Hedge Funds	Finance, Business					
High Society	Culture					
Hip-Hop	Music Genre	Genre, Culture				
Hitchcock movies	Movie Genre	Genre				
Hogwarts	City, Culture	Fictional World				
Hollywood	City, Culture, Movie Genre	Genre				
Homicidal computers	Computers	Artificial Intelligence	Technology			
Hong Kong	City, Culture	Place				
Horror	Movie Genre, Horror fiction	Literary Genre	Genre			
Horror fiction	Literary Genre	Genre				
Housekeeping	Specialist Activity	Activity				
How I Met Your Mother	TV Show	Comedy	Fictional World			
Humanism	Political Movement, Political Culture, Political Philosophy	Culture, Philosophy	Struggle			
Hustler Magazine	Pornographic Magazine	Pornography	Genre			
Ice Hockey	Sport	Contest	Struggle			
India	Country, Culture					
Indian independence	Regional politics	Political Movement, Political Culture	Culture, Struggle			
Indie Movies	Movie Genre	Genre				
International Crime	Regional politics	Crime	Transgressive Activity	Activity		
Investment Funds	Business, Finance					
Investments	Business, Finance					
Irish literature	Regional literature	Literature	Cultural Phenomenon, Cultural Genre, Academic Discipline	Culture, Genre, Discipline		
Islamic Terrorism	Regional politics	Fundamentalism, Terrorism	Religion, Political Movement, Political Philosophy	Transgressive Activity	Culture, Struggle	
Israeli politics	Regional politics	Politics	Cultural Phenomenon, Academic Discipline	Culture, Discipline		
It's a Wonderful Life	Movie	Comedy, Drama	Fictional World			
Italian culture	Regional culture	Cultural Phenomenon, Cultural Genre, Academic Discipline	Culture, Genre, Discipline			
Italian Fascism	Regional politics	Fascism	Political Movement, Political Culture, Political Philosophy	Culture, Philosophy	Struggle	
Italian literature	Regional literature	Literature	Cultural Phenomenon, Cultural Genre, Academic Discipline	Culture, Genre, Discipline		
Italian Neo-realism	Regional art	Art	Art Genre, Cultural Phenomenon, Era	Genre		
Italian poetry	Regional poetry, Regional literature	Poetry, Literature	Cultural Phenomenon, Cultural Genre, Academic Discipline	Culture, Genre		
Italy	Country, Culture					
iTunes	Software	Technology				
James Bond	Movie Genre, Fictional Character	Fictional World				
Jazz	Music Genre	Genre				
Judaism	Regional philosophy	Religion, Philosophy	Culture			
Keynesian economics	Economics	Business, Science, Academic Discipline	Discipline			
KFC	Business, Cultural Phenomenon, Cooking					
Knight Rider	TV Show	Drama	Fictional World			
Kung Fu	Regional philosophy	Martial Arts, Sport, Specialist Activity				
Late-night TV	TV Genre, TV Show	Genre				
Latin music	Regional music	Music	Music Genre	Genre		
Legal drama	Literary Genre, TV Genre, Movie Genre	Genre				
Legal fiction	Literary Genre	Genre				
Light Jazz	Jazz	Music	Music Genre	Genre		
Cool Jazz	Jazz	Music	Music Genre	Genre		
Linguistics	Science, Academic Discipline	Discipline				
Linux	Technology, Software					
Literature	Art Genre, Academic Discipline	Discipline				
Looney Tunes	Animation	Comedy	Fictional World			
Lord of the Rings	Fantasy Novel	Novel, Fictional World				
Love songs	Music Genre	Genre				
Lydia	Country, Culture					
Mad Men	TV Show, Culture	Fictional World				
Madame Bovary	Victorian Novel, Victorian literature	Novel	Drama	Fictional World		
Magic	Art Genre, Religion	Genre				
Manhattan	City, Culture	Place				
Martial Arts	Martial Arts, Sport, Specialist Activity					
Marvel Comics	Publishing Company, Business	Company, Business, Genre	Organization			
Mathematics	Science, Academic Discipline	Discipline				
Crypography	Mathematics	Science, Academic Discipline	Discipline			
McDonalds	Business, Cultural Phenomenon, Cooking					
Medieval science	Historical science	Science, Academic Discipline	Discipline			
Mega-City One	Fictional Place	Fictional World				
Merrie Melodies	Animation	Comedy	Fictional World			
Metropolis	Fictional Place	Fictional World				
Mexican art	Art Genre, Academic Discipline, Culture	Discipline, Culture				
Mi6	Government Organization, Technology Culture	Organization, Culture				
Miami Vice	TV Show, Culture	Drama	Fictional World			
Miami-Dade	City, Culture	City, Culture	Place			
Microsoft	Technology Company, Technology Culture	Business, Culture				
Middle Earth	Fictional Place	Fictional World				
Middle-Eastern politics	Regional politics	Politics	Cultural Phenomenon, Academic Discipline	Culture, Discipline		
Moby Dick	Victorian Novel, Victorian literature	Novel	Drama	Fictional World		
Modern architecture	Historical architecture	Architecture	Cultural Phenomenon, Academic Discipline	Culture, Discipline		
Modern art	Historical art	Art	Cultural Phenomenon, Academic Discipline	Culture, Discipline		
Modern Britain	Regional culture	Culture, Country, Era	Cultural Phenomenon, Academic Discipline	Culture, Discipline		
Modern finance	Historical finance	Finance, Business	Cultural Phenomenon, Academic Discipline	Culture, Discipline		
Modern literature	Historical literature	Literature	Cultural Phenomenon, Cultural Genre, Academic Discipline	Culture, Genre, Discipline		
Modern medicine	Historical science	Medicine	Science, Academic Discipline	Discipline		
Modern military history	History	Cultural Phenomenon, Academic Discipline	Culture, Discipline			
Modern painting	Painting	Historical art	Art	Art Genre	Genre	
Modern poetry	Historical poetry, Historical literature	Poetry, Literature	Cultural Phenomenon, Cultural Genre, Academic Discipline	Culture, Genre		
Modern Russia	Regional history, Regional culture	Culture, Country, Era	Cultural Phenomenon, Academic Discipline	Culture, Discipline		
Modern science	Historical science	Science	Academic Discipline	Discipline		
Monacco	Country, Culture					
Monetarist economics	Economics	Business, Science, Academic Discipline	Discipline			
Mongolia	Country, Culture					
Mordor	Middle Earth	Fictional Place	Fictional World			
Motorcycle stunts	Specialist Activity	Activity				
Movies	Art Genre	Genre				
Music	Art Genre	Genre				
Musical Comedy	Music Genre, Comedy	Genre				
Musical movies	Movie Genre, Music Genre	Genre				
Musical Theatre	Music Genre, Literary Genre	Genre				
Musicals	Music Genre, Literary Genre	Genre				
NASA	Government Organization, Technology Culture	Organization, Culture				
National Socialism	Fascism	Political Movement, Political Culture, Political Philosophy	Culture, Philosophy	Struggle		
Nazi Germany	Country, Culture, Era					
NBC	TV Network	Business, Culture				
NCIS	TV Show	Drama	Fictional World			
Neolithic times	Era, History					
Nerd culture	Technology Culture	Culture				
Neuro-Linguistic Programming	Psychology	 Discipline				
New Jersey	State, Culture					
New York City	City, Culture	Place				
Nickelodeon	TV Network	Business, Culture				
Nightmares	Imagination	Fictional World				
Objective philosophy	Philosophy	Cultural Phenomenon, Academic Discipline	Culture, Discipline			
Olympics	Sport, Cultural Phenomenon	Contest	Struggle			
Opera	Music Genre, Literary Genre	Genre				
Operating Systems	Software	Technology				
Oratory	Specialist Activity, Art Genre	Genre				
Outer Space	Place					
Oxford	City, Culture	Place				
Painting	Art, Art Genre	Genre				
Parkinson's	Disease	Struggle				
Parody	Comedy	Comedy Genre	Genre			
Peanuts	Literary Genre	Comedy	Genre			
Physics	Science, Academic Discipline	Discipline				
Pirates of the Carribean	Movie	Drama, Comedy	Fictional World			
Pixar	Technology Company, Technology Culture	Business, Culture				
Plastic Surgery	Medicine	Science	Cultural Phenomenon			
Playboy Magazine	Pornographic Magazine	Pornography	Genre			
Poetry	Art Genre, Literature	Genre				
Police Procedurals	TV Genre, Movie Genre	Genre				
Political criticism	Political Philosophy	Academic Discipline, Philosophy	Discipline			
Politics	Cultural Phenomenon, Cultural Genre, Academic Discipline					
Pop Art	Art	Art Genre	Genre			
Pop music	Music	Music Genre	Genre			
Popular fiction	Literary Genre	Genre				
Porn movies	Movie Genre, Pornography	Genre				
Pornography	Art Genre	Genre				
Post-Impressionism	Historical art	Art	Art Genre	Genre		
pre-Revolutionary France	Regional history, Regional culture					
Priceline	Company, Business					
Prohibition	Era, History					
Protest songs	Political Movement, Music Genre	Genre				
Psychadelic music	Music	Music Genre	Genre			
Psychiatry	Psychology	Science, Medicine				
Psycho	Movie	Horror, Drama	Fictional World			
Psychoanalysis	Psychology	Science, Medicine				
Punk rock music	Rock music	Music	Music Genre	Genre		
Race Relations	Political Movement, Political Culture, Political Philosophy					
Racing	Sporting Activity, Sport	Activity				
Raiders of the Lost Ark	Movie	Drama	Fictional World			
Rap music	Music	Music Genre	Genre			
Real Estate	Business					
Reality TV	TV Genre	Genre				
Reggae music	Regional music	Music	Music Genre	Genre		
Regional Radio	Radio, Business					
Relativity	Physics	Science, Academic Discipline	Discipline			
Religious music	Music	Music Genre	Genre			
Renaissance art	Historical art	Art	Art Genre	Genre		
Rhetoric	Specialist Activity, Art Genre	Activity				
Rock music	Music	Music Genre	Genre			
Roman Epics	Movie Genre	Genre				
Roman politics	Politics, History	Cultural Phenomenon, Academic Discipline	Culture, Discipline			
Romance	Movie Genre, Literary Genre	Genre				
Romantic literature	Cultural Phenomenon, Cultural Genre, Academic Discipline	Culture, Genre, Discipline				
Romantic novels	Literary Genre	Genre				
Romantic poetry	Poetry	Cultural Phenomenon, Cultural Genre, Academic Discipline	Culture, Genre			
Running	Sporting Activity, Sport	Activity				
Russian literature	Cultural Phenomenon, Cultural Genre, Academic Discipline	Culture, Genre, Discipline				
Russian politics	Politics	Cultural Phenomenon, Academic Discipline	Culture, Discipline			
Rwanda	Country, Culture					
Satire	Comedy	Comedy Genre	Genre			
Scandinavian crime fiction	Crime fiction	Literary Genre	Genre			
Scientology	Religion	Philosophy	Culture			
Sculpture	Art	Art Genre	Genre			
Self-Help	Psychology	Genre				
Self-Improvement	Psychology	Genre				
Serious Acting	Acting	Specialist Activity	Activity			
Sex and the City	TV Show	Drama, Comedy	Fictional World			
Shakespeare	Historical literature	Literary Genre	Genre			
Sherlock Holmes	Literary Genre, Fictional Character	Fictional World				
Sherwood Forest	Place					
Showmanship	Specialist Activity	Activity				
Silence of the Lambs	Movie	Horror, Drama	Fictional World			
Singing	Specialist Activity	Activity				
Sleeping Beauty	Movie,  Fictional Character	Drama	Fictional World			
Soccer	Sport, Cultural Phenomenon	Contest				
Social Climbing	Activity					
Soft pornography	Pornography	Art Genre	Genre			
Software	Technology, Technology Culture					
South Africa	Country, Culture					
Southern Food	Business, Cultural Phenomenon, Cooking					
Space flight	Technology, Technology Culture					
Space Operas	Science Fiction	Movie Genre, Literary Genre	Genre			
Special Effects	Specialist Activity, Art Genre	Genre				
Speculation	Specialist Activity	Activity				
Spin City	TV Show	Comedy	Fictional World			
Spinal Tap	Movie	Comedy	Fictional World			
Springfield	Fictional Place	City, Culture	Fictional World			
Sprung Rhyme	Poetry, Technique	Poetry	Cultural Phenomenon, Cultural Genre, Academic Discipline	Culture, Genre		
Spy movies	Movie Genre	Genre				
Spy spoofs	Movie Genre, Comedy Genre	Genre				
Stage Magic	Magic, Specialist Activity	Art Genre	Genre			
Stand-Up Comedy	Comedy Genre, Specialist Activity	Genre				
Star Trek	Science Fiction Movie	Movie, Science Fiction	Fictional World			
Star Wars	Science Fiction Movie	Movie, Science Fiction	Fictional World			
Starfleet	Government Organization, Technology Culture	Organization, Culture				
Street Magic	Magic, Specialist Activity	Art Genre	Genre			
Suicide	Transgressive Activity	Activity				
Sunset Boulevard	Movie	Drama	Fictional World			
Surrealism	Art	Art Genre	Genre			
Suspense	Movie Genre	Genre				
Swimming	Sporting Activity, Sport	Activity, Contest				
Take That	Music Group	Group	Organization, Music Genre	Genre		
Talk radio	Radio, Business					
Technology	Science, Culture					
Teen fiction	Literary Genre	Genre				
Television Production	Specialist Activity, Business	Activity				
Tennis	Sport	Contest	Struggle			
Terrorism	Political Philosophy	Transgressive Activity	Activity			
the  Law	Political Culture	Culture				
the 12 Apostles	Religious Group	Group				
the Advertising Industry	Business					
the Age of Discovery	Era					
The Algonquin Round Table	Literary Group	Group				
the American Civil Rights movement	Political Movement, Political Culture, Political Philosophy					
The American Civil War	War	Struggle				
the American Depression	Era					
the American Left	Political Philosophy					
the American Right	Political Philosophy					
the American South	Regional culture					
the American War of Independence	War	Struggle				
the American West	Regional culture					
the Americas	Place					
the Ancient world	History	Historical culture	Culture			
The Art of War	Book	Political philosophy				
The Avengers	Fictional Group	Group	Organization	Fictional World		
the Aviation industry	Business, Technology Culture	Culture				
the Beach Boys	Music Group	Group	Organization, Music Genre	Genre		
the Beat generation	Historical culture, Historical art, Historical literature					
The Beatles	Music Group	Group	Organization, Music Genre	Genre		
the Bible	Book	Historical culture, Historical literature	Religious philosophy			
The Big Bang Theory	TV Show	Comedy	Fictional World			
the British Left	Political Movement, Political Culture, Political Philosophy	Culture, Philosophy				
the British Right	Political Movement, Political Culture, Political Philosophy	Culture, Philosophy				
the Car industry	Cars	Business, Technology Culture	Culture			
the Chocolate industry	the Confectionary business	the Food industry	Business			
the Circus	Fictional Group	Group	Organization			
the Cold War	Era, Political Culture, Political Philosophy, History, War	Struggle				
the Confectionary business	the Food industry	Business				
the Conservative Party	Political Movement, Political Culture, Political Philosophy	Culture, Philosophy	Group	Organization		
the Cosmos	Place					
the Crimean War	History, War	Struggle				
the Cuban revolution	History, War	Struggle				
The Da Vinci Code	Book, Movie	Drama	Fictional World			
The Daily Planet	Publishing Company, Business	Fictional Organization	Organization			
the Dark Side	Political Movement, Political Culture, Political Philosophy	Culture, Philosophy	Group	Organization		
the Democrats	Political Movement, Political Culture, Political Philosophy	Culture, Philosophy	Group	Organization		
the Diary	Literary Genre	Genre				
the Law	Political Culture, Political Philosophy	Culture, Philosophy				
The Double Helix	Book	Drama				
the English class system	British class politics	British politics	Regional politics	Politics	Cultural Phenomenon, Academic Discipline	Culture, Discipline
the English language	Language					
the Enlightenment	Historical culture, Historical science, Political Movement	Science	Culture			
the Environment	Political Movement, Political Culture, Political Philosophy	Philosophy				
the Fashion industry	Fashion	Business, Culture				
the FBI	Government Organization, the Law	Organization, Culture				
the Final Solution	Political Movement, Political Culture, Political Philosophy	Philosophy				
the Frasier household	Fictional Group	Group	Fictional World			
the French Revolution	Regional history, Regional culture, Political Movement, Political Philosophy	Era				
the Gendarmerie	Government Organization, the Law	Organization, Culture				
The Girl With The Dragon Tattoo	Book, Movie	Drama	Fictional World			
The Godfather	Book, Movie	Drama	Fictional World			
The Great Gatsby	Book, Movie	Drama	Fictional World			
The Guardians of the Galaxy	Book, Movie	Drama, Science Fiction	Fictional World			
the Hamburger industry	the Food industry	Business				
The Hobbit	Book, Movie	Drama, Fantasy	Fictional World			
the Hotel business	Business					
the Inquisition	Regional history, Regional culture, Political Movement, Political Philosophy	Era				
the Irish Famine	Era, History					
the JFK assassination	Assassination	Transgressive Activity	Activity			
the Jungle	Place					
The Karate Kid	Movie	Drama	Fictional World			
the Kitchen	Cooking	Specialist Activity, Place	Activity			
the Labour Party	Political Movement, Political Culture, Political Philosophy	Culture, Philosophy	Group	Organization		
the Left	Political Movement, Political Culture, Political Philosophy	Culture, Philosophy	Group	Organization		
The Lord of the Rings	Book, Movie	Drama, Fantasy	Fictional World			
the Mafia	Criminal Organization	Organization, Culture				
the Magic Forest	Fictional Place	Place				
the Marx Brothers	Group, Comedy Genre					
the Medieval world	Historical culture, Era	Culture				
the Miami crime world	Criminal Organization	Organization, Culture	Political Culture, Political Philosophy	Culture, Group, Philosophy		
the Middle Class	Social Group	Group	Political Philosophy			
The Mongols	Regional history, Regional culture, Political Movement, Political Philosophy					
the Moon	Place					
the Motor industry	Cars	Business, Technology Culture	Culture			
the Movie business	Business, Cultural Phenomenon					
the Music industry	Business, Cultural Phenomenon					
the Nakatomi building	Fictional Place	Place				
the Natural Sciences	Science, Academic Discipline	Discipline				
the Nazi Party	Political Movement, Political Culture, Political Philosophy	Culture, Group, Philosophy				
the New Jersey Mob	Criminal Organization	Organization, Culture	Political Culture, Political Philosophy	Culture, Group, Philosophy		
the New Testament	Book	Drama	Religious philosophy	Philosophy		
the New world	Place, Regional culture					
the News	TV Genre	Genre				
the Newspaper industry	the News	Business, Culture				
the North Pole	Place, Regional culture					
the Old Testament	Book	Drama	Religious philosophy	Philosophy		
The Old West	Historical culture, Era, Regional culture, Movie Genre	Culture, Genre				
the Olympics	Sporting Activity	Event				
the Outback	Regional culture	Culture				
the Phllippines	Country, Culture					
Piano music	Instrumental music	Music	Music Genre	Genre		
The Picture of Dorian Gray	Book, Victorian Novel	Victorian literature	Literature, Drama	Fictional World		
the Post-Apocalypse	Science Fiction, Era	Movie Genre, Literary Genre	Genre			
the Rag Trade	the Fashion industry	Fashion	Business, Culture			
the Rat Pack	Music Group	Group				
the Renaissance	Historical culture, Historical art	Art, Culture				
the Republicans	Political Movement, Political Culture, Political Philosophy					
the Restoration period	Historical culture, Historical art					
the Right	Political Movement, Political Culture, Political Philosophy					
the Roman Empire	Historical culture, Era, Regional culture					
the Russian revolution	War, Political Movement	Struggle				
Saxophone music	Instrumental music	Music	Music Genre	Genre		
The Seinfeld Chronicles	TV Show	Comedy	Fictional World			
The Simpsons	TV Show, Animation	Comedy	Fictional World			
the Software business	Technology Culture	Business, Culture				
the Soviet Union	Political Movement, Political Culture, Political Philosophy	Culture, Group, Philosophy				
The Terminator	Science Fiction Movie	Movie, Science Fiction	Drama	Fictional World		
the Third Reich	Political Movement, Political Culture, Political Philosophy	Culture, Group, Philosophy				
the U.S.S. Enterprise	Space ship	Fictional Place	Fictional World			
The Usual Suspects	Movie	Drama	Fictional World			
the Vampire world	Cultural Genre	Culture				
