Category	When Subject	When Object
Pianist	entertain, perform_for, are_heckled_by, are_booed_by, play_with, play_for, compose_with, perform_with	sing_with, heckle, boo, play_with, compose_with, perform_with
Chef	cook_for, create_for, are_hired_by	hire
Playwright	compose_with, create_for, write_about, write_for	commission, read_the_works_of, study, perform_for
Sidekick	assist, serve, wait_on, cater_to, accompany, carry_for, escort	travel_with, are_assisted_by, are_waited_upon_by, are_followed_by, are_escorted_by
Soldier	fight_for, die_for, obey, kill_for, are_commanded_by, report_to, are_disciplined_by, fight_with, are_deployed_by, are_enlisted_by, are_promoted_by, are_recruited_by, surrender_to, are_dispatched_by, are_drilled_by, fight	are_obeyed_by, command, discipline, deploy, fight_with, enlist, recruit
Terrorist	terrorize, are_indoctrinated_by, are_brainwashed_by, kill_for, die_for, attack, are_radicalized_by	are_victimized_by, are_sickened_by, are_terrorized_by, are_shocked_by, brainwash, indoctrinate, arrest, catch, capture
Nerd	are_mocked_by, embarrass, disgust, condescend_to, learn_with	are_bored_by, laugh_at, mock, are_embarrassed_by, learn_with
Explorer	look_for, seek, find	travel_with, carry_for, drive_for, accompany, are_sought_by, are_found_by
Emperor	rule_over, dominate, suppress, repress, intimidate_with, threaten_with, are_overthrown_by, are_toppled_by, banish, persecute, appoint, summon, recall, subjugate, decapitate, are_deposed_by, cede_power_to	are_appointed_by, are_summoned_by, govern_for, are_ennobled_by, bow_down_to, are_subjugated_by
Lawyer	defend, represent, argue_before, are_retained_by, cross_examine, accuse, believe_in, act_for, negotiate_for, are_retained_by, settle_with	are_represented_by, are_defended_by, are_accused_by,  act_via, act_through
Professor	teach, educate, lecture_to, instruct	are_taught_by, are_educated_by, learn_from, study_under, are_lectured_by, are_instructed_by
Fashion Model	are_wooed_by, pose_for, are_stalked_by, model_for, are_kissed_by, attract	mate_with, pick_up, date, woo, beautify, enhance, kiss, style_for, photograph, stalk, fall_in_love_with, dress
Serial Killer	stalk, target, prey_on, kill, assassinate, are_arrested_for_killing, are_charged_by, are_arrested_by, torture, murder, disfigure, take_aim_at, are_feared_by	investigate, probe, arrest, prosecute, incarcerate, imprison, testify_against, are_victimized_by, are_killed_by, are_tortured_by, catch, capture, are_disfigured_by, fear
Wizard	impress, mystify, entertain, enchant, trick	are_impressed_by, are_intrigued_by, are_entertained_by, believe_in, lose_faith_in, are_enchanted_by, are_tricked_by, are_mystified_by
Military Leader	command, are_obeyed_by, discipline, train, defeat, lead, surrender_to, govern_for	report_to, obey, are_conquered_by, are_defeated_by, are_disciplined_by, look_up_to, are_trained_by, surrender_to, cede_power_to, govern_via, are_led_by
Jedi Knight	impress, mystify, defend, preach_to, enchant, inspire, mentor, defend, protect	are_impressed_by, are_intrigued_by, are_defended_by, believe_in, lose_faith_in, are_enchanted_by, are_defended_by, are_mystified_by
Secret Agent	spy_on, snitch_on, report_to, are_recruited_by, deceive, tip_off, take_advantage_of, exploit, snitch_to, are_dispatched_by, deliver_to	deploy, are_informed_by, recruit, are_hindered_by
Wanderer	travel_with, visit	are_visited_by, host, let_go_of
Boxer	fight_against, compete_against, beat_up, are_trained_by, are_coached_by, fight_for, beat_up, threaten, fight, are_arrested_for_hurting, intimidate	train, coach, mentor, intimidate_with, threaten_with, disqualify
Interviewer	interview, probe, speak_to, talk_to	answer_questions_from, are_probed_by, speak_to
Fugitive	flee_from, run_away_from, hide_from, are_discovered_by	chase, chase_after, track_down, hunt, catch, capture, search_for, apprehend
Thief	steal_from, rob, defraud, cheat, are_prosecuted_by, are_charged_by, are_accused_by	are_robbed_by, arrest, capture, imprison, incarcerate, prosecute, lose_to
Software Engineer	work_for, create_for, are_hired_by, build_for, design_for	hire, recruit, commission
Prime Minister	are_elected_by, appoint, run_against, campaign_against, indoctrinate	vote_for, elect, bribe, buy_off, assassinate, campaign_for, run_against, are_upstaged_by
Wife	marry, divorce, cheat_on, cheat_with, dress	marry, divorce, cheat_on, cheat_with, argue_with
Captain	command, are_obeyed_by, discipline	report_to, obey, are_conquered_by, are_defeated_by, are_disciplined_by, navigate_for
Publisher	sign_up	are_published_by, sign_with
Lothario	flirt_with, seduce, cheat_with, charm, woo	are_wooed_by, are_seduced_by, are_charmed_by, cheat_with, sleep_with, are_deflowered_by
Restauranteur	hire, recruit, are_sued_by	cook_for, create_for, are_hired_by
King	rule_over, dominate, suppress, repress, intimidate_with, threaten_with, are_overthrown_by, are_toppled_by, banish, persecute, appoint, summon, recall, decapitate, are_deposed_by, cede_power_to	are_appointed_by, are_summoned_by, are_ennobled_by, bow_down_to, govern_for
Hunter	hunt, stalk, chase, chase_after, track_down, catch, capture, search_for	elude, are_lured_by, are_tracked_by
Traitor	betray, turn_against, brief_against	are_betrayed_by
Mastermind	command, are_obeyed_by, brainwash, indoctrinate, collude_with, conspire_with, lead_astray	obey, are_commanded_by, kill_for, die_for, are_radicalized_by, abet, fail_to_deliver_for
Rapper	entertain, perform_for, are_heckled_by, are_booed_by, sing_with, mock, rouse, anger	copy, imitate, impersonate, listen_to, are_roused_by
Diarist	write_about, are_published_by, are_read_by	read_the_works_of, study, are_chronicled_by
Princess	are_wooed_by, are_rescued_by, marry, are_saved_by, fall_in_love_with	rescue, save, abduct, kidnap, snatch, propose_to, fall_in_love_with, flirt_with, mate_with
Student	study_under, are_taught_by, are_tutored_by, are_educated_by, read_the_works_of	are_read_by, teach, educate, mentor, tutor, coach
Aviator	transport, drive_for, are_accompanied_by	navigate_for, are_driven_around_by, travel_with, accompany
Strongman	threaten, intimidate, bully, oppress, suppress, repress, silence, coerce	are_threatened_by, are_intimidated_by
Sculptor	create_for, inspire	pose_for, commission, model_for
FBI Agent	investigate, probe, arrest, cross_examine, interview, grow_suspicious_of, accuse, interrogate	are_investigated_by, are_probed_by, are_arrested_by, are_imprisoned_by, are_incarcerated_by, confess_to, snitch_to, tip_off, are_accused_by, are_interrogated_by
Bureaucrat	brief_against, are_appointed_by, report_to, leak_to, take_messages_for, are_dispatched_by, deliver_to	appoint, are_hindered_by, summon, dispatch, recall
Political Advocate	campaign_for, campaign_against, identify_with, preach_to, overthrow, topple, influence, advise, lie_for, are_debated_by, champion	propagandize_for, are_arrested_for_killing, are_overthrown_by, are_toppled_by, are_debated_by, are_championed_by
Dictator	rule_over, dominate, suppress, repress, intimidate_with, threaten_with, are_overthrown_by, are_toppled_by, banish, persecute, torment, oppress, subjugate	are_ruled_by, are_dominated_by, are_suppressed_by, are_repressed_by, are_imprisoned_by, are_oppressed_by, are_tormented_by, stand_up_to, are_incarcerated_by, banish, overthrow, topple, are_oppressed_by, are_persecuted_by, appease, are_subjugated_by
Has-Been	resent, fail_to_impress, are_forgotten_by, are_exorcized_by, are_exorcised_by, are_missed_by	exorcise, leave_behind, pine_for
Warrior	fight_for, die_for, obey, kill_for, are_commanded_by, report_to, are_disciplined_by, fight_with, are_deployed_by, attack, assault, are_enlisted_by	are_obeyed_by, command, discipline, deploy, fight_with, are_attacked_by, are_assaulted_by, are_killed_by, are_savaged_by, enlist
Robot	obey, wait_on, cater_to, carry_for, indoctrinate, brainwash	are_obeyed_by, are_waited_on_by, are_served_by, are_brainwashed_by, are_indoctrinated_by
Bully	bully, taunt, mock, coerce, threaten, intimidate	are_pushed_too_far_by, stand_up_to
Aristocrat	are_ennobled_by, charm, woo, impress, banish, condescend_to, are_cut_off_by	inherit_from, descend_from, bow_down_to, topple, overthrow, curry_favor_with, kiss_up_to, suck_up_to, lick_up_to
Womanizer	flirt_with, seduce, cheat_with, charm, woo, cast_off, are_rejected_by	are_wooed_by, are_seduced_by, are_charmed_by, cheat_with, sleep_with, are_deflowered_by, reject
Loner	avoid, hide_from, flee_from, ignore, rebuff, spurn, cast_off	are_rebuffed_by, are_spurned_by, are_ignored_by, reach_out_to
Hacker	steal_from, defraud, spy_on, rob, undermine, take_advantage_of, take_aim_at	are_robbed_by, are_undermined_by, catch, evict, capture, arrest
Royal	are_ennobled_by, charm, impress, banish	inherit_from, descend_from, bow_down_to, topple, overthrow, curry_favor_with, kiss_up_to, suck_up_to, lick_up_to
Technologist	create_for, inspire, design_for, build_for	are_inspired_by, copy, imitate
Queen	rule_over, dominate, suppress, repress, intimidate_with, threaten_with, are_overthrown_by, are_toppled_by, banish, persecute, appoint, summon, recall, cede_power_to	are_appointed_by, are_summoned_by, are_ennobled_by, bow_down_to, govern_for
Snob	condescend_to, disrespect, humiliate, mock, taunt, insult, cast_off, alienate	are_disrespected_by, are_humiliated_by, are_mocked_by, are_taunted_by, are_insulted_by
Economist	evaluate, counsel, advise	are_evaluated_by, consult_with, are_advised_by, are_counseled_by, consult
Outdoorsman	hunt, stalk, chase, chase_after, capture, track_down, catch, lay_a_trap_for	are_hunted_by, are_caught_by, are_tracked_by
Assassin	assassinate, kill_for, are_hired_by	hire, threaten_with, intimidate_with
Guru	indoctrinate, brainwash, inspire, are_followed_by	worship, look_up_to, die_for, listen_to, are_indoctrinated_by, are_brainwashed_by, are_inspired_by, are_converted_by
Narcissist	condescend_to, rebuff, spurn, are_flattered_by, cast_off, are_spoiled_by	are_rebuffed_by, are_spurned_by, compliment, flatter, massage, spoil
Vice President	are_elected_by,  report_to	vote_for, elect, are_appointed_by
Doctor	heal, treat, diagnose, operate_on, cure	are_cured_by, are_diagnosed_by, are_treated_by, consult, are_healed_by
Dancer	perform_for, pose_for, model_for	perform_with
Son	look_up_to, learn_from, study_under, are_taught_by, are_raised_by, are_molded_by, are_scolded_by, are_chastised_by	discipline, nurture, baptize, chastise, scold, raise
Dissident	rise_against, resist, turn_against, campaign_against, are_subjugated_by, cause_trouble_for	round_up, anger, subjugate, cede_power_to, are_sued_by
Radio Host	interview, host, charm, chat_with, speak_to, talk_to	are_interviewed_by, are_questioned_by, answer_questions_from, are_introduced_by, share_stories_with, speak_to
Psychiatrist	diagnose, treat, listen_to, advise, influence, are_trusted_by, talk_to, speak_to	are_diagnosed_by, are_treated_by, confide_in, confess_to, trust, talk_to, speak_to, are_questioned_by
Private Detective	investigate, probe, follow, spy_on,  interview, grow_suspicious_of	are_investigated_by, are_probed_by, are_arrested_by, are_imprisoned_by, are_incarcerated_by, confess_to, snitch_to, tip_off
Playboy	pick_up, woo, seduce, flirt_with, sleep_with, date, charm, are_spoiled_by	are_seduced_by, are_wooed_by, fall_in_love_with, are_charmed_by, indulge, spoil, reject
Intellectual	debate_with, argue_with, persuade, disagree_with, condescend_to	read_the_works_of, study, study_under, are_debated_by
Engineer	build_for, create_for, design_for	hire, recruit
Geek	are_mocked_by, embarrass, disgust, condescend_to	are_bored_by, laugh_at, mock, are_embarrassed_by
Lover	love, woo, sleep_with, propose_to	pick_up, are_loved_by, are_wooed_by, cheat_on
Teenager	rebel_against, resist, are_disciplined_by	discipline, nurture, mentor, chastise, scold, raise
Media Tycoon	propagandize_for, rouse, commission, publish, spread_lies_about, write_about, are_sued_by	are_published_by, sign_with, are_roused_by, write_for, are_scripted_by, are_ruined_by
Cop	arrest, chase_after, catch, track_down, capture	are_arrested_by, confess_to, are_tracked_by
Rebel	resist, turn_against, lose_faith_in, rise_against, overthrow, topple, rebel_against, are_subjugated_by, cause_trouble_for, struggle_against	are_resisted_by, are_overthrown_by, are_toppled_by, round_up, suppress, anger, subjugate
Footballer	play_with, are_trained_by, sign_with, are_coached_by, play_against, train_with	coach, train, play_against, sign_up
Action Star	are_venerated_by, energize, entertain, inspire,  tower_over, pose_for, are_photographed_by, are_scripted_by	are_entertained_by, are_energized_by, are_motivated_by, photograph, enhance, beautify,
Superhero	defend, rescue, fight_for, inspire, defeat,  tower_over, are_venerated_by	are_saved_by, are_defended_by, are_rescued_by, are_inspired_by,believe_in, are_defeated_by, are_shielded_by, are_protected_by
Country Singer	entertain, perform_for, are_heckled_by, are_booed_by, play_with, sign_with	sing_with, heckle, boo, are_entertained_by
Monk	worship, worship_with, believe_in, sacrifice_to, pray_to, pray_with, are_defrocked_by, are_excommunicated_by	are_venerated_by, are_worshipped_by, excommunicate, defrock, are_blessed_by
Mentor	mentor, coach, train, inspire, indoctrinate, brainwash, influence, encourage	look_up_to, are_mentored_by, are_coached_by, are_inspired_by, are_indoctrinated_by, are_brainwashed_by, consult_with, consult, are_molded_by
Mathematician	educate, teach	are_taught_by, are_educated_by, learn_from, study_under
Crime Fighter	arrest, chase_after, catch, track_down, capture, punish	are_arrested_by, confess_to, are_tracked_by, are_captured_by, are_punished_by, are_detained_by
Neighbour	spy_on, snitch_on, watch_over, observe, monitor, reach_out_to, interact_with	are_observed_by, chat_with, are_monitored_by
Investor	invest_in, fund, finance, lend_to	appeal_to,  repay,  borrow_from, are_funded_by
Feminist	campaign_for, campaign_against, identify_with, preach_to, influence, advise, speak_for, advocate_for, champion, rebuke, lecture_to, are_resented_by	pick_up, anger, are_chastised_by, resent, are_championed_by, are_sued_by, are_rebuked_by
Bounty Hunter	track_down, hunt, chase_after, chase, catch, are_eluded_by, arrest, capture, search_for, find	elude, are_lured_by, are_tracked_by, are_caught_by, are_arrested_by, are_captured_by, apprehend, are_found_by
Philanthropist	finance, invest_in, fund, commission, champion, advocate_for, are_begged_by, are_thanked_by, are_concerned_about, pity	become_dependent_upon, are_appreciated_by, inherit_from, are_championed_by, learn_with, are_funded_by, are_pitied_by
Psychopath	stalk, target, prey_on, kill, assassinate, are_arrested_for_killing, are_charged_by, are_arrested_by, torture, are_diagnosed_by, murder, take_aim_at	investigate, probe, arrest, prosecute, incarcerate, imprison, testify_against, are_victimized_by, are_killed_by, are_tortured_by
Pornographer	photograph, exploit	pose_for, model_for, are_shocked_by, are_disgusted_by
Genius	inspire, are_copied_by, are_imitated_by, tower_over, overshadow	are_inspired_by, copy, imitate, are_overshadowed_by, look_up_to
Preacher	preach_to, chastise, pray_for, mentor, counsel, baptize, ordain, indoctrinate, brainwash, minister_to, censure	look_up_to, worship_with, lose_faith_in, pray_to, are_advised_by, are_counseled_by,  pray_with, confess_to, are_ordained_by, are_indoctrinated_by, are_brainwashed_by, look_up_to, pray_for, are_censured_by
Transvestite	impersonate, seduce, fool, trick, deceive	dress, style_for, beautify, are_tricked_by, are_seduced_by
Tennis player	play_with, are_trained_by, sign_with, are_coached_by, play_against, train_with	coach, train, play_against, sign_up
Drummer	entertain, perform_for, are_heckled_by, are_booed_by, play_with, play_for, compose_with, perform_with, rouse	sing_with, heckle, boo, play_with, compose_with, perform_with, are_entertained_by, rouse
Communist	campaign_for, campaign_against, preach_to, influence, advise, speak_for, advocate_for, rouse	are_roused_by, campaign_for, campaign_against, 
Lady	are_wooed_by, are_rescued_by, marry, are_saved_by, fall_in_love_with	woo, flirt_with, photograph, date, fall_in_love_with, charm, mate_with
Malcontent	are_roused_by, resent, hate, spread_lies_about, complain_to, are_frustrated_by, are_dumped_by, alienate, dislike	anger, rouse, are_resisted_by, break_up_with, are_contradicted_by, are_sued_by, dislike, are_resented_by
Daughter	are_wooed_by, are_rescued_by, marry, are_saved_by, fall_in_love_with	woo, flirt_with, photograph, date, fall_in_love_with, charm
Gentleman	woo, flirt_with, photograph, date, fall_in_love_with, charm, mate_with	are_wooed_by, are_rescued_by, marry, are_saved_by, fall_in_love_with
Evolutionary Biologist	study, inherit_from, descend_from	study_under, are_taught_by, are_tutored_by, are_educated_by, read_the_works_of, are_named_by
Biblical Hero	inspire, rouse, defeat, are_venerated_by, save, rescue, protect, are_venerated_by	descend_from, are_energized_by, are_defended_by, look_up_to, copy, imitate, pray_to, are_protected_by, are_saved_by
Physicist	study, experiment_on	study_under, are_taught_by, are_tutored_by, are_educated_by, read_the_works_of, are_named_by
Crooner	entertain, perform_for, are_heckled_by, are_booed_by, charm, sign_with, sing_with	 heckle, boo, are_charmed_by, are_entertained_by
Mayor	are_elected_by, appoint, run_against, campaign_against, vote_against	govern_via, campaign_for, campaign_against, vote_for
Clown	entertain, perform_for, joke_about, rouse, cause_trouble_for, are_embarrassed_by	are_entertained_by, laugh_at, are_roused_by
Punk	anger, rouse, resent, hate, insult, mock, offend, beat_up, cause_trouble_for	are_shocked_by, are_disgusted_by, are_insulted_by, are_offended_by, are_mocked_by, are_resented_by
Invalid	become_dependent_upon, rely_on	care_for, dress, look_after, tend
Husband	cheat_on, marry, divorce, grow_suspicious_of, woo, propose_to	divorce, marry
Martial Artist	fight_against, compete_against, are_trained_by, are_coached_by, beat_up	train, coach, mentor
Conqueror	conquer, subjugate, defeat, rule_over	are_conquered_by, are_subjugated_by, are_defeated_by, are_ruled_by
Sailor	pick_up, are_deployed_by, navigate_for, are_enlisted_by, travel_with, mate_with	deploy, enlist, travel_with
Conservative	resent, condescend_to, are_roused_by, vote_against, vote_for	rouse, anger, vote_for, vote_against, are_resented_by
Revolutionary	resist, turn_against, lose_faith_in, rise_against, overthrow, topple, rebel_against, are_subjugated_by, cause_trouble_for	are_resisted_by, are_overthrown_by, are_toppled_by, round_up, suppress, anger, subjugate, cede_power_to
Saxophonist	entertain, perform_for, are_heckled_by, are_booed_by, play_with, play_for, compose_with, perform_with	sing_with, heckle, boo, play_with, compose_with, perform_with
Activist	campaign_for, campaign_against, identify_with, preach_to, overthrow, topple, vote_against, denounce	propagandize_for, are_arrested_for_killing, are_overthrown_by, are_toppled_by, are_hindered_by, are_denounced_by
Promoter	influence, popularize, negotiate_for, shill_for, propagandize, act_for, represent, sign_up, lie_for, are_promoted_by, manage	sell_via, are_popularized_by, sign_with, are_represented_by, promote, are_favored_by, are_managed_by, are_handled_by
Programmer	create_for, impress, design_for, build_for	are_impressed_by, hire
Baseball Player	play_with, are_trained_by, sign_with, are_coached_by, play_against, train_with, are_fielded_by	coach, train, play_against, sign_up
Smuggler	sell_via, bribe, deceive, cheat, defraud, profit_from, conspire_with, corrupt, sell_to, supply, supply_to, export_to	buy_from, arrest, prosecute, lay_a_trap_for, abet, tip_off, are_supplied_by, export_to
Historian	study, read_the_works_of, write_about	are_chronicled_by, are_remembered_by, are_studied_by
Henchman	abet, intimidate, threaten, kill_for, obey, torture, interrogate, beat_up, coerce, guard, serve, escort	intimidate_with, threaten_with, are_obeyed_by, are_guarded_by, are_betrayed_by, are_shielded_by, fail_to_reward, are_escorted_by
Foreigner	mystify, visit, are_expelled_by	are_visited_by, host, expel
Duck	are_hunted_by, are_tracked_by	hunt, devour, lay_a_trap_for
First Lady	campaign_for, marry, support, assist, take_up_with	divorce, marry, vote_for
Orphan	are_abandoned_by, pine_for, cry_for, let_go_of	abandon, are_missed_by
Radio Personality	interview, host, charm, chat_with, speak_to, talk_to	are_interviewed_by, are_questioned_by, answer_questions_from, are_introduced_by, share_stories_with, speak_to, talk_to
Archeologist	look_for, study, pursue, seek, find	are_uncovered_by, are_discovered_by, are_pursued_by, are_probed_by, are_found_by
Chess Player	compete_with, are_coached_by, are_trained_by, play_against, compete_against, are_disqualified_by	coach, train, play_against, disqualify
Olympian	compete_with, are_coached_by, are_trained_by, play_against, compete_against, are_challenged_by	coach, train, play_against, challenge
Presenter	interview, host, charm, chat_with, speak_to, talk_to	are_interviewed_by, are_questioned_by, answer_questions_from, are_introduced_by, share_stories_with, speak_to, talk_to
Lawman	prosecute, arrest	are_prosecuted_by, are_charged_by
