Category	Super Category	Super Category	Super Category	Super Category	Super Category	Super Category	
DJ	Entertainer	Performer					
Doctor	Medical Professional	Professional					
Dog	Pet	Animal					
Dreamer	Lifestyle Advocate						
Drifter	Lifestyle Advocate						
Driver	Professional						
Drummer	Musician	Entertainer	Performer				
Drunkard	Unpleasant Person						
Duck	Bird	Animal					
Dwarf	Short Person						
Economist	Academic	Analyst	Professional				
Embezzler	Criminal	Cheat	Wrongdoer				
Emperor	Political Leader	Military Leader	Leader				
Engineer	Professional	Problem Solver					
English Buffoon	Buffoon	Fool	Unfortunate Person	Stupid Person	Unpleasant Person		
Entertainer	Performer						
Escapologist	Magician	Entertainer	Performer				
Everyman	Lifestyle Advocate						
Evolutionary Biologist	Biologist	Scientist	Professional				
Executive	Business Leader	Businessman	Capitalist	Leader			
Executive Assistant	Assistant	Helper					
Exile	Outcast	Outsider					
Explorer	Hero						
Farm boy	Assistant	Helper					
Fascist	Lifestyle Advocate	Political Advocate	Unpleasant Person				
Fashion Designer	Designer	Creative Professional	Professional				
Fashion Model	Performer	Professional					
Father	Male Relative	Parent	Associate				
FBI Agent	Legal Professional	Crime Fighter	Cop	Policeman			
Female Friend	Friend	Woman					
Female Impersonator	Impersonator	Entertainer	Performer				
Female Relative	Relative	Woman					
Feminist	Political Advocate	Lifestyle Advocate					
Fence	Criminal	Wrongdoer					
Fighter	Strong Person						
Film Maker	Creative Professional	Professional					
First Lady	Wife	Female Relative	Spouse	Associate			
Folk Singer	Singer	Entertainer	Performer				
Fool	Stupid Person	Unfortunate Person	Unpleasant Person				
Footballer	Sportsman	Competitor	Contestant	Athlete			
Forecaster	Analyst	Professional					
Foreigner	Outsider						
Freak	Circus Performer	Entertainer	Performer	Unfortunate Person			
French Buffoon	Buffoon	Fool	Stupid Person	Unfortunate Person	Unpleasant Person		
Friend	Helper	Assistant	Assistant				
Frontiersman	Explorer	Pioneer					
Frost Giant	Monster	Unpleasant Person					
Fugitive	Outsider	Unfortunate Person					
Fund Manager	Manager	Businessman	Capitalist				
Geek	Lifestyle Advocate	Technology User	Smart Person	Unpleasant Person			
General	Military Leader	Leader					
Genius	Intellectual	Smart Person					
Gentleman	Lifestyle Advocate						
Girlfriend	Female Friend	Friend					
Gladiator	Fighter	Entertainer	Performer				
God	Leader	Creator					
Golf Player	Sportsman	Competitor	Contestant				
Groundskeeper	Assistant	Helper					
Grump	Discontent	Unpleasant Person					
Guitarist	Musician	Entertainer	Performer				
Guru	Religious Leader	Leader	Religious Person				
Hacker	Intruder	Thief	Technology User	Unpleasant Person			
Has-Been	Unfortunate Person						
Hedonist	Lifestyle Advocate	Unpleasant Person					
Helper	Person						
Henchman	Assistant	Helper	Unpleasant Person				
Hero	Advocate	Fighter					
Heroine	Advocate						
Hippie	Lifestyle Advocate						
Historian	Academic	Analyst	Professional				
Host	Manager						
Hotelier	Manager	Businessman					
Humanist	Lifestyle Advocate						
Humorist	Entertainer	Performer	Writer				
Hunter	Outdoorsman	Killer					
Husband	Male Relative	Spouse	Associate				
Ice Hockey Player	Sportsman	Competitor	Contestant				
Impersonator	Pretender	Entertainer	Performer				
Industrialist	Business Leader	Businessman	Capitalist	Leader			
Informant	Assistant	Helper					
Intellectual	Smart Person						
Intern	Assistant	Helper					
Interviewer	Performer	Analyst					
Intruder	Unpleasant Person						
Invalid	Unfortunate Person						
Inventor	Creative Professional	Smart Person	Creator				
Investment Manager	Manager	Businessman	Capitalist				
Investor	Speculator	Businessman					
Janitor	Assistant	Helper					
Jedi Knight	Knight	Fighter	Religious Person				
Journalist	Reporter	Analyst					
Judge	Legal Professional	Professional					
Juvenile Delinquent	Wrongdoer	Delinquent	Wrongdoer	Unpleasant Person			
Killer	Wrongdoer						
King	Political Leader	Military Leader	Leader	Nobleman			
Knight	Nobleman	Military Leader					
Lackey	Helper	Assistant	Unpleasant Person				
Lady	Aristocrat						
Lawman	Crime Fighter	Policeman	Cop	Legal Professional			
Lawyer	Legal Professional	Professional					
Leader	Person						
Lecher	Lifestyle Advocate	Unpleasant Person					
Legal Professional	Professional						
Lexicographer	Professional						
Lifestyle Advocate	Advocate						
Linguist	Academic	Professional					
Loner	Lifestyle Advocate						
Lothario	Lover	Lifestyle Advocate					
Lover	Lifestyle Advocate						
Machine	Entity						
Madman	Unpleasant Person	Unfortunate Person					
Magician	Entertainer	Performer					
Maiden	Lifestyle Advocate	Young Person					
Malcontent	Grump	Discontent	Unpleasant Person				
Male Relative	Relative						
Man	Person						
Manager	Boss						
Maniac	Stupid Person	Unfortunate Person					
Martial Artist	Performer	Entertainer	Fighter	Sportsman	Competitor	Contestant	
Mascot	Assistant	Helper					
Mastermind	Leader	Genius	Intellectual	Smart Person			
Mathematician	Academic	Intellectual	Genius	Smart Person			
Mayor	Political Leader	Leader	Politician	Manager			
Media Tycoon	Tycoon	Publisher	Business Leader	Businessman	Leader	Capitalist	Millionaire
Medical Professional	Professional						
Mentalist	Entertainer	Analyst	Performer	Magician			
Mentor	Leader						
Mercenary	Soldier	Henchman	Assistant	Helper	Unpleasant Person		
Messiah	Religious Leader	Leader	Mentor	Religious Person			
Military Leader	Leader						
Millionaire	Wealthy Person						
Miser	Unpleasant Person						
Mistress	Adultress	Cheat	Girlfriend				
Mogul	Tycoon	Business Leader	Leader	Millionaire	Businessman		
Moneylender	Businessman	Unpleasant Person					
Monk	Priest	Religious Person					
Monster	Unpleasant Person						
Mother	Female Relative	Parent	Associate				
Motorcyclist	Rider	Vehicle User					
Mouse	Animal						
Musician	Entertainer	Creative Professional	Professional				
Mutineer	Dissident	Malcontent	Rebel	Unpleasant Person			
Nanny	Assistant	Helper					
Narcissist	Unpleasant Person						
Nazi	Political Advocate	Unpleasant Person	Bigot	Racist			
Nazi Bureaucrat	Bureaucrat	Nazi	Unpleasant Person				
Necromancer	Magician	Unpleasant Person					
Neighbour	Associate						
Nerd	Lifestyle Advocate	Technology User	Smart Person	Unpleasant Person			
News Reader	Performer	Professional					
Newspaper Magnate	Media Tycoon	Tycoon	Business Leader	Businessman	Leader	Millionaire	
Nihilist	Lifestyle Advocate	Unpleasant Person					
Nobleman	Person						
Norse God	God	Leader					
Novelist	Writer	Creative Professional	Professional				
Nun	Religious Person						
Nurse	Medical Professional	Professional	Assistant	Helper			
Obsessive	Unpleasant Person						
Octopus	Animal						
Ogre	Monster	Unfortunate Person					
Old Man	Old Person	Man					
Old Person	Person						
Olympian	Sportsman	Competitor	Contestant	Athlete			
Opera Singer	Singer	Entertainer	Performer				
Oppressor	Unpleasant Person						
Orator	Speaker						
Orphan	Young Person	Unfortunate Person					
Outcast	Exile	Unfortunate Person					
Outdoorsman	Lifestyle Advocate						
Outsider	Person						
Painter	Artist	Creative Professional	Professional				
Paleontologist	Scientist	Academic	Smart Person	Professional			
Paranormal Investigator	Scientist	Crank					
Parent	Relative						
Patsy	Fool	Unfortunate Person					
Performer	Creative Professional	Professional					
Person	Entity						
Pervert	Wrongdoer	Unpleasant Person					
Pet	Animal						
Petty Criminal	Criminal	Unpleasant Person					
Philanthropist	Advocate	Campaigner					
Philosopher	Intellectual	Academic	Smart Person				
Physicist	Scientist	Academic	Smart Person				
Pianist	Musician	Creative Professional	Professional				
Pickpocket	Thief	Criminal	Unpleasant Person				
Pickup Artist	Womanizer	Lecher	Unpleasant Person	Lifestyle Advocate			
Pig	Animal						
Pilot	Rider	Vehicle User					
Pioneer	Leader	Explorer					
Pirate	Sailor	Criminal	Wrongdoer	Unpleasant Person			
Plant	Entity						
Playboy	Hedonist	Unpleasant Person					
Playwright	Writer	Creative Professional	Professional				
Poet	Writer	Creative Professional	Professional				
Poetess	Writer	Creative Professional	Professional				
Police Chief	Legal Professional	Crime Fighter	Leader	Cop	Policeman		
Police Commissioner	Legal Professional	Crime Fighter	Leader	Cop	Policeman		
Policeman	Legal Professional	Crime Fighter					
Political Activist	Activist	Political Advocate	Advocate				
Political Advocate	Advocate						
Political Leader	Leader	Politician					
Politician	Leader						
Pop Singer	Singer	Entertainer	Performer				
Pope	Religious Leader	Leader	Religious Person	Priest			
Porn Star	Entertainer	Performer	Actor	Professional			
Pornographer	Creative Professional	Professional	Film Maker	Unpleasant Person			
Preacher	Religious Leader	Religious Person	Leader	Orator			
Predator	Hunter	Killer	Unpleasant Person				
Presenter	Performer	Professional					
President	Political Leader	Military Leader	Leader	Politician			
Pretender	Cheat	Unpleasant Person					
Priest	Religious Person						
Prime Minister	Political Leader	Military Leader	Leader	Politician			
Primitive	Person						
Prince	Aristocrat	Political Leader	Leader	Nobleman			
Princess	Aristocrat	Political Leader	Leader	Lady			
Principal	Teacher	Leader					
Prisoner	Captive	Unfortunate Person					
Private Detective	Detective	Problem Solver	Crime Fighter				
Problem Solver	Smart Person						
Producer	Creative Professional	Professional	Smart Person	Professional			
Professional	Person						
Professor	Teacher	Intellectual	Smart Person	Professional			
Programmer	Writer	Professional	Technology User				
Promoter	Businessman	Advocate					
Propagandist	Adman	Campaigner	Political Advocate	Advocate			
Prophet	Religious Leader	Forecaster	Religious Person	Leader	Unpleasant Person		
Proprietor	Businessman	Manager					
Prosecutor	Legal Professional	Crime Fighter	Lawyer				
Psychiatrist	Medical Professional	Doctor	Mentor				
Psychopath	Madman	Unfortunate Person					
Publisher	Businessman						
Pundit	Forecaster	Analyst	Prophet				
Punk	Delinquent	Unpleasant Person					
Puppet	Helper	Assistant	Unpleasant Person				
Queen	Political Leader	Military Leader	Leader	Lady			
Rabbit	Animal						
Raccoon	Animal						
Racer	Rider	Competitor	Contestant				
Racist	Bigot	Unpleasant Person			Vehicle User		
Radical	Discontent	Campaigner	Activist				
Radio Host	Presenter	Performer	Professional				
Radio Personality	Presenter	Performer	Professional				
Rapper	Musician	Creative Professional	Professional	Singer	Entertainer	Performer	
Rebel	Discontent	Campaigner	Activist	Fighter			
Recluse	Outsider	Unfortunate Person	Unpleasant Person				
Reggae Singer	Singer	Entertainer	Performer				
Relative	Associate						
Religious Activist	Religious Person	Activist					
Religious Leader	Religious Person	Leader					
Religious Person	Person						
Replicant	Leader	Religious Person					
Reporter	Analyst	Professional					
Restauranteur	Businessman	Manager					
Revolutionary	Political Advocate	Political Leader	Leader	Dissident	Campaigner	Activist	
Rider	Vehicle User						
Robber	Thief						
Robot	Artificial Person	Machine					
Rock Singer	Musician	Creative Professional	Professional				
Role Model	Leader						
Roman General	General	Military Leader	Leader	Soldier			
Roman Gladiator	Gladiator	Fighter	Entertainer	Performer	Contestant	Sportsman	
Roman Slave	Slave	Captive	Unfortunate Person				
Royal	Aristocrat	Leader					
Runner	Sportsman	Competitor	Contestant				
Sailor	Vehicle User						
Savant	Smart Person						
Saxophonist	Musician	Creative Professional	Professional				
Scandalmonger	Speaker	Unpleasant Person					
Scholar	Smart Person	Student	Academic				
Schoolkid	Young Person	Student					
Scientist	Academic	Smart Person	Intellectual	Problem Solver			
Scrounger	Unpleasant Person						
Sculptor	Artist	Creative Professional	Professional				
Seamstress	Tradesman						
Secret Agent	Crime Fighter	Pretender					
Seductress	Magician						
Serial Killer	Killer	Unpleasant Person					
She-Devil	Devil	Unpleasant Person					
Sheriff	Legal Professional	Crime Fighter	Leader	Cop			
Shooting Guard	Basketball Player	Sportsman	Competitor	Contestant			
Shopper	Lifestyle Advocate						
Short Person	Person						
Showman	Entertainer	Performer					
Shyster	Lawyer	Legal Professional	Professional	Unpleasant Person			
Sibling	Relative						
Sidekick	Assistant	Helper					
Singer	Entertainer	Performer					
Sister	Female Relative	Sibling					
Skeptic	Intellectual	Unpleasant Person					
Skunk	Animal	Unpleasant Person					
Slacker	Unpleasant Person						
Slave	Captive	Unfortunate Person					
Smart Person	Person						
Smuggler	Criminal	Wrongdoer	Unpleasant Person				
Snob	Unpleasant Person						
Soccer player	Sportsman	Competitor	Contestant				
Software Agent	Artificial Person						
Software Developer	Programmer	Writer	Professional				
Software Engineer	Engineer	Software Developer	Programmer	Writer	Professional		
Soldier	Killer						
Son	Male Relative	Child					
Songwriter	Writer	Creative Professional	Professional				
Southern Belle	Lady	Lifestyle Advocate					
Speaker	Person						
Speculator	Businessman						
Spinster	Lady						
Sponge	Stupid Person						
Sportsman	Competitor	Contestant					
Spouse	Relative						
Spy	Secret Agent						
Statistician	Mathematician	Analyst	Forecaster	Professional			
Stepmother	Female Relative	Parent					
Strong Person	Person						
Strongman	Strong Person						
Student	Young Person						
Stuntman	Daredevil	Entertainer	Performer	Professional			
Stupid Person	Person	Unfortunate Person					
Suitor	Lover						
Superhero	Hero	Crime Fighter	Strong Person				
Survivalist	Strong Person						
Swimmer	Athlete	Competitor	Contestant				
Swindler	Trickster	Cheat	Wrongdoer	Unpleasant Person			
Symbologist	Academic	Intellectual	Analyst				
Teacher	Academic	Intellectual					
Technologist	Technology User						
Technology User	Person						
Teenager	Young Person						
Telepath	Smart Person						
Tennis player	Sportsman	Competitor	Contestant				
Terrorist	Criminal	Killer	Unpleasant Person				
Therapist	Helper						
Thief	Criminal	Unpleasant Person					
Thug	Strong Person	Unpleasant Person					
Toady	Helper	Assistant	Unpleasant Person				
Trader	Tradesman						
Tradesman	Person						
Traitor	Cheat						
Transvestite	Cross Dresser	Lifestyle Advocate					
Tree	Plant						
Trickster	Unpleasant Person						
Trumpeter	Musician	Creative Professional	Professional				
TV Host	Presenter	Performer	Professional				
TV Presenter	Presenter	Performer	Professional				
Tycoon	Business Leader	Businessman	Millionaire	Capitalist			
Tyrant	Political Leader	Leader	Bully	Oppressor			
Unfortunate Person	Person						
Unpleasant Person	Person						
Vagabond	Wanderer	Unfortunate Person					
Vampire	Monster	Unpleasant Person					
Vampire Slayer	Hunter	Killer	Hero				
Vehicle User	Person						
Veteran	Soldier						
Vice President	Political Leader	Politician	Leader	Assistant			
Vigilante	Crime Fighter	Unpleasant Person					
Villain	Unpleasant Person						
Visionary	Genius	Prophet	Intellectual	Smart Person			
Voyeur	Pervert	Unpleasant Person					
Wanderer	Explorer	Adventurer					
Warrior	Soldier	Strong Person	Fighter				
Wealthy Person	Person						
Whistleblower	Informant	Spy					
Widow	Wife	Female Relative	Spouse	Unfortunate Person			
Wife	Female Relative	Spouse					
Wizard	Magician	Performer					
Woman	Person						
Womanizer	Lecher	Lifestyle Advocate	Unpleasant Person				
Wrestler	Strong Person	Athlete	Competitor	Contestant			
Writer	Creative Professional	Professional					
Wrongdoer	Unpleasant Person						
Young Person	Person						
Zealot	Advocate	Campaigner	Unpleasant Person				
