Location	Type	Determiner	Preposition	Size	Ambience	Interactions	Props
church	Building	a	in	large	solemn, sombre, dark, hushed, gloomy, severe, dignified, austere, serene, frigid		
shrine	Building	a	in	small	hushed, creepy, gaudy, macabre, grandiose, hallowed, humble, glittering, serene, tranquil		
temple	Building	a	in		hushed, hallowed, humble, glittering, majestic, serene, tranquil, pristine		
Buddhist temple	Building	a	in		hushed, hallowed, humble, glittering, majestic, serene, tranquil, pristine		
church basement	Floor	a	in		dark, damp, dank, unheated, clammy, moldy, dusty, sweaty, smelly, dim, gloomy, humid, stuffy, shabby, airless, fetid, murky, unventiliated, 		
circus	Event	a	in	large	bright, vibrant, funky, colourful, crowded, bizarre, flamboyant, wacky, cheerful, joyful, raucous, exuberant, chaotic, rambunctious, gaudy, psychedelic		
city hall	Building	a	in	large	grandiose, formal, stuffy, boring, dated, pretentious, sombre, faded, solemn, stark		
clothing factory	Building	a	in	large	bustling, noisy, hectic, monotonous, bleak, dreary, soulless, outdated, oppressive, exploitative		
coal pit	Outside_Area	a	in	large	dark, dirty, gloomy, dank, sweaty, depressing, dismal, damp, filthy, muddy, grungy, barren, desolate, squalid, murky		
cobbler shop	Building	a	in	small	humble, modest, cluttered, cramped, quaint, dated		
cockpit	Room	a	in	small	claustrophobic, cramped, narrow, uncomfortable, confining		
college dormitory	Floor	a	in	large	crowded, spartan, noisy, drab, dreary, noisy, cluttered, smelly, messy		
comedy club	Building	a	in		crowded, sweaty, dark, loud, noisy, lively, rowdy, raucous, energetic, spirited, snug		
comic book convention	Event	a	in	large	nerdy, geeky, colourful, bustling, vibrant, spirited, lively, wacky, kitschy, whimsical, eccentric, quirky		
comic book store	Building	a	in		colourful, cramped, geeky, nerdy, bright, quirky, wacky, kitschy, garish, whimsical, eccentric, quirky		
command bridge	Floor	the	on	small	sombre, hectic, intense, chaotic, tense, suspenseful, uneasy, unnerving, claustrophobic, ominous		
command module	Room	the	in	small	cramped, claustrophobic, uncomfortable		
command room	Room	the	in		sombre, hectic, intense, chaotic, tense, suspenseful, uneasy, unnerving, claustrophobic, ominous		
computer room	Room	a	in		sweaty, bland, drab, dull, humming, dreary, lifeless, soulless, monochromatic, spartan, nondescript, featureless, anonymous, stark, sterile		
confession box	Room	a	in	small	dark, cramped, claustrophobic, spartan, uncomfortable, stark, severe, snug		
convent	Building	a	in	large	stark, gloomy, cold, hushed, austere, sombre, shadowy, bleak, dreary, severe, serene, tranquil		
council chamber	Room	a	in	large	formal, upscale, grand, prestigious, elegant, spacious, intimidating, impersonal, stuffy, officious, pompous		
counting room	Room	a	in		staid, stark, drab, airless, stuffy, dull, windowless		
country house	Building	a	in	large	grand, elegant, charming, faded, secluded, rustic, rambling, sumptuous, distinguished, dignified, quaint, pretentious, commodious, spooky, genteel, drafty		
court room	Room	a	in	large	packed, crowded, formal, solemn, dignified, hushed, stately, tense, airless, stuffy, impersonal, dull		
court TV set	Room	a	in	large	lively, impersonal, artificial, generic, sanitized, phony		
cramped studio apartment	Room	a	in	small	cramped, claustrophobic, cluttered, uncomfortable, depressing, dingy, musty, smelly, stuffy, depressing, dismal, cheerless, threadbare, spartan, drab, ramshackle		
cryogenics laboratory	Room	a	in		chilly, sterile, cold, freezing, barren, shiny, gleaming, antiseptic, creepy, clinical, pristine, aseptic, neat, orderly		
dance hall	Floor	a	in	large	packed, crowded, seedy, sweaty, lively, boisterous, rowdy, raucous, spacious, loud, cheesy, spirited, funky		
dark alley	Outside_Area	a	in		dark, bleak, gloomy, shadowy, sinister, damp, unwelcoming, lonely, scary, narrow, dank, desolate, creepy, grimy, cramped, dirty, seedy, filthy, smelly, sticky		
desert	Outside_Area	the	in	large	barren, lifeless, bleak, dry, humid, desolate, sterile, sandy, rocky, featureless, harsh, unforgiving, boring, infertile, windswept, unspoiled, uninhabitable, stony, scrubby, ravaged, parched, pitiless, nondescript, monotonous, dreary, drab, desiccated, colorless, bland, arid, dusty		
deserted building site	Outside_Area	a	in	large	abandoned, bleak, barren, scrubby, stony, rocky, dreary, lonely, desolate, eerie, forlorn, gloomy, solitary, spooky, grim, ugly		
discotheque	Building	a	in	large	crowded, sweaty, dark, loud, noisy, lively, rowdy, raucous, energetic, spirited, vibrant, smoky, tacky, cheesy, sparkly, flashy, gaudy, dated, sultry, raunchy		
disused hangar	Building	a	in	large	forlorn, musty, desolate, crumbling, grim, drafty, damp, dusty, comfortless, unwelcoming, spacious, dilapidated, ramshackle, spooky		
disused quarry	Outside_Area	a	in	large	gray, cold, dead, derelict, stony, arid, rocky, gloomy, rugged, weathered		
donut shop	Building	a	in	small	greasy, alluring, welcoming, oily, colourful, cheerful, bustling, appealing, tacky, cheap, unsophisticated		
drawing room	Room	a	in		elegant, spacious, formal, cosy, sumptuous, relaxing, stately, intimate, sunny, charming, welcoming		
dressing room	Room	a	in	small	poky, cramped, cluttered, drab, snug		
elevator	Room	an	in	small	claustrophobic, cramped, narrow, confining		
emergency room	Room	an	in		chaotic, bloody, noisy, energetic, crowded, hectic, packed, intense, stressful, 		
escape pod	Room	an	in	small	claustrophobic, cramped, narrow, confining		
executive restroom	Room	an	in	large	exclusive, indulgent, oversized, grandiose, luxurious, soothing, calm, lavish, serene, refreshing, sumptuous, tranquil, plush		
fabrication lab	Building	a	in		clean, sterile, shiny, bland, pristine, orderly, bright, windowless, cool, air-conditioned		
factory floor	Floor	a	in	large	hectic, noisy, busy, orderly, bustling, energetic, loud, cramped, crowded		
family restaurant	Building	a	in	large	cheery, cosy, casual, informal, warm, welcoming, inviting, relaxing, busy, upscale , comfortable, cheesy, tacky		
fancy hotel	Building	a	in	large	exclusive, glitzy, flashy, glamorous, pretentious, ornate, ostentatious, pretentious, chic, stylish, sophisticated, glossy, showy, prestigious, sleek, upscale, upmarket, luxurious, polished, cosmopolitan, snooty, marbled		
fancy restaurant	Building	a	in	large	exclusive, glitzy, flashy, glamorous, pretentious, ornate, ostentatious, pretentious, chic, stylish, sophisticated, glossy, showy, sleek, upscale, upmarket, lush, elegant, cosmopolitan, smug, snooty, snug		
Faraday cage	Room	a	in		cramped, claustrophobic, rusty, confining, miserable, windowless, smelly, uncomfortable, restrictive, unclean, barren, unsanitized		
farmer's market	Outside_Area	a	in	large	unsanitized, noisy, smelly, messy, aromatic, fragrant, colourful, fresh, bustling, rustic, smug		
fashion studio	Building	a	in	large	stylish, trendy, sleek, chic, sophisticated, elegant, showy,  glamorous, hip, contemporary, fabulous, lush, smug		
fast-food restaurant	Building	a	in		tacky, cheesy, bright, plastic, busy, bustling, crowded, gaudy, cheap		
film set	Floor	a	in	large	busy, orderly, hectic, windowless, 		
flea market	Outside_Area	a	in	large	crowded, bustling, hectic, busy, cramped, dusty, eclectic, haphazard, motley  		
floating platform	Floor	a	on		jerky, noisy, unstable, humming, elevated		
flop house	Building	a	in		sweaty, spartan, drab, dreary, smelly, dirty, filthy, grimy, dank, musty, moldy, depressing, damp, decrepit, dilapidated, unwelcoming, stale		
foreign office	Building	a	in	large	clubby, staid, conservative, dull, stodgy, dignified, austere, sombre, understated, polished, orderly, formal		
frozen pond	Outside_Area	a	on	large	icy, freezing, cold, slippery, barren, lifeless, frigid, grey, sterile, wintry, chilly, gloomy, frosty		
garage	Outside_Area	a	in		cluttered, cramped, untidy, messy, windowless, dusty, oily, stuffy, dingy, musty, unheated		
garbage dumpster	Room	a	in		smelly, stinky, dirty, dank, sticky, windowless, stale, stagnant, filthy, clammy, vile, dark, cramped, cluttered, claustrophobic		
garden shed	Room	a	in	small	quaint, dingy, cramped, unheated, cluttered, damp, humid, ramshackle, humble, leaky, dusty		
gas chamber	Room	a	in	small	cramped, claustrophobic, sterile, confining, miserable, windowless, cold, uncomfortable, restrictive, uninviting, unwelcoming, airless, stale, lifeless, stark, suffocating,		
ghost town	Compound	a	in	large	derelict, shabby, rundown, ramshackle, dusty, creepy, sinister, spooky, lifeless, grim, dreary, soulless, gloomy, haunted, eerie		
gloomy dungeon	Compound	a	in	large	dark, grim, dank, damp, dreary, unwelcoming, uninviting, dismal, murky, bleak, miserable, eerie, dim, creepy, sinister, bloody, suffocating, chilling, labyrinthine		
golf course	Outside_Area	a	on	large	boring, windswept, treeless, rambling, sprawling, featureless, bland, serene, placid, lush, scenic, picturesque, landscaped, sculpted, neat, nondescript, staid		
gymnasium	Floor	a	in	large	spacious, sweaty, smelly, odorous, airy, humid		
hair salon	Floor	a	in		upscale, stylish, chic, fashionable, welcoming, hip, plush, upbeat, pretentious, snooty, noisy, busy, bustling		
hall of mirrors	Floor	a	in	large	confusing, disorienting, psychedelic, shiny, frustrating, chaotic, 		
health farm	Compound	a	in	large	clean, sterile, shiny, bland, pristine, orderly, bright,  relaxing, airy, sanitized, smug		
hi-tech laboratory	Room	a	in		sophisticated, clean, bright, modern, sterile, orderly, sanitized, hygienic, pristine, ergonomic, contemporary, air-conditioned, sleek, futuristic, neat, tidy		
hippy commune	Compound	a	in	large	peaceful, happy, carefree, smoky, relaxed, laidback, welcoming, scruffy, smug, soothing, mellow		
hobo camp	Compound	a	in	large	shabby, dirty, messy, cramped, dilapidated, dumpy, dreary, ramshackle, decrepit, crowded, dank, dusty, squalid, depressing, smelly, depressing, cluttered, dismal, carefree, scruffy, smoky, laidback		
fancy hotel foyer	Floor	a	in	large	marbled, grand, formal, inviting, stylish, bright, tasteful, airy, ornate, fabulous, plush, warm, swanky		
cheap hotel foyer	Floor	a	in	small	outdated, cramped, dim,  drafty, musty, dark, poky, staid, sticky, smelly,  damp, stuffy, gloomy		
housing estate	Compound	a	in	large	quiet, sleepy, bland, uniform, boring, close-knit, faceless, soulless, treeless, drab, smug, repressed, suffocating		
ice rink	Floor	an	on	large	icy, freezing, cold, slippery,  frigid, sterile, wintry, chilly, frosty		
incident room	Room	an	in		cluttered, intense, windowless, stuffy, noisy, busy		
intensive care ward	Floor	an	in	large	packed, hushed, windowless, sanitized, hygienic, clean, busy, solemn, sombre, depressing, 		
internet café	Building	an	in		sweaty, bland, drab, dull, humming, dreary, lifeless, soulless, monochromatic, spartan, nondescript, featureless, anonymous, stark, cluttered		
interrogation room	Room	an	in		harsh, gory, windowless, stuffy, airless, unwelcoming, uninviting, dreary, sinister, grim, intimidating, pitiless		
Italian restaurant	Building	an	in		shabby, nondescript, formulaic, dingy, tacky, cheesy, flashy, colourful,  authentic, greasy, garish, festooned, cosy, romantic, rustic, charming, informal, unpretentious, homey, convivial		
jail cell	Room	a	in	small	spartan, cramped, claustrophobic, confining, dreary, dim, uncomfortable, unwelcoming, uninviting, cold, dull, austere		
jewelry store	Building	a	in		glitzy, glossy, showy, classy, vulgar, crass, gaudy, trashy, tacky, kitschy, bright, cluttered, flashy, glittering, glamorous, swanky		
job centre	Building	a	in	large	depressing, dim, hushed, dreary, garish, bleak, dismal, frustrating, lifeless, dull, stark, soulless, drab, desolate, gloomy, staid		
jumble sale	Floor	a	in		cluttered, disorganized, untidy, messy, crowded, hectic, eclectic, musty, dusty		
jungle	Outside_Area	a	the	large	humid, dense, lush, damp, overgrown, murky, leafy, labyrinthine, foreboding, sticky, claustrophobic, eerie, impenetrable, muggy, sweaty, shady, oppressive, steamy, sultry, sweltering, unforgiving		
kill room	Room	a	in		intimidating, eerie, bloody, gory, uninviting, unwelcoming, spartan, claustrophobic, sinister, windowless		
kindergarten	Building	a	in		noisy, rowdy, raucous, cheerful, boisterous, bright, airy, colourful,  whimsical, joyful, energetic, spirited, unruly		
Korean restaurant	Building	a	in		smoky, sizzling, sweaty, hot, hot, aromatic, greasy, exotic, noisy, boisterous, convivial		
larder	Room	a	in	small	cramped, claustrophobic, cluttered, windowless, stuffy, unheated, 		
pantry	Room	a	in	small	cramped, claustrophobic, cluttered, windowless, stuffy, unheated, 		
Laser Tag arcade	Building	a	in		dark, cold, eerie, sinister, flashy, intense, intimidating, dingy, smoky, 		
lecture theatre	Room	a	in	large	stuffy, crowded, hushed, cramped, boring, windowless, airless, dull, drab, staid		
leper colony	Compound	a	in	large	shabby, dirty, messy, dilapidated, dumpy, dreary, ramshackle, decrepit, crowded, dank, dusty, squalid, depressing, smelly, depressing, cluttered, dismal		
library reference room	Room	a	in		hushed, orderly, stuffy, airless, windowless, tranquil, serene, quaint, drab, formal, staid		
liposuction clinic	Building	a	in		sterile, shiny, gleaming, antiseptic, clinical, pristine, aseptic, neat, orderly		
living room	Room	a	in	small	snug, cosy, comfortable, warm, inviting, convivial		
low-tech laboratory	Room	a	in		dated, cluttered, antiquated, dusty, dingy, obsolete, outdated, cramped, messy, untidy		
make-shift hut	Building	a	in	small	primitive, ramshackle, humble, crude, shabby, squalid, windowless, cramped, leaky, flimsy, unheated, spartan, damp		
make-shift lab	Room	a	in		humble, cramped, ramshackle, crude, sloppy, spartan, messy, untidy		
map room	Room	a	in		hushed, orderly, stuffy, airless, windowless, tranquil, serene, quaint, elegant, formal, polished, staid		
mental hospital	Building	a	in	large	chaotic, draconian, shabby, harsh, strict, disorderly, unwelcoming, depressing, dreary, confining, oppressive		
minaret	Building	a	in	large	lofty, slim, narrow, elegant, airy		
missile silo	Building	a	in	large	concrete, drab, unwelcoming, windowless, sombre, dreary, 		
mobile meth lab	Building	a	in		humble, cramped, ramshackle, crude, sloppy, spartan, messy, untidy, dusty, sloppy		
monastery	Compound	a	in	large	stark, gloomy, cold, hushed, austere, sombre, shadowy, bleak, dreary, severe, serene, tranquil		
mosque	Building	a	in	large	serene, hushed, sombre, tranquil, crowded, busy, ornate, staid		
motor home	Building	a	in	small	cramped, claustrophobic, uncomfortable, bumpy, stuffy, narrow		
movie studio	Compound	a	in	large	glamorous, showy, flashy, pretentious, phony, flamboyant, glitzy, kitschy		
music hall	Building	a	in	large	crowded, bustling, hectic, busy, cramped, noisy, energetic, musical		
music room	Room	a	in		hushed, serene, quaint, sound-proofed, noisy, 		
natural history museum	Building	a	in	large	dusty, antiquated, neglected, boring, musty, stuffy, quaint, lifeless, quiet, stodgy, staid, dim		
newspaper office	Building	a	in	large	hectic, noisy, busy, orderly, bustling, energetic, loud, cramped, crowded, cluttered		
nuclear power plant	Building	a	in	large	toxic, drab, orderly, windowless, humming, busy, noisy, concrete, humorless, impersonal		
observatory	Building	an	in	large	lofty, stuffy, windowless, sleek, cramped		
office building	Building	an	in	large	hectic,  busy, orderly, bustling, energetic, crowded, impersonal, nondescript, featureless, bland, anonymous, faceless, stressful, soulless, dour		
office canteen	Room	an	in	large	greasy, unsophisticated, dreary, windowless, smell, noisy, hectic, cluttered, messy, smoky, smelly, busy, unpretentious, nondescript, dodgy, anonymous		
political rally	Event	a	at	large	packed, energetic, loud, noisy, crowded, raucous, 		
Olympic swimming pool	Building	an	in	large	heated, sparkling, pristine, impressive, windowless, immaculate, spacious, clean, damp, wet, humid, sticky, slippery		
open-plan office	Floor	an	in	large	hectic,  busy, orderly, bustling, energetic, crowded, impersonal, nondescript, featureless, bland, anonymous, faceless, stressful, soulless, airy		
orphanage	Building	an	in	large	dreary, bleak, drab, grim, depressing, cheerless, dilapidated, understaffed, dismal, dull, 		
outlet mall	Building	an	in	large	crowded, bustling, hectic, busy,  sprawling, energetic, generic, soulless, bland, repetitive		
Pacific atoll	Outside_Area	a	on	large	sandy, barren, desolate, lifeless, unspoiled, bleak, desolate, rugged, windswept, scrubby, dusty, arid		
padded room	Room	a	in		stark, spartan, clean, claustrophobic, confining, cramped, suffocating, stifling, oppressive, austere		
palatial mansion	Building	a	in	large	luxurious, elegant, lush, stylish, opulent, grandiose, ornate, decadent, romantic, plush, comfortable, polished, glamorous, lavish		
parking lot	Outside_Area	a	in	large	concrete, drab, grey, featureless, barren, desolate, lifeless, dreary, lonely, windswept, nondescript, 		
parliament building	Building	a	in	large	distinctive, mature, ornate, dour, imposing, stately, ornate, spacious, plush, dignified, polished, solemn, monolithic, handsome, baroque, durable		
parliament chamber	Room	a	in	large	elegant, plush, vibrant, noisy, loud, clamorous, venerable, sombre, dignified, sturdy, sweeping		
pawn shop	Building	a	in		tacky, gaudy, cramped, untidy, cluttered, dreary, depressing, sleazy, seedy, charmless		
peace conference	Event	a	in		hectic, busy, bustling, lively, stimulating, pretentious, fractious, rambunctious, boisterous, spirited, volatile, 		
penthouse apartment	Floor	a	in		lofty, sleek, elegant, luxurious, stylish, swanky, plush, lavish, sumptuous, exclusive, opulent, chic		
pet cemetery	Outside_Area	a	in	large	sombre, foggy, dreary, depressing, haunted, bleak, desolate, quiet, peaceful, gloomy, tranquil, quirky, 		
photo booth	Room	a	in	small	cramped, claustrophobic, windowless, narrow, dim		
piano bar	Building	a	in		atmospheric, stylish, cosy, welcoming, musical, intimate, classy, charming, moody, chic, smoky, relaxing, sultry		
pizzeria	Building	a	in		nondescript, formulaic, tacky, cheesy, flashy, colourful,  greasy, garish, festooned, cosy, informal, unpretentious,  loud, bustling		
plastic surgeon's office	Building	a	in		bright, sleek, clean, tidy, organized, clinical, sterile, hygienic		
playground	Outside_Area	a	in		noisy, rowdy, raucous, cheerful, boisterous, bright, airy, colourful,  whimsical, joyful, energetic, spirited, unruly		
pool hall	Floor	a	in		smoky, seedy, dark, gloomy, sleazy, decrepit, gritty, raucous, stale, smelly, grimy, dingy, murky, 		
presidential palace	Building	a	in	large	luxurious, elegant, lush, stylish, opulent, grandiose, ornate, decadent, romantic, plush, comfortable, polished, glamorous, lavish, dilapidated		
principal's office	Room	a	in		uninviting, formal, orderly, uptight, sombre, tidy, staid		
prison	Building	a	in	large	spartan, cramped, claustrophobic, confining, dreary, dim, uncomfortable, unwelcoming, uninviting, cold, dull, austere, oppressive, stifling, suffocating, labyrinthine, orderly, gritty, drab, crowded, concrete, barren, windowless		
prison yard	Outside_Area	a	in		concrete, drab, grey, featureless, barren, desolate, lifeless, dreary, lonely, windswept, nondescript, uneasy, menacing		
private island	Outside_Area	a	in	large	elegant, plush, luxurious, sandy, welcoming, exclusive, relaxing, spacious, sunny, exotic, opulent, glamorous, tranquil, serene, lavish, lush, leisurely		
private library	Room	a	in		hushed, orderly,  tranquil, serene, quaint, elegant, formal, polished, staid		
private vault	Room	a	in		heavy, grey, cold, airtight, gloomy, concrete, airless, stuffy, impenetrable, silent, windowless, secure		
private warehouse	Building	a	in	large	spacious, airy, roomy, grand, quiet, upscale, air-conditioned, commodious, orderly 		
private yacht	Building	a	on	large	luxurious, elegant, lush, stylish, opulent, grandiose, ornate, decadent, romantic, plush, comfortable, polished, glamorous, lavish		
public library	Building	a	in	large	hushed, orderly, stuffy, airless, windowless, tranquil, serene, quaint, drab, formal, staid		
public restroom	Room	a	in	small	squalid, wet, damp, humid, smelly, slippery, sticky, airless, windowless, cramped, dirty		
public square	Outside_Area	a	in	large	crowded, bustling, hectic, busy, lively, litter-strewn, noisy		
public swimming pool	Building	a	in	large	windowless, spacious, polluted, damp, wet, humid, sticky, slippery		
race track	Outside_Area	a	in	large	busy, bustling, crowded, energetic, loud, boisterous, noisy, 		
radio studio	Building	a	in		cramped, claustrophobic, uncomfortable, windowless, airless, stuffy, sound-proofed		
recording studio	Building	a	in		sophisticated, sound-proofed, windowless, airless, stuffy		
red carpet	Outside_Area	the	on		glittering, glamorous, star-studded, crowded, boisterous, energetic, loud, flashy, stylish, chic, glossy, bustling		
restaurant kitchen	Room	a	in		busy, noisy, hectic, cramped, frenetic, loud, humid, sweaty, steamy, lively, aromatic, 		
retirement home	Building	a	in	large	sedate, quiet, tranquil, staid, serene, peaceful, boring, stuffy, antiquated, soothing, mellow, laidback, sleepy		
roadhouse bar	Building	a	in		rowdy, raucous, loud, noisy, hectic, boisterous, rambunctious, fractious, smoky, sweaty, gritty, sticky, seedy, crowded		
roof garden	Floor	a	in		peaceful, soothing, mellow, quiet, calming, serene, tranquil, idyllic, welcoming, relaxing, lofty, sunny, picturesque, lush,  charming, unspoiled		
safe house	Building	a	in		secure, windowless, stuffy, confining, oppressive, concrete, claustrophobic, stifling		
sandy beach	Outside_Area	a	on	large	sunny, windy, windswept, stony, dusty, salty, barren, sandy		
sauna	Room	a	in		sweltering, hot, humid, damp, sweaty, sticky, slippery, steamy		
school canteen	Building	a	in	large	greasy, unsophisticated, dreary, windowless, smell, noisy, hectic, cluttered, messy, smoky, smelly, busy, unpretentious, nondescript, dodgy, anonymous		
