Root	Comparative
adjoining	more adjoining
adjustable	more adjustable
adjusted	more adjusted
administered	more administered
administering	more administering
admirable	more admirable
admired	more admired
admiring	more admiring
admitted	more admitted
adolescent	more adolescent
adopted	more adopted
adopting	more adopting
adorable	more adorable
adored	more adored
adoring	more adoring
adorned	more adorned
adorning	more adorning
adroit	more adroit
advanced	more advanced
advancing	more advancing
advantageous	more advantageous
adventuring	more adventuring
adventurous	more adventurous
advertised	more advertised
advertising	more advertising
advising	more advising
advocating	more advocating
aerated	more aerated
aerodynamic	more aerodynamic
aesthetic	more aesthetic
affable	more affable
affecting	more affecting
affectionate	more affectionate
affirmative	more affirmative
affirmed	more affirmed
affluent	more affluent
affordable	more affordable
afraid	more afraid
aged	more aged
ageless	more ageless
aggravated	more aggravated
aggravating	more aggravating
aggregating	more aggregating
aggressive	more aggressive
agile	more agile
aging	more aging
agitated	more agitated
agitating	more agitating
agonizing	more agonizing
agreeable	more agreeable
agreed	more agreed
aiding	more aiding
aimed	more aimed
aiming	more aiming
aimless	more aimless
airbrushed	more airbrushed
airless	more airless
airtight	more airtight
alarming	more alarming
alcoholic	more alcoholic
alert	more alert
alerted	more alerted
alerting	more alerting
alien	more alien
alienated	more alienated
aligned	more aligned
alive	more alive
alkaline	more alkaline
alleged	more alleged
allied	more allied
allocated	more allocated
allotted	more allotted
alloyed	more alloyed
alluring	more alluring
alluvial	more alluvial
alone	more alone
aloof	more aloof
altering	more altering
altruistic	more altruistic
amazing	more amazing
amber	more amber
ambiguous	more ambiguous
ambitious	more ambitious
ambling	more ambling
amended	more amended
amiable	more amiable
amicable	more amicable
amoral	more amoral
amorous	more amorous
amorphous	more amorphous
amplified	more amplified
amplifying	more amplifying
amputated	more amputated
amusing	more amusing
anachronistic	more anachronistic
anal	more anal
analog	more analog
analogue	more analogue
analytical	more analytical
analyzed	more analyzed
analyzing	more analyzing
anchored	more anchored
anchoring	more anchoring
angelic	more angelic
angered	more angered
angled	more angled
angling	more angling
anguished	more anguished
angular	more angular
animated	more animated
annealing	more annealing
annexed	more annexed
annotated	more annotated
announcing	more announcing
annoying	more annoying
anointed	more anointed
anomalous	more anomalous
anonymous	more anonymous
anorexic	more anorexic
answered	more answered
anticipated	more anticipated
anticipating	more anticipating
antiquated	more antiquated
antique	more antique
antiseptic	more antiseptic
antisocial	more antisocial
anxious	more anxious
apathetic	more apathetic
apologetic	more apologetic
appalling	more appalling
apparent	more apparent
appealed	more appealed
appealing	more appealing
appeased	more appeased
appended	more appended
appetizing	more appetizing
applicable	more applicable
applied	more applied
applying	more applying
appointed	more appointed
appraising	more appraising
appreciated	more appreciated
appreciating	more appreciating
appreciative	more appreciative
approachable	more approachable
approved	more approved
aquatic	more aquatic
arbitrary	more arbitrary
arcane	more arcane
archaic	more archaic
arched	more arched
arching	more arching
architectural	more architectural
archived	more archived
archiving	more archiving
arcing	more arcing
ardent	more ardent
arduous	more arduous
arguing	more arguing
arid	more arid
aristocratic	more aristocratic
armed	more armed
armored	more armored
armoured	more armoured
aromatic	more aromatic
aroused	more aroused
arousing	more arousing
arpeggiated	more arpeggiated
arranged	more arranged
arrayed	more arrayed
arrested	more arrested
arresting	more arresting
arrogant	more arrogant
artful	more artful
articulate	more articulate
articulated	more articulated
artificial	more artificial
artistic	more artistic
artless	more artless
ascending	more ascending
aspiring	more aspiring
assaulted	more assaulted
assaulting	more assaulting
assembled	more assembled
assembling	more assembling
asserted	more asserted
assertive	more assertive
assessed	more assessed
assessing	more assessing
asset	more asset
assiduous	more assiduous
assigned	more assigned
assisting	more assisting
assumed	more assumed
assured	more assured
astonishing	more astonishing
astounding	more astounding
astute	more astute
athletic	more athletic
atmospheric	more atmospheric
atomized	more atomized
atrophied	more atrophied
attached	more attached
attaching	more attaching
attacked	more attacked
attacking	more attacking
attained	more attained
attended	more attended
attending	more attending
attentive	more attentive
attenuated	more attenuated
attenuating	more attenuating
attracting	more attracting
attractive	more attractive
audacious	more audacious
audible	more audible
auditing	more auditing
auditioning	more auditioning
august	more august
auspicious	more auspicious
austere	more austere
authentic	more authentic
authenticated	more authenticated
authoring	more authoring
authoritarian	more authoritarian
authoritative	more authoritative
authorized	more authorized
authorizing	more authorizing
autographed	more autographed
automated	more automated
automatic	more automatic
autonomous	more autonomous
avid	more avid
avowed	more avowed
awakening	more awakening
awarded	more awarded
aware	more aware
awed	more awed
awkward	more awkward
babbling	more babbling
babysitting	more babysitting
backbiting	more backbiting
backbreaking	more backbreaking
backfiring	more backfiring
backhanded	more backhanded
backing	more backing
backpacking	more backpacking
backsliding	more backsliding
backstabbing	more backstabbing
baffled	more baffled
baffling	more baffling
baited	more baited
baiting	more baiting
baked	more baked
baking	more baking
balanced	more balanced
balancing	more balancing
balding	more balding
banal	more banal
banded	more banded
banding	more banding
banged	more banged
banging	more banging
banked	more banked
banking	more banking
banned	more banned
banning	more banning
baptized	more baptized
barbaric	more barbaric
barbarous	more barbarous
barbecued	more barbecued
barbed	more barbed
barefaced	more barefaced
bargaining	more bargaining
barking	more barking
barred	more barred
barren	more barren
bashful	more bashful
basic	more basic
basking	more basking
bated	more bated
batted	more batted
battered	more battered
battering	more battering
batting	more batting
battling	more battling
bawling	more bawling
beached	more beached
beaded	more beaded
beamed	more beamed
beaming	more beaming
bearded	more bearded
bearing	more bearing
beaten	more beaten
beating	more beating
beautifying	more beautifying
beckoning	more beckoning
bedraggled	more bedraggled
beeping	more beeping
befuddled	more befuddled
begging	more begging
beginning	more beginning
beguiling	more beguiling
bejeweled	more bejeweled
belching	more belching
believable	more believable
believed	more believed
believing	more believing
belligerent	more belligerent
bellowing	more bellowing
beloved	more beloved
belting	more belting
benchmarking	more benchmarking
bendable	more bendable
bended	more bended
bending	more bending
beneficial	more beneficial
benevolent	more benevolent
benign	more benign
bent	more bent
bereaved	more bereaved
bereft	more bereft
besieged	more besieged
besotted	more besotted
bestselling	more bestselling
betrayed	more betrayed
betraying	more betraying
betting	more betting
beveled	more beveled
bewildered	more bewildered
bewildering	more bewildering
bewitching	more bewitching
biased	more biased
biasing	more biasing
bickering	more bickering
biddable	more biddable
bidding	more bidding
bigoted	more bigoted
billed	more billed
billing	more billing
billowing	more billowing
billowy	more billowy
binding	more binding
biological	more biological
birthing	more birthing
bitching	more bitching
biting	more biting
bizarre	more bizarre
blabbering	more blabbering
blackened	more blackened
bladed	more bladed
blamed	more blamed
blameless	more blameless
blanched	more blanched
blaring	more blaring
blasphemous	more blasphemous
blasted	more blasted
blasting	more blasting
blatant	more blatant
blathering	more blathering
blazing	more blazing
bleached	more bleached
bleaching	more bleaching
bleating	more bleating
bleeding	more bleeding
blemished	more blemished
blended	more blended
blending	more blending
blessed	more blessed
blessing	more blessing
blighted	more blighted
blinded	more blinded
blindfolded	more blindfolded
blinding	more blinding
blinking	more blinking
blistered	more blistered
blistering	more blistering
blithering	more blithering
blitzing	more blitzing
bloated	more bloated
blocked	more blocked
blocking	more blocking
blogged	more blogged
blogging	more blogging
blonde	more blonde
bloodcurdling	more bloodcurdling
bloodied	more bloodied
bloodless	more bloodless
bloodsucking	more bloodsucking
bloodthirsty	more bloodthirsty
blooming	more blooming
blossomed	more blossomed
blossoming	more blossoming
blotting	more blotting
blowing	more blowing
blubbering	more blubbering
bluffing	more bluffing
blundering	more blundering
blurred	more blurred
blushing	more blushing
blustering	more blustering
blustery	more blustery
boasting	more boasting
boating	more boating
bobbing	more bobbing
bodybuilding	more bodybuilding
bogus	more bogus
bohemian	more bohemian
boiled	more boiled
boiling	more boiling
boisterous	more boisterous
bolted	more bolted
bolting	more bolting
bombing	more bombing
bonded	more bonded
bonding	more bonding
boned	more boned
boneless	more boneless
booked	more booked
booking	more booking
bookmarked	more bookmarked
booming	more booming
boosted	more boosted
boosting	more boosting
bootlegging	more bootlegging
bordering	more bordering
borrowed	more borrowed
borrowing	more borrowing
botched	more botched
bothersome	more bothersome
bottled	more bottled
bottling	more bottling
bottomless	more bottomless
bought	more bought
bounced	more bounced
bouncing	more bouncing
bound	more bound
bounded	more bounded
boundless	more boundless
bountiful	more bountiful
bovine	more bovine
bowed	more bowed
bowing	more bowing
bowled	more bowled
bowling	more bowling
boxed	more boxed
braced	more braced
bracing	more bracing
bragging	more bragging
braided	more braided
brainless	more brainless
brainstorming	more brainstorming
brainwashed	more brainwashed
brainwashing	more brainwashing
braking	more braking
branched	more branched
branching	more branching
branded	more branded
branding	more branding
braved	more braved
brawling	more brawling
braying	more braying
brazen	more brazen
breached	more breached
breaching	more breaching
breakable	more breakable
breaking	more breaking
breastfeeding	more breastfeeding
breathed	more breathed
breathing	more breathing
breathless	more breathless
breathtaking	more breathtaking
breeding	more breeding
brewed	more brewed
brewing	more brewing
bridled	more bridled
briefing	more briefing
brightening	more brightening
brimming	more brimming
briny	more briny
bristling	more bristling
bristly	more bristly
broadcasted	more broadcasted
broadcasting	more broadcasting
broadening	more broadening
broadminded	more broadminded
broiled	more broiled
broken	more broken
bronzed	more bronzed
brooding	more brooding
browned	more browned
browsing	more browsing
bruised	more bruised
brushed	more brushed
brusque	more brusque
brutal	more brutal
brutalized	more brutalized
brutalizing	more brutalizing
brutish	more brutish
bubbling	more bubbling
bucking	more bucking
buckled	more buckled
budding	more budding
buffed	more buffed
buffered	more buffered
buffering	more buffering
buffeting	more buffeting
buffing	more buffing
building	more building
built	more built
bulging	more bulging
bulleted	more bulleted
bullied	more bullied
bullying	more bullying
bumbling	more bumbling
bumping	more bumping
bumptious	more bumptious
bunched	more bunched
bundled	more bundled
bundling	more bundling
bungling	more bungling
buoyant	more buoyant
burdened	more burdened
burdening	more burdening
burdensome	more burdensome
bureaucratic	more bureaucratic
burgeoning	more burgeoning
buried	more buried
burned	more burned
burning	more burning
burnished	more burnished
burnt	more burnt
burrowing	more burrowing
burst	more burst
bursting	more bursting
busted	more busted
busting	more busting
bustling	more bustling
butchered	more butchered
butchering	more butchering
buttered	more buttered
buttery	more buttery
buttoned	more buttoned
buxom	more buxom
buying	more buying
buzzing	more buzzing
bypassing	more bypassing
cabled	more cabled
caching	more caching
cackling	more cackling
cacophonous	more cacophonous
cadaverous	more cadaverous
caffeinated	more caffeinated
caged	more caged
cajoling	more cajoling
calcified	more calcified
calculated	more calculated
calculating	more calculating
calculative	more calculative
calibrated	more calibrated
callous	more callous
calloused	more calloused
callused	more callused
calming	more calming
calving	more calving
cambered	more cambered
camouflaged	more camouflaged
campaigning	more campaigning
camping	more camping
cancelled	more cancelled
candid	more candid
candied	more candied
caning	more caning
canned	more canned
canning	more canning
canoeing	more canoeing
canonized	more canonized
cantankerous	more cantankerous
cantering	more cantering
canting	more canting
capable	more capable
capacious	more capacious
capitalistic	more capitalistic
capitalized	more capitalized
capped	more capped
capping	more capping
capricious	more capricious
captivating	more captivating
captured	more captured
capturing	more capturing
caramelized	more caramelized
carbonated	more carbonated
carding	more carding
carefree	more carefree
careful	more careful
careless	more careless
caressing	more caressing
caricatured	more caricatured
caring	more caring
carnivorous	more carnivorous
caroling	more caroling
carousing	more carousing
carpeted	more carpeted
carpeting	more carpeting
carried	more carried
carrying	more carrying
carved	more carved
carving	more carving
cascaded	more cascaded
cascading	more cascading
cashed	more cashed
cashing	more cashing
casing	more casing
casting	more casting
castrated	more castrated
casual	more casual
cataloging	more cataloging
catalogued	more catalogued
catastrophic	more catastrophic
catching	more catching
categorized	more categorized
catered	more catered
catering	more catering
cautious	more cautious
cavorting	more cavorting
celebrated	more celebrated
celebrating	more celebrating
celibate	more celibate
cemented	more cemented
cementing	more cementing
censoring	more censoring
centered	more centered
central	more central
centralized	more centralized
centralizing	more centralizing
cerebral	more cerebral
certified	more certified
certifying	more certifying
chafed	more chafed
chained	more chained
challenged	more challenged
challenging	more challenging
changeable	more changeable
changeful	more changeful
changing	more changing
channeled	more channeled
channelized	more channelized
chanted	more chanted
chanting	more chanting
chaotic	more chaotic
chapped	more chapped
characteristic	more characteristic
charged	more charged
charging	more charging
charismatic	more charismatic
charitable	more charitable
charmed	more charmed
charming	more charming
charred	more charred
charted	more charted
chartered	more chartered
charting	more charting
chased	more chased
chasing	more chasing
chastened	more chastened
chastening	more chastening
chastised	more chastised
chastising	more chastising
chattering	more chattering
chatting	more chatting
cheated	more cheated
cheating	more cheating
checkered	more checkered
checking	more checking
cheering	more cheering
cheerless	more cheerless
chequered	more chequered
cherished	more cherished
chesty	more chesty
chewed	more chewed
chewing	more chewing
childish	more childish
chilled	more chilled
chilling	more chilling
chiming	more chiming
chipped	more chipped
chipper	more chipper
chipping	more chipping
chirping	more chirping
chiseled	more chiseled
chiseling	more chiseling
chivalrous	more chivalrous
chlorinated	more chlorinated
choked	more choked
choking	more choking
chomping	more chomping
choosing	more choosing
chopped	more chopped
chopping	more chopping
choreographed	more choreographed
chronic	more chronic
chuffed	more chuffed
chugging	more chugging
churlish	more churlish
churned	more churned
churning	more churning
circling	more circling
circuitous	more circuitous
circular	more circular
circulated	more circulated
circulating	more circulating
circumspect	more circumspect
cited	more cited
civilized	more civilized
cladding	more cladding
clamoring	more clamoring
clamped	more clamped
clamping	more clamping
clandestine	more clandestine
clanging	more clanging
clanking	more clanking
clapping	more clapping
clarified	more clarified
clarion	more clarion
clashing	more clashing
classic	more classic
classical	more classical
classified	more classified
clattering	more clattering
claustrophobic	more claustrophobic
cleaning	more cleaning
cleansing	more cleansing
clearcut	more clearcut
clearing	more clearing
clenched	more clenched
cliched	more cliched
clich?d	more clich?d
clicked	more clicked
clicking	more clicking
climactic	more climactic
climbed	more climbed
climbing	more climbing
clinging	more clinging
clinical	more clinical
clipped	more clipped
clipping	more clipping
cloaked	more cloaked
clogged	more clogged
clogging	more clogging
cloistered	more cloistered
cloned	more cloned
closed	more closed
clotted	more clotted
clotting	more clotting
clouded	more clouded
clowning	more clowning
clubbing	more clubbing
clucking	more clucking
clueless	more clueless
clumping	more clumping
clustering	more clustering
clutching	more clutching
cluttered	more cluttered
coached	more coached
coaching	more coaching
coated	more coated
coating	more coating
cobbled	more cobbled
coddled	more coddled
coded	more coded
codified	more codified
coding	more coding
coercive	more coercive
coherent	more coherent
cohesive	more cohesive
coiled	more coiled
coldblooded	more coldblooded
collaborating	more collaborating
collaborative	more collaborative
collapsed	more collapsed
collapsing	more collapsing
collared	more collared
collating	more collating
collectable	more collectable
collected	more collected
collectible	more collectible
collecting	more collecting
collectivized	more collectivized
colliding	more colliding
collimated	more collimated
colonized	more colonized
colored	more colored
colorful	more colorful
coloring	more coloring
colorless	more colorless
colossal	more colossal
colourful	more colourful
colourless	more colourless
combed	more combed
combined	more combined
combing	more combing
combining	more combining
combustible	more combustible
comfortable	more comfortable
comforting	more comforting
comic	more comic
commanded	more commanded
commanding	more commanding
commemorated	more commemorated
commendable	more commendable
commended	more commended
commenting	more commenting
commercial	more commercial
commissioned	more commissioned
commissioning	more commissioning
committed	more committed
commodious	more commodious
commoditized	more commoditized
commonplace	more commonplace
communal	more communal
communicated	more communicated
communicating	more communicating
communicative	more communicative
commuting	more commuting
companionable	more companionable
compassionate	more compassionate
compelling	more compelling
compendious	more compendious
compensated	more compensated
competent	more competent
competing	more competing
competitive	more competitive
compiled	more compiled
compiling	more compiling
complacent	more complacent
complaining	more complaining
completed	more completed
compliant	more compliant
complicated	more complicated
complying	more complying
composed	more composed
composing	more composing
compositing	more compositing
composted	more composted
comprehensive	more comprehensive
compressed	more compressed
compressible	more compressible
compressing	more compressing
compromising	more compromising
compulsive	more compulsive
computed	more computed
computerised	more computerised
computerized	more computerized
computing	more computing
concatenated	more concatenated
concave	more concave
concealed	more concealed
concealing	more concealing
conceited	more conceited
conceived	more conceived
concentrated	more concentrated
concerned	more concerned
concerning	more concerning
concise	more concise
concluded	more concluded
concluding	more concluding
conclusive	more conclusive
concocted	more concocted
concrete	more concrete
condemned	more condemned
condemning	more condemning
condensed	more condensed
condensing	more condensing
condescending	more condescending
conditioned	more conditioned
conditioning	more conditioning
condoned	more condoned
conducted	more conducted
conducting	more conducting
conductive	more conductive
confessed	more confessed
confessing	more confessing
confident	more confident
confidential	more confidential
confiding	more confiding
configured	more configured
configuring	more configuring
confined	more confined
confining	more confining
confirmed	more confirmed
confiscated	more confiscated
conflicting	more conflicting
confounded	more confounded
confounding	more confounding
confrontational	more confrontational
confused	more confused
confusing	more confusing
congealed	more congealed
congenial	more congenial
congested	more congested
congratulatory	more congratulatory
conjuring	more conjuring
connected	more connected
connecting	more connecting
conniving	more conniving
conquered	more conquered
conquering	more conquering
conscientious	more conscientious
conscious	more conscious
consecrated	more consecrated
conservative	more conservative
considerable	more considerable
considerate	more considerate
considered	more considered
considering	more considering
consistent	more consistent
consolidated	more consolidated
consolidating	more consolidating
conspicuous	more conspicuous
conspiring	more conspiring
constant	more constant
constipated	more constipated
constrained	more constrained
constraining	more constraining
constricted	more constricted
constricting	more constricting
constrictive	more constrictive
constructed	more constructed
constructing	more constructing
constructive	more constructive
consultative	more consultative
consulted	more consulted
consulting	more consulting
consuming	more consuming
contagious	more contagious
contaminated	more contaminated
contaminating	more contaminating
