Creation	Creation Action	Creation Type	Creation Type	Creation Type	Creation Type	Creation Type
Oliver Twist	write	Novel	Book	Drama	Fiction	
Great Expectations	write	Novel	Book	Drama	Fiction	
David	carve, sculpt, create	Sculpture	Art			
The Sistine Chapel ceiling	paint, create	Ceiling	Painting			
DeLorean DMC-12 Time Machine	invent, build	Time Machine	Machine	Technology		
Der Angriff	found, publish	Newspaper	News Source	Information Source		
DNA	discover	Chemical				
Dollywood	set up, found, open	Theme Park	Tourist Destination			
Don Giovanni	compose	Opera	Music			
Eine Kleine Nachtmusik	compose	Music				
The Golden Flute	compose	Opera	Music			
Doonesbury	write, create, draw	Political Cartoon	Cartoon			
Drip painting	invent, popularize	Art Movement, Genre	Movement			
No. 5 1948	paint, create	Painting	Art			
E-Series II Soprano Saxophone	invent	Saxophone	Musical instrument			
Beetlejuice	direct	Movie	Film	Comedy	Fiction	
Edward Scissorhands	direct	Movie	Film	Drama	Fiction	
Elements of Geometry	write	Theory	Framework			
Eraserhead	write, direct	Movie	Film	Drama	Fiction	
Twin Peaks	write, direct	TV Show	Fiction	Show		
Family Guy	write, create	Animation, TV Show	Fiction	Show		
Farewell My Lovely	write	Novel	Book	Detective Fiction	Fiction	
The Big Sleep	write	Novel	Book	Detective Fiction	Fiction	
The Long Goodbye	write	Novel	Book	Detective Fiction	Fiction	
Philip Marlowe	invent	Character	Fiction			
Faster Than the Speed of Love	write	Novel	Book	Drama	Fiction	
Wish It Want It Do It	write	Treatise	Book	Information Source		
Fawlty Towers Hotel	set up, found	Hotel	Building			
Fendi collection	create, design	Fashion Collection	Collection			
For Whom The Bell Tolls	write	Novel	Book	Drama	Fiction	
The Old Man And The Sea	write	Novel	Book	Drama	Fiction	
Ford Motor Company	set up, found	Company	Group, Organization			
Frankenstein's Monster	create, invent, build	Monster	Character	Fiction		
Free as a Bird	write, compose	Song	Music			
Here Comes the Sun	write, compose	Song	Music			
Friends in Low Places	write, compose	Song	Music			
Generative Linguistics	invent, set up, popularize	Theory	Framework			
German Fascism	launch, found	Political Movement, Philosophical Movement, Political Philosophy	Philosophy	Movement		
National Socialism	launch, found	Political Movement, Philosophical Movement, Political Philosophy	Philosophy	Movement		
The Nazi Party	launch, found, set up	Political Movement, Philosophical Movement, Political Organization	Movement	Group, Organization		
Get Shorty	write	Movie	Film	Drama, Comedy	Fiction	
Gettysberg address	write, compose	Speech	Text	Information Source		
Good Will Hunting	write	Movie	Film	Drama	Fiction	
GOOP Website	launch, set up	Website	Information Source			
GOOP clothing	launch, design	Fashion Collection	Collection			
Greensleeves	write, compose	Song	Music			
Gulliver's Travels	write	Novel	Book	Fiction		
Hair Toffee	invent, create	Candy	Confectionary	Food Product		
The Everylasting Gobstopper	invent, create	Candy	Confectionary	Food Product		
Wonkavision	invent, create	Matter Transformer	Machine	Technology		
Whipple-Scrumptious Fudge Mallow Delight	invent, create	Candy	Confectionary	Food Product		
Hawking Radiation	discover, propose, theorize	Theory	Framework			
Heliocentrism	discover, propose	Theory	Framework			
Hell's Kitchen	front, launch	Reality TV	TV Show	Information Source	Show	
Kitchen Nightmares	front, launch	Reality TV	TV Show	Information Source	Show	
High School Confidential	write, compose	Song	Music			
Whole Lotta Shakin' Goin' On	write, compose	Song	Music			
Hole	found, set up	Music Group	Group, Organization			
Hope is the Thing with Feathers	write, compose	Poem	Art			
Because I Could Not Stop For Death	write, compose	Poem	Art			
How to Talk Dirty and Influence People	write	Treatise	Book	Information Source		
Hungarian Rhapsodies	write, compose	Instrumental Music	Music			
Hustler Magazine	found, publish	Magazine	Information Source			
I Walk The Line	write, compose	Song	Music			
Folsom Prison Blues	write, compose	Song	Music			
In Cold Blood	write	Novel	Book	Drama	Fiction	
Holly Golightly	write	Character	Fiction			
Breakfast at Tiffany's	write	Novel	Book	Drama	Fiction	
Islamic Republican Party	found, set up	Political Organization	Political Movement	Movement, Group, Organization		
It's A Wonderful Life	write, direct	Movie	Film	Drama	Fiction	
Italian Fascism	found, launch	Political Movement, Philosophical Movement, Political Philosophy	Philosophy	Movement		
Love Me Tender	record	Song	Music			
Jailhouse Rock	record	Song	Music			
Viva Las Vegas	record	Song	Music			
Schindler's List	direct	Movie	Film	Drama	Fiction	
Close Encounters of the Third Kind	direct	Movie	Film	Science Fiction	Fiction	
Jaws	direct	Movie	Film	Drama	Fiction	
Jesus Walks	write, compose	Song	Music			
Joker gas	invent, deploy	Gas	Chemical			
Kentucky Fried Chicken	found, launch	Company	Group, Organization			
Keynesianism	invent, set up, popularize	Theory	Framework			
Keynesian Economics	invent, set up, popularize	Theory	Framework			
Kitchen Confidential	front, launch	Reality TV	TV Show	Information Source	Show	
Kramerica	set up, found	Company	Group, Organization			
Larry King Live	front, launch	Chat Show	TV Show	Information Source	Show	
Layla	write, compose	Song	Music			
Lay Down Sally	write, compose	Song	Music			
Leaves of Grass	write, compose	Poem	Art			
Lexcorp	found, set up	Company	Group, Organization			
Like a Surgeon	write, record	Song	Music			
Like A Virgin	write, record	Song	Music			
Pappa Don't Preach	write, record	Song	Music			
Lincoln assassination	perpetrate, commit	Assassination	Crime	Transgression		
Linux	invent, create	Operating System	Software	Technology		
Liver and Fava beans	concoct, popularize	Recipe	Information Source	Food Product		
Livin' La Vida Loca	write, record	Song	Music			
Liz Lemon	create	Character	Fiction			
Los Pollos Hermanos	set up, found	Company	Group, Organization			
Lose Yourself	write, compose, record	Song	Music			
Slim Shady	invent	Character	Fiction			
luncheon meat foreskin	invent, concoct	Accessory	Food Product			
Man and Superman	write	Play	Fiction	Art		
Pygmalion	write	Play	Fiction	Art		
Martha Stewart Living Omnimedia	found, set up	Company	Group, Organization			
Marvel Comics	found, set up	Company	Group, Organization			
Spider-Man	write, create	Character	Fiction			
The Incredible Hulk	write, create	Character	Fiction			
The Fantastic Four	write, create	Fictional Group	Group, Organization			
The Avengers	write, create	Fictional Group	Group, Organization			
Marxist Leninism	found, popularize	Political Movement, Philosophical Movement, Political Philosophy	Philosophy	Movement		
Mastering the Art of French Cooking	write	Treatise	Book	Information Source		
McDonalds	set up, found	Company	Group, Organization			
meat helmet	invent, concoct	Accessory	Food Product			
Mickey Mouse	create, invent	Character	Fiction			
Walt Disney World	set up, found, build	Theme Park	Tourist Destination			
Microsoft DOS	launch	Operating System	Software	Technology		
Microsoft Windows	launch	Operating System	Software	Technology		
Microsoft Word	launch	Word Processor	Software	Technology		
Let Me Entertain You	write, compose	Song	Music			
Millennium	write, compose	Song	Music			
Mixed Martial Arts	invent, popularize	Sporting Activity	Activity			
Moonraker rocket	invent, build	Rocket	Missile	Technology		
Mrs. Doubtfire	portray	Character	Fiction			
Ms. Magazine	launch, publish, found	Magazine	Information Source			
Women's Action Alliance	set up, found, launch	Political Organization	Group, Organization			
Myra Breckinridge	create, invent	Novel, Character	Book	Comedy	Fiction	
Natural Selection	discover, propose, theorize	Theory	Framework			
News Corp	found, launch	News Station	News Source	Information Source		
FOX News	found, launch	News Station	News Source	Information Source		
Nigellissima	front, launch	Reality TV	TV Show	Show		
Nigella Kitchen	front, launch	Reality TV	TV Show	Show		
Nighthawks	paint, create	Painting	Art			
Nightingale Training School	set up, found	Nursing School	School	Group, Organization		
Nirvana	set up, found	Music Group	Group, Organization			
Noah's Ark	build, create	Ark	Ship	Vehicle		
Non Je ne Regrette Rien	write, compose	Song	Music			
Obamacare	launch, set up	Political Movement, Philosophical Movement, Political Organization	Organization	Movement		
Objectivism	invent, set up, popularize	Political Movement, Philosophical Movement, Political Philosophy	Philosophy	Movement		
Ode on a Grecian Urn	write, compose	Poem	Art			
Ode to a Nightingale	write, compose	Poem	Art			
The Eroica Symphony	write, compose	Symphony	Instrumental Music	Music	Art	
Ode To Joy	write, compose	Chorale	Music	Art		
Fidelio	write, compose	Opera	Music	Art		
The 9th Symphony	write, compose	Symphony	Instrumental Music	Music	Art	
On The Road	write	Novel	Book	Fiction		
On War	write	Treatise	Book	Information Source		
O Magazine	launch, publish, found	Magazine	Information Source			
Oprah Winfrey Network	launch, set up	TV Network, Company	Information Source			
P. T. Barnum's Grand Traveling Museum Menagerie Caravan & Hippodrome	found, set up	Circus	Company			
Perestroika	launch, set up	Political Movement	Movement			
Glasnost	launch, set up	Political Movement	Movement			
Pet Sounds	write, compose	Music Album	Music			
Piers Morgan Live	front, launch	Chat Show	TV Show	Information Source	Show	
Plan 9 From Outer Space	direct, write	Movie	Film	Fiction		
Playboy Magazine	launch, publish, found	Magazine	Information Source			
Potato Head Blues	write, compose	Jazz	Instrumental Music	Music		
The Wright Flyer	invent, build	Airplane	Flying Machine	Machine	Technology	
powered airflight	invent, popularize	Aviation	Technology			
Sense and Sensibility	write	Novel	Book	Drama	Fiction	
Pride and Prejudice	write	Novel	Book	Drama	Fiction	
Prognostications	write	Treatise	Book	Information Source		
Rear Window	direct	Movie	Film	Drama	Fiction	
Vertigo	direct	Movie	Film	Drama	Fiction	
Psycho 	direct	Movie	Film	Drama	Fiction	
Psychoanalysis	invent, popularize	Theory	Framework			
Public Citizen	launch, set up	Political Movement, Political Organization	Organization, Movement			
Punctuated Equilibrium	discover, propose, theorize	Theory	Framework			
Rainbow PUSH Coalition	launch, set up	Political Movement, Political Organization	Organization, Movement			
Readymade Art	invent, popularize	Art Movement, Genre	Movement			
Fountain	create	Readymade	Sculpture	Art		
Pulp Fiction	write, direct	Movie	Film	Drama	Fiction	
Django Unchained	write, direct	Movie	Film	Drama	Fiction	
Inglourious Basterds	write, direct	Movie	Film	Drama	Fiction	
Reservoir Dogs	write, direct	Movie	Film	Drama	Fiction	
Candle In The Wind	write, compose	Song	Music			
Rocket Man	write, compose	Song	Music			
Rocky Balboa	invent, portray	Character	Fiction			
King Lear	write	Play, Character	Fiction	Art	Drama	
Hamlet	write	Play, Character	Fiction	Art	Drama	
The Merchant of Venice	write	Play	Fiction	Art	Drama	
Romeo and Juliet	write	Play	Fiction	Art	Drama	
Ryanair	build	Company	Group, Organization			
The Hearst Corporation	launch, set up	Company	Group, Organization			
San Simeon	design, build, create	Mansion	Building			
Thinking About Death	paint, create	Painting	Art			
Self Portrait With Necklace	paint, create	Painting	Art			
Sex and the City	write, publish	Magazine Column	Information Source			
SexyBack	write, compose, record	Song	Music			
Shaun of the Dead	write	Movie	Fiction			
Dr. John Watson	invent, create	Character	Fiction			
Professor James Moriarty	invent, create	Character	Fiction			
Sherlock Holmes	invent, create	Character	Fiction			
Slaugherhouse Five	write	Novel	Book	Drama	Fiction	
Southern Christian Leadership Conference	set up, found, launch	Political Movement, Political Organization	Organization, Movement			
General Relativity	discover, propose, theorize	Theory	Framework			
Special Relativity	discover, propose, theorize	Theory	Framework			
SPECTRE	found, set up	Criminal Organization	Group, Organization			
Sprung Rhyme	invent, popularize	Poetry Framework	Framework	Fr		
Stalinism	invent, launch	Political Movement, Philosophical Movement, Political Organization	Organization, Movement			
Iron Man	create	Song	Character	Fiction	Music	
The Avengers	create	Justice Organization	Group, Organization			
Stark Industries 	set up, found, launch	Company	Group, Organization			
Sterling Cooper Draper	found, launch	Company	Group, Organization			
Stewie's Mind Control Device	invent, build	Mind Control Device	Machine	Technology		
Stewie's Time Machine	invent, build	Time Machine	Machine	Technology		
Stewie's Weather Control Device	invent, build	Weather Control Device	Machine	Technology		
Subterranean Homesick Blues	write, compose	Song	Music			
Suck My Love Pump	write, compose	Instrumental Music	Music			
Talking Heads	found, set up	Music Group	Group, Organization			
Thatcherism	invent, set up, popularize	Political Movement, Political Philosophy, Political Organization	Movement, Philosophy			
The Alan Parsons Project	invent, launch	Laser Gun	Laser, Gun	Technology		
The Algonquin Round Table	set up, found	Literary Group	Group, Organization			
The Anthony Robbins Foundation	set up, found, launch	Non-Profit Organization	Group, Organization			
The Art Of War	write	Treatise	Book	Information Source		
the atomic light-soldifier	invent, build	Matter Transformer	Machine	Technology		
The Ba'ath Party	found, set up	Political Movement, Political Organization	Organization, Movement			
The Batcave	build, design	Lair	Building			
The Beatles	set up, found, launch	Music Group	Group, Organization			
Band On The Run	write, compose	Song	Music			
Hey Jude	write, compose	Song	Music			
Wings	set up, found, launch	Song	Music			
Imagine	write, compose	Song	Music			
The Bell Jar	write, compose	Poetry Book	Book			
The Bush Doctrine	invent, popularize	Political Philosophy	Philosophy			
The Call of Cthulhu	invent, create, write	Fantasy, Mythos	Fantasy	Fiction		
The Chinese Communist Party	found, set up	Political Movement, Political Philosophy, Political Organization	Organization, Movement			
The Chinese Water Torture Cell	invent, popularize	Magic Trick	Trick			
The Church of the Holy Sepulchre	sponsor, build	Church	Building			
The Colbert Show	front, launch	Comedy Show	TV Show	Information Source	Show	
The Corleone family	set up, found	Criminal Organization	Organization, Movement			
The Cuban Revolution	instigate, start, launch	Political Movement	Struggle	Movement		
Robert Langdon	invent, create	Character	Fiction			
The Da Vinci Code	write	Novel	Book			
The Daily Show	front, launch	Comedy Show	TV Show	News Source	Information Source	Show
The Death Star	build, oversee, design	Satellite	Weapon	Technology		
The Derek Zoolander Center For Children Who Can't Read Good And Wanna Learn To Do Other Stuff Good Too	launch, set up	School	Group, Organization			
The Diary of Samuel Pepys	write	Diary	Book	Information Source		
The Doors	found, set up	Music Group	Group, Organization			
The Drudge Report	found, set up, publish	Website	News Source	Information Source		
The Environmental Protection Agency	found, set up	Political Movement, Political Organization	Organization, Movement			
The Exodus	launch, lead	Religious Movement	Movement			
the face bra	invent, create	Bra	Clothing			
The Far Side	invent, write	Cartoon	Fiction			
The FBI	found, set up	Justice Organization	Group, Organization			
Runaway Jury	write	Novel	Book	Drama	Fiction	
The Rainmaker	write	Novel	Book	Drama	Fiction	
The Firm 	write	Novel	Book	Drama	Fiction	
The Four Seasons	write, compose	Instrumental Music	Music			
The Galactic Empire	found, set up	Political Movement, Political Organization	Movement, Organization			
The Gamma Bomb	invent, build	Bomb	Weapon			
The George Foreman Grill	front, launch	Grill	Kitchen Equipment	Tool		
The Gesundheit! Institute	set up, found, launch	Institute	Political Movement, Political Organization	Movement, Organization		
The Glenn Beck Radio Program	front, launch	Radio Show	Show			
The Howard Stern Show	front, launch	Radio Show	Show			
The Odyssey	write, compose	Poem	Art	Drama	Fiction	
The Illiad	write, compose	Poem	Art	Drama	Fiction	
The Divine Comedy	write, compose	Poem	Art	Drama	Fiction	
The Inferno	write, compose	Poem	Art	Drama	Fiction	
The Internet	invent	Communication Network	Technology	Information Source		
The Israeli West Bank barrier	create, build	Wall	Barrier			
Bowfinger	write	Movie	Film	Comedy	Fiction	
LA Story	write	Movie	Film	Comedy		
The Jerk 	write	Movie	Film	Comedy		
The Jerry Springer Show	front, launch	Reality TV	TV Show	Show		
The Jimi Hendrix Experience	front, launch, set up	Music Group	Group, Organization			
The Peoples Temple	set up, found	Religious Movement	Movement			
The Jonestown Massacre	perpetrate, commit, lead	Massacre	Crime	Transgression		
The Judge Judy Show	front, launch	Reality TV	TV Show	Show		
The Krabby Patty	invent, popularize	Hamburger	Food Product			
The Laser Cannon	invent, build	Laser Gun	Laser, Gun	Technology		
The Leftorium	open, launch, set up	Shop	Business			
the lightning rod	invent, popularize	electricity conductor	metal bar			
The Hobbit	direct	Movie	Film	Fantasy	Fiction	
The Lord Of The Rings	direct	Movie	Film	Fantasy	Fiction	
Apple Computer	found, launch	Technology Company	Company	Group, Organization		
The Macintosh	invent, design	Computer	Machine	Technology		
The Marx Brothers	found, set up	Comedy Group	Group, Organization			
Jenna Loves Rocco 	make, star in	Pornographic Movie	Movie	Film	Fiction	
The Masseuse	make, star in					
The Merry Men	found, set up, lead	Pornographic Movie	Movie	Film	Fiction	
The Missionaries of Charity	found, set up, lead	Religious Movement	Group, Organization			
The Mongol Empire	found, set up, lead	Political Movement, Political Philosophy, Political Organization	Group, Organization, Movement			
The Mothers of Invention	found, set up, lead	Music Group	Group, Organization			
The Naked Chef	front, launch	TV Show	Show			
The Napoleonic Code	invent, design	Legal Framework	Framework			
Billy Jean	write, compose	Song	Music			
Thriller	write, compose	Song	Music			
The Neverland Ranch 	build, oversee, design	Ranch	Theme Park	Tourist Destination		
The New World	discover	Continent				
The Nutty Professor	invent, portray	Character	Fiction	Comedy		
The One Ring	create, make	Magic Ring	Weapon			
The Aerial Screw	invent, design	Flying Machine	Machine	Technology		
The Armored Tank	invent, design	Armored Vehicle	Vehicle			
The Parachute	invent, design	Flying Machine	Machine	Technology		
The Ornithopter	invent, design	Flying Machine	Machine	Technology		
The Paris Peace Accord	sign	Political Framework	Framework			
The Peace Corps	launch, set up	Political Movement, Political Organization	Organization, Movement			
Swans Reflecting Elephants	paint, create	Painting	Art			
The Persistence of Memory	paint, create	Painting	Art			
the incandescent light bulb	invent, popularize	Light Bulb	Light Source	Technology		
the phonograph	invent, popularize	Music Source	Information Source	Technology		
The Importance of Being Earnest	write	Play	Comedy	Fiction		
The Picture of Dorian Gray	write	Novel	Book	Fiction		
The Poetics	write	Treatise	Book	Information Source		
The Prince	write	Treatise	Book	Information Source		
My Way	record	Song	Music			
The Rat Pack	found, set up, lead	Music Group	Group, Organization			
The Red Army	found, set up, lead	Military Organization	Group, Organization			
The Republic	write	Treatise	Book	Information Source		
The Rolling Stones	found, set up, lead	Music Group	Group, Organization			
The Four Freedoms	paint, create	Painting	Art			
The Runaway	paint, create	Painting	Art			
The Rush Limbaugh Show	front, launch, set up	Radio Show	Show	Information Source		
The Satanic Verses	write	Novel	Book	Fiction		
The Seinfeld Chronicles	write, inspire, front	TV Show	Show	Fiction		
The Selfish Gene	write	Treatise	Book	Information Source		
The Sex Pistols	found, front	Music Group	Group, Organization			
The Soprano's Crime Family	front, lead	Criminal Organization	Group, Organization			
The Spanish Inquisition	found, set up, lead	Religious Movement, Political Movement	Movement, Philosophy			
The Spirit of St. Louis	build, launch	Airplane	Flying Machine	Machine	Technology	
The Spruce Goose	design, invent	Airplane	Flying Machine	Machine	Technology	
Wheatfield with Crows	paint, create	Painting	Art			
Irises	paint, create	Painting	Art			
The Starry Night 	paint, create	Painting	Art			
The Sundance Film Festival	found, set up, launch, front	Film Festival	Festival	Art Organization	Organization	
The Terror Gang	found, set up, lead	Criminal Organization	Group, Organization			
the alternating current induction motor	invent, design, create	Motor	Machine	Technology		
The Tesla Coil 	invent, design, create	Coil	Machine	Technology		
The Tramp	invent, create, portray	Character	Fiction			
The Tribeca Film Festival	found, set up, launch, front	Film Festival	Festival	Art Organization	Organization	
The Trivection oven	promote	Oven	Kitchen Equipment	Tool	Technology	
The Untouchables	found, front, lead, set up	Justice Organization	Group, Organization			
The Velvet Underground	found, front, lead, set up	Music Group	Group, Organization			
Toccata and Fugue in D minor	write, compose	Instrumental Music	Music	Art		
The Well-Tempered Clavier	write, compose	Instrumental Music	Music	Art		
The X-Factor	front, launch, set up	Reality TV	TV S	Show	Struggle	
The Zohan	invent, create, portray	Character	Fiction			
The Zune	promote, launch	Music Source	Machine	Technology		
This Land Is Your Land	write, compose	Song	Music			
Three-Person Chess	invent, create	Game	Struggle			
Huckleberry Finn	invent, create	Character	Fiction			
The Adventures of Tom Sawyer	write	Novel	Book	Fiction		
The Adventures of Huckleberry Finn	write	Novel	Book	Fiction		
Tom Sawyer	invent, create	Character	Fiction			
Top Gear	front, launch	TV Show	Show	Information Source		
the breadless sandwich	invent, popularize	Sandwich	Food Product			
Tracy Jordan Meat Machine	invent, front	Grill	Kitchen Equipment	Tool		
The Rock	direct	Movie	Film	Fiction		
Transformers	direct	Movie	Film	Fiction		
Triumph of the Will	direct	Documentary	Film	Information Source		
Tropic of Cancer	write	Novel	Book	Fiction		
Trump Tower	design, build	Novel	Book	Fiction		
Finnegan's Wake	write	Novel	Book	Fiction		
Dubliners	write	Novel	Book	Fiction		
Ulysses	write	Novel	Book	Fiction		
Umkhonto we Sizwe	found, set up, lead	Political Movement, Political Organization	Organization, Movement			
The Cherry Orchard	write	Play	Art	Drama	Fiction	
Uncle Vanya	write	Play	Art	Drama	Fiction	
Guggenheim Museum	design, create	Museum	Building			
Unity Temple	launch, set up, lead	Religious Movement	Movement			
Van Halen	front, launch, set up	Music Group	Group, Organization			
Vandelay Industries	invent	Company	Business			
Virgin Records	launch, set up, lead	Company	Business			
Virgin Atlantic	launch, set up, lead	Company	Business			
Anna Karenina	write	Novel, Character Fiction	Book	Drama	Fiction	
War And Peace	write	Novel	Book	Drama	Fiction	
Washington Square	write	Novel	Book	Drama	Fiction	
We've Only Just Begun	sing, record	Song	Music			
web shooters	invent, design, create	Tool	Technology			
Wikileaks	launch, set up, lead, front	Political Movement, Political Philosophy, Political Organization	Movement, Organization	Fiction		
Xanadu	design, build	Mansion	Building			
Ziggy Stardust	invent, create, portray	Character	Fiction			
The World Wide Web	invent, design, create	Computers	Communication Network	Technology		
Personal Computers	invent, design, create	Computers	Machine	Technology		
NSA leaks	perpetrate, commit	Espionage	Crime	Transgression		
Be-Sharps Barbershop quartet	found	Music Group	Group, Organization			
The Aberdeen Stranglers	found	Music Group	Group, Organization			
The Seattle Seven	found	Political Movement	Movement, Group, Organization			
The Port Huron Statement	write, publish	Political Document	Political Framework	Political Movement	Information Source	
Facebook	found, lead	Company, Communication Network	Business, Framework			
Microsoft	found, lead	Company, Communication Network	Business, Framework			
Artificial Intelligence	start, found	Research Field	Technology	Movement		
The Turing Machine	invent, propose, create	Abstract Machine	Theoretical Framework	Framework		
The Elizabethan Golden Age 	usher in, foster, promote	Political Movement, Political Philosophy, Political Organization	Movement, Philosophy			
Fight Club	start, found, lead	Political Movement, Political Philosophy, Political Organization	Movement, Philosophy	Group, Organization		
Project Mayhem	start, found, lead	Political Movement, Political Philosophy, Political Organization	Movement, Philosophy	Group, Organization		
The Pinheads	start, found, lead	Music Group	Group, Organization			
Christianity	start, found, lead	Religious Movement	Movement, Philosophy	Group, Organization		
Satanism	start, found, lead	Religious Movement	Movement, Philosophy	Group, Organization		
The Hellfire Club	start, found, lead	Movement, Philosophy	Group, Organization			
Braveheart	direct	Movie	Film	Drama	Fiction	
The Passion of the Christ	direct	Movie	Film	Drama	Fiction	
Being and Nothingness	write	Philosophical Tract	Book			
La Nausée	write	Novel	Book	Drama	Fiction	
The Second Sex	write	Philosophical Tract	Book			
The Phantom Zone	invent, discover	Alternate Reality, Alternate Dimension	Dimension	World		
the Maple Loops song	compose, write	Advertizing Jingle	Jingle	Music	Song	
Trotters Independent Traders (T.I.T.) 	found, lead	Company	Business			
iTunes	launch, set up	Communication Network	Business, Framework			
