Determiner	Vehicle	Affordances
a	tricked-out hearse	driving
a	Defender 110  Range Rover	driving
a	DeLorean DMC-12	driving
a	diplomatic car	driving
the	Discovery I spaceship	flying in
a	DMV test car	driving
a	donkey	riding
a	donkey cart	riding
a	driverless Google car	riding in
a	Ducati 996 motorcycle	driving
a	electric wheelchair	maneuvering
an	elephant	riding
an	EMX-525 racing bicycle	riding
an	Enzo Ferrari	driving
an	escape pod	escaping in
a	family sedan	driving
a	FBI-issue sedan	driving
a	Ferrari 458	driving
a	Ferrari 458 Italia	driving
a	Ferrari Daytona Spider	driving
a	Ferrari F430	driving
a	Ferrari SP12 EC	driving
a	Ferrari Testarossa convertible	driving
a	fish mobile	driving
a	Fisker Karma	driving
a	Fisker Karma plug-in hybrid	driving
a	flock of bats	flying on
	Floo powder	transporting via
a	flying bicycle	riding, cycling
a	flying house	steering
a	flying hovercar	driving, steering
	Footloose dancing shoes	gliding on
a	Ford Edsel	driving
a	Ford Escape hybrid	driving
a	Ford Escape SUV	driving
a	Ford Escort RS Cosworth	driving
a	Ford F-150 truck	driving
a	Ford Focus Electric	driving
a	Ford GT  Heritage Gulf	driving
a	Ford Model T	driving
a	Ford Mustang	driving
a	Ford Taurus	driving
a	Formula 1 Ferrari f2004	driving
a	friend's yacht	sailing
a	funeral pyre	floating on
a	gas-guzzling Cadillac	driving
a	gas-guzzling Hummer	driving
a	GAZelle Limousine	driving
a	goat-drawn chariot	driving
a	gold Cadillac Seville	driving
a	gold cart	driving
a	gold-plated bookmobile	driving
a	gold-plated Rolls Royce	driving
a	golf cart	driving
the	good ship Lollipop	sailing
a	Google car	riding in
a	Gran Torino	driving
a	gray Trabant	driving
a	Gulfstream jet	flying, piloting
a	Gungan submarine	piloting
a	Hamburger Harley	driving
a	haycart	steering
a	six-cylinder Henry J	driving
a	high Nellie bicycle	riding, cycling
a	hijacked 747	driving
the	HMS Beagle	sailing on
a	home-made raft	rowing, paddling
a	home-made rocket ship	flying, piloting
a	homemade go-kart	driving
a	Honda Ballade	driving
a	Honda CL350 street scrambler	riding
a	Honda Fireblade 998cc motorcycle	riding
a	Honda Hydrogen Car	driving
a	Honda station wagon	driving
a	horse	riding
a	horse and cart	steering
a	horse named Throne	riding
a	horse-drawn carriage	steering
a	horse-drawn chariot	riding in, steering
a	hoverboard	driving
a	Hulk leap	bounding in
the	Hunter-Gratzner spaceship	flying, piloting
a	Hustler Bentley Arnage	driving
an	imaginary concept car	driving
an	imperial battle cruiser	flying, piloting
an	Invisible Aston Martin Vanquish	driving
a	Jaguar 1.5 E Type	driving
a	Jaguar Eagle Speedster	driving
a	Jaguar F-Type	driving
a	Jaguar XJS	driving
a	Jedi Starfighter	flying, piloting
a	Jeep Grand Cherokee SRT8	driving
a	Jeep Wrangler	driving
a	jet ski	riding
the	Jokermobile	driving
a	jungle vine	swinging on
a	Kenworth K100 truck	driving
a	KFC truck	driving
a	Khetanna sail barge	driving
the	KITT Trans AM	driving
a	Lada Priora hatchback	driving
a	Lada sedan	driving
a	Lambda-class shuttle	flying, piloting
a	Lamborghini Aventador	driving
a	Lamborghini Diablo VT	driving
a	Lamborghini LM 002	driving
a	Lamborghini Murcielago	driving
a	Lamborghini Murcielago Roadster	driving
a	Lamborgotti Fasterossa	driving
a	LAPD SWAT armored vehicle	driving
a	Lawmaster Motorbike	riding
a	Lexus wagon	driving
a	Lincoln Continental	driving
a	Lincoln Navigator	driving
a	Lincoln towncar	driving
a	little green MG sportscar	driving
a	Lockheed Vega 5B	driving
a	London taxicab	riding in
a	Low-back'd Car	driving
an	M1 Group 4 race car	driving
	Mary's New Car	driving
a	Maserati Quattroporte	driving
a	Maserati Spider	driving
a	Maybach 57s	driving
a	Mayoral limousine	driving
a	McDonalds parade float	driving
a	McLaren MP4-12C	driving
a	Mercedes 190SL	driving
a	Mercedes 2013 GL550	driving
a	Mercedes 300 SL	driving
a	Mercedes Benz	driving
a	Mercedes Benz GL	driving
a	Mercedes E 320	driving
a	Mercedes SLK convertible	driving
a	Mercedes-Benz 600	driving
a	Mercedes-Benz 600 Landaulet	driving
a	Mercedes-Benz 600 Pullman	driving
a	Mercedes-Benz 770	driving
a	Mercedes-Benz E-320 (reg. SHRINK)	driving
a	Mercedes-Benz G-Wagon	driving
a	Mercedes-Benz G55	driving
a	Mercedes-Benz G550	driving
a	Mercedes-Benz GLA 250	driving
a	Mercedes-Benz S-Class	driving
a	Mercedes-Benz S500	driving
a	Mercedes-Benz S65 AMG Coupe	driving
a	Mercedes-Benz SL	driving
a	Mercedes-Benz SL55 AMG	driving
a	Mercedes-Benz SL63	driving
a	Mercedes-Benz SL65	driving
a	Mercedes-Benz SLR McLaren	driving
a	Mercedes-Benz spaceship	flying, piloting
a	metallic black Range Rover	driving
a	Mexico city streetcar	driving
an	MG Magnette	driving
a	microbionautical ship	flying, piloting
the	Millenium Falcon	flying, piloting
a	mini-tractor	driving
a	mobility scooter	driving
a	Montgomery bus	driving
a	Morris Minor 1000 Traveller	driving
	mother's car	driving
the	Nantucket whaleship "Pequod"	sailing on, commanding
a	Nash Rambler	driving
a	Nazgûl	riding on
an	NCIS-issue SUV	driving
a	New York taxicab	driving
a	Nimbus 2000 broomstick	riding, flying on
a	Nissan Micra	driving
a	Nissan Titan	driving
the	Nostromo shuttle	flying in
an	old banger	driving
an	old Ford Bronco	driving
an	old pickup truck	driving
an	Oldsmobile convertible	driving
an	Oldsmobile Silhouette	driving
an	open-top Lincoln limousine	driving
a	P-51 Mustang fighter	flying, piloting
a	Packard Executive Sedan	driving
a	pale horse	riding on
a	Paris taxi	riding in
a	Parlee Z-Zero custom road bike	riding
a	PBR Mk II	sailing on, commanding
a	pickup truck	driving
a	pimpmobile	driving
a	pink bicycle	riding, cycling
a	pink Cadillac	driving
a	pink limousine	driving
a	pink sedan	driving
a	pink SUV with extra airbags	driving
a	pink Yukon Hybrid	driving
the	pirate ship Black Pearl	sailing in, commanding
	pixie dust	flying in
a	police cruiser	driving
a	Pontiac Aztek	driving
a	pony	riding
a	pony cart	riding in, steering
the	Pope-mobile	driving
a	Porsche	driving
a	Porsche 911 GT3 RS	driving
a	Porsche 914	driving
a	Porsche 928	driving
a	Porsche Cayenne SUV	driving
a	Porsche Panamera	driving
a	Porsche Turbo	driving
a	prison van	driving
a	Prius	driving
a	psychedelic Porsche 356	driving
a	pumpkin carriage	riding in
a	Rainy Rolls Royce Sedanca	driving
the	Rakk 'n' Ruin spaceship	flying, piloting
a	Range Rover	driving
a	red and green 1983 Pontiac Bonneville	driving
a	red Ford Country Squire	driving
a	red station wagon	driving
a	Regis 115 limousine	driving
a	reindeer-pulled sleigh	riding in, steering
a	rented prom-night limo	riding in
a	roller-skates	skating on
a	Rolls Royce	driving
a	Rolls-Royce Ghost	driving
a	Rolls-Royce Silver Ghost	driving
the	Rosebud sled	riding in, steering
a	Routemaster bus	driving
a	Rover 800 KV6 Sterling	driving
a	Rover P6	driving
a	Rover P6 3500V8	driving
a	royal carriage	driving
a	royal steed	riding
a	Saab sedan	driving
a	Sabra GT	driving
a	San Francisco Street car	riding on
a	scarlet open-topped car	driving
a	SEAT Altea	driving
a	second-hand Lada Vesta	driving
a	sedan chair	riding in
	self-powered flight	flying via
a	Segway scooter	gliding on
	shank's pony	travelling on
the	shrimping boat "Jenny"	sailing on, commanding
a	silver Saleen S7	driving
a	Silver Volvo C30	driving
a	Sinclair C5	driving
a	Sith Infiltrator	driving
a	skateboard	gliding on, skating on
	Slave I	flying, piloting
a	sleigh	riding in, steering
a	Softail Springer motorbike	riding
a	space battle cruiser	flying, piloting
a	space shuttle	flying, piloting
a	spaceship-shaped box	flying, piloting
	spider webbing	swinging on
a	Springfield paddywagon	riding in
a	Springfield school bus	driving
a	standard-issue police cruiser	driving
a	Stanly Steamer	gliding on
the	Starlight Express	riding on
a	station wagon	driving
a	stolen police car	driving
a	stolen shuttle	flying, piloting
a	stone and wood peddle-car	pedalling
a	streetcar	riding
a	Streetcar Named Desire	riding
the	subway	riding
a	Sunbeam Alpine	driving
a	surfboard	gliding on
a	Tesla Roadster	driving
the	Tesseract	transporting via
the	Caduceus	flying, piloting
the	Nebuchadnezzar	flying, piloting
the	Nina	sailing on, commanding
the	Spirit of St. Louis	flying, piloting
a	Toyota Prius	driving
a	tricked-out DeLorean DMC-12	driving
a	tricked-out wheelchair	maneuvering
a	tricycle	peddling, cycling on, riding
the	U.S.S. Enterprise NCC-1701	flying, piloting
the	U.S.S. Enterprise NCC-1701-E	flying, piloting
a	U2 Spy Plane	flying, piloting
an	underwater unicycle	peddling, cycling on, riding
a	V8 Interceptor	driving
a	Vespa scooter	riding on
a	Volga 3110 sedan	driving
a	Volkswagen Bug	driving
a	Volkswagen Lavida	driving
a	Volkswagen Scirocco	driving
a	Volvo S60	driving
a	Volvo station wagon	driving
a	Volvo v40 hatchback	driving
a	VW Beetle	driving
a	VW convertible	driving
a	VW Golf	driving
	war rocket Ajax	flying, piloting
a	warhorse	riding
a	water-logged Rolls Royce	driving
a	Wells Fargo stagecoach	riding in, steering
a	Winnebago	driving
a	wooden arc	sailing in, commanding
the	Wright Flyer I	flying, piloting
a	X-34 Landspeeder	driving
a	X-style wheelchair	maneuvering
a	yellow 1928 Rolls-Royce Phantom I	driving
a	yellow Bentley	driving
a	yellow Camaro	driving
a	Yellow Submarine	piloting
a	ZIL-111 convertible	driving
a	Zimmer frame	shuffling with
a	crappy rental car	driving
a	Jaguar XK8	driving
a	dilapidated Gaz truck	driving
a	Renault 5 GT Turbo	driving
a	Greyhound bus	riding in
a	three-wheeled Robin Reliant	driving
the	H.M.S. Bounty	sailing in, commanding
a	billy club	swinging on
a	trolley car	riding in, riding on

