Root	Superlative
deep	deepest
deft	deftest
demure	demurest
dense	densest
devout	devoutest
dim	dimmest
dingy	dingiest
direct	directest
dire	direst
dirty	dirtiest
discreet	most discreet
dismal	most dismal
distinct	most distinct
dizzy	dizziest
dour	dourest
downy	downiest
drab	drabbest
drafty	draftiest
dreamy	dreamiest
dreary	dreariest
dressy	dressiest
drippy	drippiest
droopy	droopiest
drunk	drunkest
dry	driest
dull	dullest
dumb	dumbest
dumpy	dumpiest
dusty	dustiest
eager	eagerest
earthy	earthiest
edgy	edgiest
eerie	eeriest
elite	elitest
empty	emptiest
evil	most evil
exact	most exact
extreme	most extreme
faint	faintest
fair	fairest
fat	fattest
fatty	fattiest
fearful	most fearful
feeble	feeblest
feisty	feistiest
fickle	ficklest
fierce	fiercest
fiery	fieriest
filthy	filthiest
fine	finest
finicky	finickiest
firm	firmest
fishy	fishiest
fit	fittest
flabby	flabbiest
flaky	flakiest
flashy	flashiest
flat	flattest
fleet	fleetest
fleshy	fleshiest
flighty	flightiest
flimsy	flimsiest
flinty	flintiest
floppy	floppiest
fluffy	fluffiest
foamy	foamiest
folksy	folksiest
foul	foulest
frail	frailest
frank	frankest
free	freest
fresh	freshest
friendly	friendliest
frisky	friskiest
frizzy	frizziest
frosty	frostiest
frothy	frothiest
fruitful	most fruitful
fruity	fruitiest
frumpy	frumpiest
fugly	fugliest
full	fullest
fun	most fun
funky	funkiest
funny	funniest
furry	furriest
fussy	fussiest
fuzzy	fuzziest
game	gamest
gaudy	gaudiest
gaunt	gauntest
gay	gayest
genteel	genteelest
gentle	gentlest
giddy	giddiest
glad	gladdest
glib	glibbest
gloomy	gloomiest
glossy	glossiest
godly	godliest
golden	most golden
goofy	goofiest
grand	grandest
grateful	most grateful
grave	gravest
gray	grayest
greasy	greasiest
great	greatest
greedy	greediest
green	greenest
grey	greyest
grimy	grimiest
grim	grimmest
gritty	grittiest
groggy	groggiest
gross	grossest
gruff	gruffest
grumpy	grumpiest
guilty	guiltiest
hairy	hairiest
handy	handiest
handsome	handsomest
happy	happiest
hard	hardest
hardy	hardiest
harsh	harshest
haughty	haughtiest
hazy	haziest
heady	headiest
healthy	healthiest
heavenly	heavenliest
heavy	heaviest
hefty	heftiest
high	highest
hoarse	hoarsest
holy	holiest
hollow	hollowest
homely	homeliest
honest	most honest
horny	horniest
hot	hottest
huge	most enormous
humble	humblest
hungry	hungriest
husky	huskiest
idle	idlest
impure	impurest
inky	inkiest
innocent	most innocent
intense	most intense
itchy	itchiest
jolly	jolliest
joyful	most joyful
juicy	juiciest
jumpy	jumpiest
keen	keenest
kind	kindest
kingly	kingliest
kinky	kinkiest
lacy	laciest
lame	lamest
lanky	lankiest
large	largest
lazy	laziest
leaky	leakiest
lean	leanest
leggy	leggiest
lengthy	lengthiest
light	lightest
limp	limpest
little	littlest
lithe	lithest
lively	liveliest
lofty	loftiest
lonely	loneliest
lonesome	lonesomest
long	longest
loony	looniest
loopy	loopiest
loose	loosest
lordly	lordliest
loud	loudest
lovely	loveliest
lowly	lowliest
loyal	loyalest
lucky	luckiest
lush	lushest
lusty	lustiest
mad	maddest
manly	manliest
mature	maturest
mean	meanest
meaty	meatiest
meek	meekest
mellow	mellowest
merry	merriest
messy	messiest
mighty	mightiest
mild	mildest
milky	milkiest
minute	most minute
modest	most modest
moist	moistest
moody	moodiest
mucky	muckiest
muddy	muddiest
murky	murkiest
mushy	mushiest
musty	mustiest
mute	most mute
naive	most naive
naked	most naked
narrow	narrowest
nasty	nastiest
naughty	naughtiest
neat	neatest
new	newest
nice	nicest
nimble	nimblest
noble	noblest
noisy	noisiest
numb	numbest
nutty	nuttiest
odd	oddest
oily	oiliest
old	oldest
open	most open
ornery	orneriest
painful	most painful
pale	palest
pasty	pastiest
patchy	patchiest
patient	most patient
peaceful	most peaceful
peachy	peachiest
peppy	peppiest
perfect	most perfect
perky	perkiest
pert	pertest
phony	phoniest
pink	pinkest
plain	plainest
pleasant	most pleasant
plucky	pluckiest
plump	plumpest
plush	plushest
polite	politest
poor	poorest
precise	most precise
pretty	prettiest
prickly	prickliest
prim	primmest
private	privatest
profound	profoundest
prompt	promptest
proper	most proper
proud	proudest
puffy	puffiest
puny	puniest
punk	punkest
pure	purest
purple	purplest
quaint	quaintest
queer	queerest
quick	quickest
quiet	quietest
quirky	quirkiest
racy	raciest
ragged	raggedest
randy	randiest
rangy	rangiest
rank	rankest
rapid	rapidest
rare	rarest
raunchy	raunchiest
raw	rawest
red	reddest
remote	remotest
rich	richest
ripe	ripest
risky	riskiest
roaring	most roaring
robust	robustest
rocky	rockiest
roomy	roomiest
rosy	rosiest
rotten	rottenest
rough	roughest
round	roundest
rowdy	rowdiest
rude	rudest
rugged	ruggedest
runny	runniest
rusty	rustiest
sad	saddest
safe	safest
saintly	saintliest
salty	saltiest
sandy	sandiest
sappy	sappiest
savage	savagest
scaly	scaliest
scarce	scarcest
scary	scariest
scrappy	scrappiest
scratchy	scratchiest
scrawny	scrawniest
scummy	scummiest
secret	secretest
secure	securest
seedy	seediest
sensible	sensiblest
serene	serenest
severe	most severe
sexy	sexiest
shabby	shabbiest
shady	shadiest
shaggy	shaggiest
shaky	shakiest
shallow	shallowest
shapely	shapeliest
sharp	sharpest
sheer	sheerest
shifty	shiftiest
shiny	shiniest
short	shortest
showy	showiest
shrewd	shrewdest
shrill	shrillest
shy	shyest
sick	sickest
silky	silkiest
silly	silliest
simple	simplest
sincere	sincerest
skimpy	skimpiest
skinny	skinniest
sleazy	sleaziest
sleek	sleekest
sleepy	sleepiest
slender	slenderest
slick	slickest
slight	slightest
slim	slimmest
slimy	slimiest
slippery	slipperiest
sloppy	sloppiest
slow	slowest
sly	slyest
small	smallest
smart	smartest
smelly	smelliest
smoky	smokiest
smooth	smoothest
smug	smuggest
snappy	snappiest
sneaky	sneakiest
snowy	snowiest
snug	snuggest
sober	most sober
soft	softest
soggy	soggiest
solemn	solemnest
solid	solidest
soppy	soppiest
sore	sorest
sorry	sorriest
sound	soundest
sour	sourest
sparkly	sparkliest
sparse	sparsest
special	most special
speedy	speediest
spicy	spiciest
spiky	spikiest
splashy	splashiest
spongy	spongiest
spooky	spookiest
sporty	sportiest
spotty	spottiest
spry	spryest
sprightly	sprightliest
springy	springiest
spunky	spunkiest
square	squarest
squishy	squishiest
stable	stablest
staid	staidest
stale	stalest
stark	starkest
stately	stateliest
staunch	staunchest
steady	steadiest
stealthy	stealthiest
steamy	steamiest
steely	steeliest
steep	steepest
stern	sternest
sticky	stickiest
stiff	stiffest
still	stillest
stingy	stingiest
stinky	stinkiest
stout	stoutest
straight	straightest
strange	strangest
stretchy	stretchiest
strict	strictest
stringy	stringiest
strong	strongest
stubborn	stubbornest
stupid	stupidest
sturdy	sturdiest
suave	suavest
sublime	sublimest
subtle	subtlest
sugary	sugariest
sunny	sunniest
super	most super
supple	supplest
swanky	swankiest
swarthy	swarthiest
sweet	sweetest
swift	swiftest
tall	tallest
tame	tamest
tangy	tangiest
tan	tannest
tart	tartest
tasty	tastiest
taut	tautest
teeny	teeniest
tender	tenderest
tense	tensest
terse	tersest
thick	thickest
thin	thinnest
thirsty	thirstiest
thorny	thorniest
thorough	thoroughest
tidy	tidiest
tight	tightest
timid	timidest
tiny	tiniest
tinny	tinniest
tired	most tired
tough	toughest
tricky	trickiest
trim	trimmest
trivial	trivialest
true	truest
trusty	trustiest
trustworthy	trustworthiest
twisty	twistiest
ugly	ugliest
uncanny	uncanniest
uneasy	uneasiest
unfair	unfairest
unfit	unfittest
unfriendly	unfriendliest
unfunny	unfunniest
unhappy	unhappiest
unhealthy	unhealthiest
unkind	unkindest
unlucky	unluckiest
unruly	unruliest
unsafe	unsafest
unsexy	unsexiest
untidy	untidiest
vague	vaguest
vain	vainest
vast	vastest
vile	vilest
vivid	vividest
vulgar	vulgarest
wacky	wackiest
wary	wariest
warm	warmest
warty	wartiest
wavy	waviest
weak	weakest
wealthy	wealthiest
weighty	weightiest
weird	weirdest
wet	wettest
whacky	whackiest
white	whitest
wicked	wickedest
wide	widest
wiggly	wiggliest
wild	wildest
wily	wiliest
willing	most willing
windy	windiest
winning	most winning
wintry	wintriest
wise	wisest
wispy	wispiest
witty	wittiest
wobbly	wobbliest
womanly	womanliest
woody	woodiest
woolly	woolliest
worthy	worthiest
wretched	wretchedest
good	best
wrong	worst
yellow	yellowest
young	youngest
yummy	yummiest
Byzantine	most Byzantine
Catholic	most Catholic
Christian	most Christian
abandoned	most abandoned
abhorrent	most abhorrent
abiding	most abiding
abnormal	most abnormal
aboriginal	most aboriginal
aborted	most aborted
abrasive	most abrasive
abridged	most abridged
abroad	most abroad
abrupt	most abrupt
absent	most absent
absentminded	most absentminded
absorbent	most absorbent
absorbing	most absorbing
abstinent	most abstinent
abstract	most abstract
abundant	most abundant
abused	most abused
abusing	most abusing
abusive	most abusive
accelerating	most accelerating
acceptable	most acceptable
accepted	most accepted
accepting	most accepting
accessible	most accessible
acclaimed	most acclaimed
accommodated	most accommodated
accommodating	most accommodating
accompanying	most accompanying
accomplished	most accomplished
accountable	most accountable
accounting	most accounting
accredited	most accredited
accrued	most accrued
accumulated	most accumulated
accurate	most accurate
accused	most accused
accusing	most accusing
acerbic	most acerbic
achieved	most achieved
aching	most aching
acid	most acid
acidic	most acidic
acknowledged	most acknowledged
acknowledging	most acknowledging
acquired	most acquired
acrid	most acrid
acrobatic	most acrobatic
acting	most acting
activated	most activated
activating	most activating
activist	most activist
adaptable	most adaptable
adaptive	most adaptive
addicted	most addicted
addicting	most addicting
addictive	most addictive
adding	most adding
addled	most addled
addressed	most addressed
adept	most adept
adequate	most adequate
adhering	most adhering
adjoining	most adjoining
adjustable	most adjustable
adjusted	most adjusted
administered	most administered
admirable	most admirable
admired	most admired
admiring	most admiring
admitted	most admitted
adolescent	most adolescent
adopted	most adopted
adopting	most adopting
adorable	most adorable
adored	most adored
adoring	most adoring
adorned	most adorned
advanced	most advanced
advancing	most advancing
advantageous	most advantageous
adventuring	most adventuring
adventurous	most adventurous
advertised	most advertised
advertising	most advertising
advising	most advising
advocating	most advocating
aerated	most aerated
aerodynamic	most aerodynamic
aesthetic	most aesthetic
affable	most affable
affecting	most affecting
affectionate	most affectionate
affirmative	most affirmative
affirmed	most affirmed
affluent	most affluent
affordable	most affordable
afraid	most afraid
aged	most aged
ageless	most ageless
aggravated	most aggravated
aggravating	most aggravating
aggressive	most aggressive
agile	most agile
aging	most aging
agitated	most agitated
agitating	most agitating
agonizing	most agonizing
agreeable	most agreeable
agreed	most agreed
aimed	most aimed
aiming	most aiming
aimless	most aimless
airbrushed	most airbrushed
airless	most airless
airtight	most airtight
alarming	most alarming
alcoholic	most alcoholic
alien	most alien
alienated	most alienated
aligned	most aligned
alive	most alive
alkaline	most alkaline
alleged	most alleged
alleging	most alleging
allied	most allied
allocated	most allocated
alluring	most alluring
alluvial	most alluvial
alone	most alone
aloof	most aloof
altering	most altering
altruistic	most altruistic
amber	most amber
ambiguous	most ambiguous
ambitious	most ambitious
amended	most amended
amiable	most amiable
amicable	most amicable
amoral	most amoral
amorous	most amorous
amorphous	most amorphous
amplified	most amplified
amusing	most amusing
anachronistic	most anachronistic
anal	most anal
analog	most analog
analogue	most analogue
analytical	most analytical
analyzed	most analyzed
anchored	most anchored
anchoring	most anchoring
angelic	most angelic
angered	most angered
angled	most angled
angling	most angling
anguished	most anguished
angular	most angular
animated	most animated
annotated	most annotated
annoying	most annoying
anointed	most anointed
anomalous	most anomalous
anonymous	most anonymous
anorexic	most anorexic
answered	most answered
anthologized	most anthologized
anticipated	most anticipated
anticipating	most anticipating
antiquated	most antiquated
antique	most antique
antiseptic	most antiseptic
antisocial	most antisocial
antsy	most antsy
anxious	most anxious
apathetic	most apathetic
apologetic	most apologetic
appalling	most appalling
apparent	most apparent
appealed	most appealed
appealing	most appealing
appetizing	most appetizing
applicable	most applicable
applied	most applied
applying	most applying
appointed	most appointed
appreciated	most appreciated
appreciating	most appreciating
appreciative	most appreciative
approachable	most approachable
approved	most approved
aquatic	most aquatic
arbitrary	most arbitrary
arcane	most arcane
archaic	most archaic
arched	most arched
architectural	most architectural
archived	most archived
archiving	most archiving
ardent	most ardent
arduous	most arduous
arguing	most arguing
arid	most arid
aristocratic	most aristocratic
armed	most armed
armored	most armored
armoured	most armoured
aromatic	most aromatic
aroused	most aroused
arousing	most arousing
arranged	most arranged
arrested	most arrested
arresting	most arresting
arrogant	most arrogant
artful	most artful
articulate	most articulate
articulated	most articulated
articulating	most articulating
artificial	most artificial
artistic	most artistic
artless	most artless
ascending	most ascending
aspiring	most aspiring
assaulted	most assaulted
assembled	most assembled
asserted	most asserted
assertive	most assertive
assessed	most assessed
assessing	most assessing
asset	most asset
assiduous	most assiduous
assigned	most assigned
assisting	most assisting
assumed	most assumed
assured	most assured
astonishing	most astonishing
astounding	most astounding
athletic	most athletic
atmospheric	most atmospheric
atrophied	most atrophied
attached	most attached
attaching	most attaching
attacked	most attacked
attacking	most attacking
attained	most attained
attended	most attended
attending	most attending
attentive	most attentive
attenuated	most attenuated
attenuating	most attenuating
attracting	most attracting
attractive	most attractive
audacious	most audacious
audible	most audible
auditing	most auditing
august	most august
auspicious	most auspicious
authentic	most authentic
authenticated	most authenticated
authoring	most authoring
authoritarian	most authoritarian
authoritative	most authoritative
authorized	most authorized
autographed	most autographed
automated	most automated
automatic	most automatic
autonomous	most autonomous
avid	most avid
avowed	most avowed
awakening	most awakening
awarded	most awarded
aware	most aware
awed	most awed
backbreaking	most backbreaking
backhanded	most backhanded
backing	most backing
backpacking	most backpacking
backstabbing	most backstabbing
baffled	most baffled
baffling	most baffling
baiting	most baiting
baked	most baked
baking	most baking
balanced	most balanced
balancing	most balancing
balding	most balding
banal	most banal
banded	most banded
banding	most banding
banged	most banged
banging	most banging
banked	most banked
banking	most banking
banned	most banned
baptized	most baptized
barbaric	most barbaric
barbarous	most barbarous
barbed	most barbed
barefaced	most barefaced
bargaining	most bargaining
barking	most barking
barred	most barred
bashful	most bashful
basic	most basic
battered	most battered
battering	most battering
batting	most batting
beaded	most beaded
beaked	most beaked
beaming	most beaming
bearded	most bearded
bearing	most bearing
beaten	most beaten
beating	most beating
beautifying	most beautifying
beckoning	most beckoning
bedraggled	most bedraggled
befuddled	most befuddled
begging	most begging
beginning	most beginning
beguiling	most beguiling
bejeweled	most bejeweled
believable	most believable
believed	most believed
believing	most believing
belligerent	most belligerent
beloved	most beloved
benchmarked	most benchmarked
benchmarking	most benchmarking
bendable	most bendable
bending	most bending
beneficial	most beneficial
benevolent	most benevolent
benign	most benign
bent	most bent
bereaved	most bereaved
bereft	most bereft
besieged	most besieged
besotted	most besotted
bestselling	most bestselling
betrayed	most betrayed
betraying	most betraying
betting	most betting
bewildered	most bewildered
bewildering	most bewildering
bewitching	most bewitching
biased	most biased
biddable	most biddable
bidding	most bidding
bigoted	most bigoted
billing	most billing
binding	most binding
biological	most biological
birthing	most birthing
bitching	most bitching
biting	most biting
bizarre	most bizarre
blackened	most blackened
blacklisted	most blacklisted
blamed	most blamed
blameless	most blameless
blaring	most blaring
blasphemous	most blasphemous
blasted	most blasted
blasting	most blasting
blatant	most blatant
blazing	most blazing
bleached	most bleached
bleaching	most bleaching
bleeding	most bleeding
blemished	most blemished
blended	most blended
blending	most blending
blessing	most blessing
blighted	most blighted
blinded	most blinded
blinding	most blinding
blistering	most blistering
blithering	most blithering
bloated	most bloated
blocked	most blocked
blocking	most blocking
blogged	most blogged
blogging	most blogging
blond	most blond
bloodcurdling	most bloodcurdling
bloodied	most bloodied
bloodless	most bloodless
blooming	most blooming
blossoming	most blossoming
blowing	most blowing
blundering	most blundering
blurred	most blurred
blushing	most blushing
blustering	most blustering
blustery	most blustery
boasting	most boasting
boating	most boating
bodybuilding	most bodybuilding
bogus	most bogus
bohemian	most bohemian
boiled	most boiled
boiling	most boiling
boisterous	most boisterous
bolted	most bolted
bombing	most bombing
bonded	most bonded
bonding	most bonding
booked	most booked
booking	most booking
bookmarked	most bookmarked
booming	most booming
boosted	most boosted
boosting	most boosting
bordering	most bordering
bored	most bored
boring	most boring
borrowed	most borrowed
borrowing	most borrowing
botched	most botched
bothersome	most bothersome
bottled	most bottled
bottling	most bottling
bottomless	most bottomless
bought	most bought
bounced	most bounced
bouncing	most bouncing
bound	most bound
bounded	most bounded
bounding	most bounding
boundless	most boundless
bountiful	most bountiful
bovine	most bovine
bowed	most bowed
bowling	most bowling
boxed	most boxed
boxing	most boxing
bracing	most bracing
bragging	most bragging
braided	most braided
brainless	most brainless
brainstorming	most brainstorming
brainwashed	most brainwashed
brainwashing	most brainwashing
braking	most braking
branched	most branched
branching	most branching
branded	most branded
branding	most branding
brazen	most brazen
breached	most breached
breakable	most breakable
breaking	most breaking
breastfeeding	most breastfeeding
breathing	most breathing
breathless	most breathless
breathtaking	most breathtaking
breeding	most breeding
brewed	most brewed
brewing	most brewing
brilliant	most brilliant
broadcasted	most broadcasted
broadcasting	most broadcasting
broadening	most broadening
broadminded	most broadminded
broke	most broke
broken	most broken
bronzed	most bronzed
brooding	most brooding
browsed	most browsed
browsing	most browsing
bruised	most bruised
brushed	most brushed
brusque	most brusque
brutal	most brutal
brutalized	most brutalized
brutalizing	most brutalizing
brutish	most brutish
bubbling	most bubbling
budding	most budding
buff	most buff
buffed	most buffed
buffered	most buffered
buffering	most buffering
building	most building
built	most built
bulging	most bulging
bullied	most bullied
bullying	most bullying
bumbling	most bumbling
bumping	most bumping
bumptious	most bumptious
bundled	most bundled
bungling	most bungling
buoyant	most buoyant
burdened	most burdened
burdening	most burdening
burdensome	most burdensome
bureaucratic	most bureaucratic
burgeoning	most burgeoning
buried	most buried
burned	most burned
burning	most burning
burnished	most burnished
burnt	most burnt
burrowing	most burrowing
burst	most burst
bursting	most bursting
busted	most busted
bustling	most bustling
butch	most butch
butchered	most butchered
buttoned	most buttoned
buxom	most buxom
buying	most buying
buzzing	most buzzing
cabled	most cabled
caching	most caching
cacophonous	most cacophonous
cadaverous	most cadaverous
caffeinated	most caffeinated
caged	most caged
calcified	most calcified
calculated	most calculated
calculating	most calculating
calibrated	most calibrated
callous	most callous
calloused	most calloused
callused	most callused
calming	most calming
calving	most calving
camouflaged	most camouflaged
camp	most camp
campaigning	most campaigning
camping	most camping
cancelled	most cancelled
candid	most candid
canned	most canned
canning	most canning
canonized	most canonized
cantankerous	most cantankerous
capacious	most capacious
capitalistic	most capitalistic
capitalized	most capitalized
capped	most capped
capping	most capping
capricious	most capricious
captivating	most captivating
captured	most captured
capturing	most capturing
carbonated	most carbonated
carefree	most carefree
careless	most careless
caressing	most caressing
caricatured	most caricatured
caring	most caring
carnivorous	most carnivorous
carpeted	most carpeted
carpeting	most carpeting
carried	most carried
carrying	most carrying
carved	most carved
carving	most carving
cashed	most cashed
casing	most casing
casting	most casting
casual	most casual
cataloging	most cataloging
catalogued	most catalogued
catastrophic	most catastrophic
catching	most catching
categorized	most categorized
catered	most catered
catering	most catering
cautious	most cautious
celebrated	most celebrated
celebrating	most celebrating
cemented	most cemented
centered	most centered
central	most central
centralized	most centralized
centralizing	most centralizing
cerebral	most cerebral
certified	most certified
certifying	most certifying
chained	most chained
challenged	most challenged
challenging	most challenging
changeable	most changeable
changeful	most changeful
changing	most changing
channeled	most channeled
chanted	most chanted
chaotic	most chaotic
chapped	most chapped
characteristic	most characteristic
charged	most charged
charging	most charging
charismatic	most charismatic
charitable	most charitable
charmed	most charmed
charming	most charming
charted	most charted
chartered	most chartered
charting	most charting
chased	most chased
chastened	most chastened
chastening	most chastening
chastised	most chastised
chatting	most chatting
cheated	most cheated
cheating	most cheating
checkered	most checkered
checking	most checking
cheering	most cheering
cheerless	most cheerless
chequered	most chequered
cherished	most cherished
chewed	most chewed
chewing	most chewing
childish	most childish
chilled	most chilled
chilling	most chilling
chipped	most chipped
chipper	most chipper
chiseled	most chiseled
chivalrous	most chivalrous
chlorinated	most chlorinated
choked	most choked
choking	most choking
choosing	most choosing
chopped	most chopped
chopping	most chopping
choreographed	most choreographed
chronic	most chronic
chuffed	most chuffed
churlish	most churlish
circuitous	most circuitous
circular	most circular
circulated	most circulated
circulating	most circulating
circumspect	most circumspect
cited	most cited
civilized	most civilized
clamping	most clamping
clandestine	most clandestine
clarified	most clarified
clarion	most clarion
clashing	most clashing
classic	most classic
classical	most classical
classified	most classified
claustrophobic	most claustrophobic
cleaning	most cleaning
cleansing	most cleansing
clearcut	most clearcut
clearing	most clearing
cliched	most cliched
clich?d	most clich?d
clicked	most clicked
climactic	most climactic
climbed	most climbed
climbing	most climbing
clinging	most clinging
clinical	most clinical
clipped	most clipped
clipping	most clipping
cloaked	most cloaked
clogged	most clogged
clogging	most clogging
cloistered	most cloistered
cloned	most cloned
closed	most closed
clotting	most clotting
clouded	most clouded
clueless	most clueless
clumping	most clumping
clustering	most clustering
clutching	most clutching
cluttered	most cluttered
coaching	most coaching
coated	most coated
coating	most coating
coddled	most coddled
coded	most coded
codified	most codified
coding	most coding
coercive	most coercive
coherent	most coherent
cohesive	most cohesive
coiled	most coiled
coldblooded	most coldblooded
collaborating	most collaborating
collaborative	most collaborative
collapsed	most collapsed
collectable	most collectable
collected	most collected
collectible	most collectible
collecting	most collecting
collimated	most collimated
colonized	most colonized
colonizing	most colonizing
colored	most colored
colorful	most colorful
coloring	most coloring
colorless	most colorless
colossal	most colossal
colourful	most colourful
colourless	most colourless
combined	most combined
combining	most combining
combustible	most combustible
comfortable	most comfortable
comforting	most comforting
comic	most comic
commanded	most commanded
commanding	most commanding
commemorated	most commemorated
commendable	most commendable
commended	most commended
commenting	most commenting
commercial	most commercial
commissioned	most commissioned
commissioning	most commissioning
committed	most committed
commodious	most commodious
commoditized	most commoditized
commonplace	most commonplace
communal	most communal
communicated	most communicated
communicating	most communicating
communicative	most communicative
commuting	most commuting
companionable	most companionable
compassionate	most compassionate
compelling	most compelling
compendious	most compendious
compensated	most compensated
competent	most competent
competing	most competing
competitive	most competitive
compiled	most compiled
compiling	most compiling
complacent	most complacent
complaining	most complaining
completed	most completed
complex	most complex
compliant	most compliant
complicated	most complicated
complying	most complying
composed	most composed
composing	most composing
compositing	most compositing
comprehensive	most comprehensive
compressed	most compressed
compressible	most compressible
compromising	most compromising
compulsive	most compulsive
computed	most computed
computerised	most computerised
computerized	most computerized
computing	most computing
concave	most concave
concealed	most concealed
concealing	most concealing
conceited	most conceited
conceived	most conceived
concentrated	most concentrated
concerned	most concerned
concerning	most concerning
concluded	most concluded
concluding	most concluding
conclusive	most conclusive
concrete	most concrete
condemned	most condemned
condemning	most condemning
condensed	most condensed
condescending	most condescending
conditioned	most conditioned
conditioning	most conditioning
conducted	most conducted
conducting	most conducting
conductive	most conductive
confessed	most confessed
confident	most confident
confidential	most confidential
confiding	most confiding
configured	most configured
confined	most confined
confining	most confining
confirmed	most confirmed
confiscated	most confiscated
conflicting	most conflicting
confounded	most confounded
confounding	most confounding
confrontational	most confrontational
confused	most confused
confusing	most confusing
congenial	most congenial
congested	most congested
congratulatory	most congratulatory
connected	most connected
connecting	most connecting
conniving	most conniving
conquered	most conquered
conquering	most conquering
conscienceless	most conscienceless
conscientious	most conscientious
conscious	most conscious
consecrated	most consecrated
conservative	most conservative
considerable	most considerable
considerate	most considerate
considered	most considered
considering	most considering
consistent	most consistent
consolidated	most consolidated
consolidating	most consolidating
conspicuous	most conspicuous
constant	most constant
constipated	most constipated
constrained	most constrained
constraining	most constraining
constricted	most constricted
constricting	most constricting
constrictive	most constrictive
constructed	most constructed
constructive	most constructive
consultative	most consultative
consulted	most consulted
consulting	most consulting
consuming	most consuming
contagious	most contagious
contaminated	most contaminated
contaminating	most contaminating
contemplated	most contemplated
contemplative	most contemplative
contemporary	most contemporary
contemptible	most contemptible
contending	most contending
content	most content
contented	most contented
contentious	most contentious
contested	most contested
continuing	most continuing
continuous	most continuous
contoured	most contoured
contracted	most contracted
contracting	most contracting
contradictory	most contradictory
contrary	most contrary
contributing	most contributing
contrived	most contrived
controllable	most controllable
controlled	most controlled
controlling	most controlling
convenient	most convenient
conventional	most conventional
conventionalized	most conventionalized
conversational	most conversational
converted	most converted
converting	most converting
conveyancing	most conveyancing
conveying	most conveying
convicted	most convicted
convincing	most convincing
convoluted	most convoluted
cooked	most cooked
cooking	most cooking
cooled	most cooled
cooling	most cooling
cooperating	most cooperating
cooperative	most cooperative
coordinated	most coordinated
copied	most copied
copying	most copying
copyrighted	most copyrighted
corded	most corded
cordial	most cordial
corporate	most corporate
correct	most correct
corrected	most corrected
corroborated	most corroborated
corroded	most corroded
corroding	most corroding
corrosive	most corrosive
corrugated	most corrugated
corrupt	most corrupt
corrupted	most corrupted
corrupting	most corrupting
cosmopolitan	most cosmopolitan
costumed	most costumed
counseling	most counseling
countered	most countered
counterfeited	most counterfeited
counterfeiting	most counterfeiting
counting	most counting
coupling	most coupling
courageous	most courageous
courteous	most courteous
covering	most covering
coveted	most coveted
covetous	most covetous
cowardly	most cowardly
cowed	most cowed
cracked	most cracked
cracking	most cracking
crackling	most crackling
crafted	most crafted
crafting	most crafting
crammed	most crammed
cramped	most cramped
cranking	most cranking
crashed	most crashed
crashing	most crashing
cratered	most cratered
craved	most craved
crawling	most crawling
crazed	most crazed
creaking	most creaking
created	most created
creating	most creating
creative	most creative
