Quality	Count	When Property of A	When Property of B
evil	20	deceive, cheat, manipulate, are_feared_by, enslave, lie_to, trick, are_forgiven_by, are_defeated_by, are_killed_by, corrupt, lead_astray, bribe, blackmail, buy_off	incarcerate, are_sickened_by, imprison, are_victimized_by, renounce, are_misrepresented_by, kill, are_lured_by, are_enslaved_by, forgive, defeat, denounce, stand_up_to, resist, are_corrupted_by, are_bribed_by, are_bought_off_by, are_blackmailed_by
media-savvy	20	inspire, manipulate, persuade, propagandize_for, pander_to	are_marketed_by, are_inspired_by, are_manipulated_by, are_persuaded_by, are_brainwashed_by, listen_to, are_radicalized_by
erudite	19	write_about, lecture_to, educate, translate_for, mentor, read_the_works_of	are_tutored_by, are_mentored_by
insecure	19	are_blackmailed_by, pander_to, fail_to_impress, are_flattered_by, appease, curry_favor_with	lose_faith_in
bland	18	fail_to_impress	are_bored_by, are_bored_with
mischievous	18	trick, deceive, lead_astray	are_tricked_by, are_deceived_by
gullible	18	are_tricked_by, are_deceived_by, are_exploited_by, are_manipulated_by, are_misrepresented_by	trick, deceive, lead_astray, steal_from, manipulate, exploit, 
caring	18	sympathize_with, are_moved_by, care_for, tend, help, look_after, encourage	are_tended_by, are_raised_by
graceful	18	charm, entice, are_painted_by, are_photographed_by, pose_for, are_chosen_by, perform_for	paint, photograph, style_for, design_for, enhance, style_for
seductive	18	seduce, flirt_with, sleep_with, enchant, are_deflowered_by, are_photographed_by, entice	are_seduced_by, are_charmed_by, are_corrupted_by, fall_in_love_with, cheat_with, sleep_with, are_enticed_by
artistic	18	perform_for, create_for, paint, are_favored_by	are_painted_by
reclusive	18	hide_from, avoid, elude, run_away_from	are_eluded_by
vengeful	17	attack, are_arrested_for_killing, are_arrested_for_hurting, lay_a_trap_for, resent, hate, humiliate, disfigure, , are_hardened_by, harden_toward	are_forgiven_by, seek_forgiveness_from, beg_forgiveness_from, are_humiliated_by, are_disfigured_by
alcoholic	17	disgust, fail_to_deliver_for	are_disgusted_by, lose_faith_in
nerdy	17	condescend_to, preach_to	are_bored_by, are_bored_with, laugh_at, bully
philosophical	17	educate, debate_with, argue_with, settle_with, persuade	learn_from, debate_with, are_persuaded_by
short	17	look_up_to	tower_over
gruff	17	alienate, are_feared_by, offend	harden_toward, are_offended_by
controlling	17	rule_over, dominate, overwork, subjugate	are_ruled_by, are_dominated_by, are_pushed_too_far_by
pretentious	17	condescend_to, preach_to	lose_faith_in, are_unimpressed_with, are_unimpressed_by
drug-addled	17	fail_to_deliver_for, steal_from	are_disgusted_by, lose_faith_in
innovative	17	impress, create_for, inspire	are_impressed_by, are_inspired_by
brutal	17	threaten, attack, kill, torture, torment, intimidate, whip, are_arrested_for_killing	are_intimidated_by, are_attacked_by, are_threatened_by, are_tortured_by, are_beaten_by, are_savaged_by
rude	16	insult, satirize, heckle, offend, abuse	are_mocked_by, are_booed_by, are_heckled_by, are_offended_by
murderous	16	kill, are_arrested_for_killing, attack	arrest, are_savaged_by
lyrical	16	entertain, sing_with, play_for	are_entertained_by
tacky	16	disgust, heckle, are_mocked_by	are_disgusted_by, disrespect, laugh_at, mock
nimble	16	avoid, escape_from, run_away_from, elude	are_eluded_by
sexy	16	seduce, flirt_with, sleep_with, enchant, are_deflowered_by, are_photographed_by, entice	are_seduced_by, are_charmed_by, are_corrupted_by, fall_in_love_with, cheat_with, sleep_with, are_enticed_by
good-hearted	16	sympathize_with, are_moved_by, care_for, tend, help, look_after, defend, protect, confide_in	are_tended_by, are_raised_by, are_defended_by, are_protected_by
successful	16	defeat	are_defeated_by, are_beaten_by, lose_to
persistent	16	impress, are_underestimated_by, overcome	are_impressed_by, underestimate
stylish	15	impress, inspire, are_copied_by, are_imitated_by	imitate, copy, mimic
intrepid	15	impress, rescue	are_impressed_by, underestimate, are_rescued_by, admire, look_up_to
sadistic	15	threaten, attack, kill, torture, torment, intimidate, whip, are_arrested_for_killing	are_tormented_by, are_intimidated_by, are_attacked_by, are_threatened_by, are_tortured_by, are_beaten_by, are_savaged_by
literary	15	write_about, lecture_to, educate, translate_for, mentor, read_the_works_of	are_tutored_by, are_mentored_by
adventurous	15	impress, rescue	are_impressed_by, underestimate, are_rescued_by, admire, look_up_to
business-savvy	15	profit_from, hire, fund, invest_in, negotiate_with, take_advantage_of	are_hired_by, work_for, are_funded_by
sanctimonious	15	lecture_to, denounce, condescend_to, preach_to, indoctrinate, alienate, condemn	are_lectured_by, are_denounced_by, disappoint, are_indoctrinated_by, are_disillusioned_by, are_censured_by, are_scolded_by
cold	15	ignore, evict	are_rebuffed_by, are_spurned_by, are_ignored_by, are_evicted_by
rational	15	profit_from, manipulate	are_challenged_by, are_manipulated_by
pushy	15	bully, taunt, take_advantage_of, exploit	are_pushed_too_far_by, are_exploited_by, are_driven_mad_by
virtuosic	15	impress, inspire, are_copied_by, are_imitated_by, are_favored_by	are_impressed_by, are_inspired_by
decent	14	care_for, look_after, feel_sorry_for, sympathize_with, are_moved_by	are_tended_by, are_defended_by, are_protected_by
boastful	14	condescend_to, humiliate, are_toppled_by	upstage, lose_faith_in, are_disillusioned_by
inarticulate	14	fail_to_impress	mock, feel_sorry_for
reckless	14	are_recalled_by, are_criticized_by	are_misrepresented_by
poetic	14	inspire, are_favored_by	are_inspired_by, fall_in_love_with
bitter	14	spread_lies_about, resent, hate	dump
twisted	14	disgust	are_disgusted_by
fast	14	run_away_from, elude	are_eluded_by
Machiavellian	14	blackmail, exploit, manipulate	are_blackmailed_by, are_exploited_by, are_manipulated_by
visionary	14	inspire, are_copied_by, tower_over, are_worshipped_by, educate, are_published_by	are_inspired_by, trust, follow, worship, campaign_for, are_intrigued_by, support, learn_from, show_loyalty_to
scientific	14	experiment_on	are_studied_by
tactical	14	campaign_for, fight_for, counsel, advise, play_with	are_counseled_by, seek_advice_from, confer_with
quick-witted	14	impress, are_underestimated_by, upstage, trick, lay_a_trap_for, advise	are_impressed_by, are_deceived_by, are_tricked_by, seek_advice_from
tall	13	tower_over	look_up_to
honorable	13	care_for, look_after, feel_sorry_for, sympathize_with, are_moved_by, stand_up_to, trust, die_for	are_defended_by, are_protected_by, vote_for
skillful	13	impress, are_underestimated_by, overcome, work_for, are_hired_by, are_recruited_by	are_impressed_by, underestimate, hire, recruit
bold	13	impress, rescue	are_impressed_by, underestimate, are_rescued_by, admire, look_up_to
glib	13	charm, are_trusted_by, seduce, flirt_with, flatter, curry_favor_with, lead_astray, lie_to	are_charmed_by, are_seduced_by, speak_through
playful	13	play_with, trick	play_with, coach
boorish	13	taunt, insult, heckle, intimidate, humiliate, laugh_at, offend	are_booed_by, are_heckled_by, are_insulted_by, are_intimidated_by, are_offended_by
bossy	13	coerce, hire, rule_over, dominate, command, subjugate	work_for, are_hired_by, stand_up_to, are_pushed_too_far_by, are_dominated_by
domineering	13	rule_over, dominate, coerce, command, subjugate	work_for, are_hired_by, stand_up_to, are_pushed_too_far_by, sweat_for, labor_for, are_dominated_by, fail_to_impress
condescending	13	condescend_to, insult, 	are_insulted_by, are_mocked_by
immature	13	look_up_to, are_tended_by, are_raised_by, are_scolded_by	are_molded_by, supervise, tend, watch_over, look_after
easy-going	13	chat_with, agree_with, charm, share_stories_with, confide_in	play_with
kind-hearted	13	sympathize_with, are_moved_by, care_for, tend, help, look_after, defend, protect	are_tended_by, are_raised_by, are_defended_by, are_protected_by
urbane	12	entertain, charm, seduce, insult, satirize	are_entertained_by, are_charmed_by, are_seduced_by, are_insulted_by, are_heckled_by
crass	12	taunt, insult, heckle, intimidate, humiliate, laugh_at, offend	are_booed_by, are_heckled_by, are_insulted_by, are_intimidated_by, are_offended_by
aloof	12	ignore, rebuff, fail_to_deliver_for	are_ignored_by, are_rebuffed_by, are_spurned_by
dedicated	12	labor_for, sweat_for, die_for, wait_on	are_served_by
soulful	12	inspire, reach_out_to, pray_with, believe_in, pray_to	are_advised_by, worship_with, respect
profane	12	offend, insult, disrespect, are_excommunicated_by	are_offended_by, are_disillusioned_by, are_disrespected_by
unscrupulous	12	cheat, steal_from, exploit, manipulate, exploit, lie_to, spread_lies_about, take_advantage_of, deceive	are_deceived_by, are_cheated_by, are_exploited_by, are_manipulated_by, are_underpaid_by, are_failed_by
deceitful	12	lie_to, deceive, spread_lies_about, trick, betray, misrepresent, lie_for	are_deceived_by, are_tricked_by, are_betrayed_by, are_failed_by, are_misrepresented_by
power-hungry	12	take_advantage_of, supplant, topple, betray, devour, overthrow	are_upstaged_by, are_supplanted_by, are_betrayed_by, are_toppled_by, are_usurped_by, are_overthrown_by
commanding	12	rule_over, dominate, coerce, command	work_for, are_hired_by, stand_up_to, are_pushed_too_far_by, sweat_for, labor_for, are_dominated_by
accomplished	12	impress	are_impressed_by, study, read_the_works_of
exploitative	12	exploit, manipulate, take_advantage_of, cheat, profit_from, enslave	are_exploited_by, are_manipulated_by, are_cheated_by, are_underpaid_by, are_pushed_too_far_by, are_underappreciated_by, are_enslaved_by
juvenile	11	look_up_to, are_tended_by, are_raised_by, rebel_against, are_scolded_by	are_molded_by, supervise, tend
selfish	11	take_advantage_of, profit_from, exploit, starve	are_exploited_by, are_manipulated_by, are_cheated_by, are_underpaid_by, are_pushed_too_far_by, look_after, are_underappreciated_by, are_failed_by
romantic	11	woo, seduce, flirt_with, seduce	are_seduced_by, are_charmed_by, fall_in_love_with, cheat_with, are_wooed_by
friendly	11	chat_with, agree_with, charm, share_stories_with	play_with, chat_with, share_stories_with, are_visited_by
honest	11	share_stories_with, counsel	are_appreciated_by, are_counseled_by, trust, respect
dishonest	11	spread_lies_about, impersonate, deceive, lie_to, defraud, life_fo, are_distrusted_by, misrepresent	 are_deceived_by, are_defrauded_by, are_advised_by, disrespect, distrust, are_failed_by, are_misrepresented_by
whiny	11	complain_to, heckle, 	are_booed_by, are_heckled_by, are_failed_by
unfaithful	11	cheat_with, cheat_on, are_divorced_by, are_sued_by, are_dumped_by, sleep_with	divorce, sue, dump, are_failed_by
imaginative	11	create_for, cook_for, inspire, are_copied_by, are_imitated_by, are_published_by	are_inspired_by
megalomaniacal	11	rule_over, dominate, coerce, command, punish, round_up, lose_control_over, subjugate, assassinate	work_for, are_hired_by, stand_up_to, are_pushed_too_far_by, sweat_for, labor_for, are_dominated_by, are_banished_by, cede_power_to
zealous	11	worship, pray_to, pray_with, believe_in, are_indoctrinated_by, are_brainwashed_by, lose_faith_in, are_radicalized_by	are_worshipped_by, are_driven_mad_by, lead_astray, are_spoiled_by
hard-working	11	work_for, labor_for, sweat_for, are_pushed_too_far_by, are_underappreciated_by, are_underpaid_by, are_promoted_by, are_overworked_by	reward, lead_astray
polite	11	let_in, listen_to, are_ignored_by, are_pushed_too_far_by, cater_to, host	are_bored_by
spiritual	11	worship, pray_to, pray_with, believe_in, are_indoctrinated_by, are_brainwashed_by, lose_faith_in, are_radicalized_by	are_worshipped_by, indoctrinate, brainwash, are_excommunicated_by
sympathetic	11	appeal_to, obtain_sympathy_from	
optimistic	11	look_up_to, trust, confide_in, show_loyalty_to, champion	are_trusted_by, are_supported_by, are_championed_by
disciplined	11	are_commanded_by, fight_for, fight_with, obey, govern_for, whip	are_obeyed_by, are_trained_by
cheery	11	charm, share_stories_with, chat_with	are_charmed_by, chat_with
childish	11	look_up_to, are_tended_by, are_raised_by, play_with, trick, are_bored_by, are_scolded_by	are_molded_by, supervise, tend, watch_over, look_after, pander_to
detail-oriented	10	interview, watch_over, spy_on, report_to, diagnose, mimic, interrogate, investigate, evaluate	are_interviewed_by, are_evaluated_by, are_investigated_by
silly	10	entertain, are_tricked_by, are_scolded_by, are_chastised_by	are_entertained_by, are_driven_mad_by, are_embarrassed_by, scold, chastise, trick, fool
logical	10	diagnose, experiment_on, lay_a_trap_for, persuade, argue_with, sacrifice	seek_advice_from, are_contradicted_by, are_persuaded_by
wise	10	advise, mentor, counsel, confide_in, confer_with	are_advised_by, seek_advice_from, are_mentored_by, read_the_works_of, study_under
dashing	10	inspire, defend, protect, stand_up_to, campaign_against, tower_over, rescue, save	are_inspired_by, are_defended_by, are_protected_by, are_rescued_by, are_saved_by, are_shielded_by
paranoid	10	spy_on, watch_over, resent, grow_suspicious_of, are_concerned_about, fear	are_distrusted_by
humorless	10	fail_to_impress	avoid, are_bored_by, are_bored_with, tune_out, lose_interest_in, are_frustrated_by
well-built	10	impress, intimidate, are_trained_by, intimidate_with, bully, tower_over, pose_for	admire, are_impressed_by, train, paint, coach
sinister	11	conspire_with, stalk, prey_on, are_distrusted_by, spy_on	conspire_with, grow_suspicious_of, fear, are_stalked_by, are_abducted_by, are_kidnapped_by, are_snatched_by, are_intimidated_by
prolific	10	create_for, are_published_by	read_the_works_of
pretty	10	charm, seduce, are_wooed_by, date, are_loved_by, entice, are_kissed_by, are_chosen_by, pose_for	woo, sleep_with, seduce, date, fall_in_love_with, flirt_with
artful	10	create_for, perform_for, paint,	are_painted_by, pose_for
kind	10	sympathize_with, are_moved_by, care_for, tend, help, look_after, defend, protect	are_tended_by, are_raised_by, are_defended_by, are_protected_by
experimental	10	experiment_on, are_intrigued_by, investigate, study, diagnose	are_evaluated_by, are_investigated_by, are_studied_by
obsessive	10	stalk, are_intrigued_by, are_driven_mad_by, take_as_prisoner	are_stalked_by, are_driven_mad_by, mystify
enigmatic	10	mystify, are_investigated_by, are_probed_by, study	are_intrigued_by, are_mystified_by, probe, investigate
resilient	10	are_underestimated_by, resist, are_hardened_by, stand_up_to	underestimate, are_resisted_by
elusive	10	elude, escape_from, hide_from, are_tracked_by	are_eluded_by, track_down
stubborn	10	argue_with, resist, disobey	are_contradicted_by, struggle_against, are_resisted_by, are_frustrated_by, lose_control_over
principled	10	stand_up_to, resist, challenge, campaign_against, testify_against, indoctrinate, show_loyalty_to	admire, are_inspired_by, are_indoctrinated_by, are_championed_by
well-educated	10	write_about, lecture_to, educate, translate_for, mentor, read_the_works_of	are_tutored_by, are_mentored_by
geeky	9	condescend_to, preach_to	are_bored_by, are_bored_with, laugh_at, bully
suave	9	charm, seduce, persuade	are_charmed_by, are_seduced_by, speak_through, are_persuaded_by
moralistic	9	preach_to, condescend_to, testify_against	are_lectured_by, are_denounced_by, disappoint, are_indoctrinated_by, are_censured_by, are_scolded_by, are_excommunicated_by
obese	9	disgust, are_dumped_by, devour	are_disgusted_by, dump
wooden	9	fail_to_impress, are_booed_by, are_heckled_by, are_criticized_by	laugh_at, boo, heckle, criticize
ugly	9	disgust, are_dumped_by, are_pitied_by, disfigure	are_disfigured_by
sophisticated	9	impress, charm, persuade, condescend_to	are_impressed_by, are_charmed_by, are_persuaded_by
modest	9	are_underappreciated_by, are_underpaid_by, are_underestimated_by, are_overshadowed_by	take_advantage_of, underestimate, overshadow
unsophisticated	9	taunt, insult, heckle, intimidate, humiliate, laugh_at, offend, disrespect, sacrifice_to	are_booed_by, are_heckled_by, are_insulted_by, are_intimidated_by, are_offended_by
hypocritical	9	lie_to, deceive, spread_lies_about, trick, betray, misrepresent, brief_against, lie_for	are_deceived_by, are_tricked_by, are_betrayed_by, are_failed_by, are_misrepresented_by
moody	9	denounce, rebuff, turn_against	are_recalled_by, are_banished_by, are_driven_mad_by, lose_control_over, are_bitten_by, appease
opportunistic	9	exploit, manipulate, take_advantage_of, cheat, profit_from, overwork, sacrifice	are_exploited_by, are_manipulated_by, are_cheated_by, are_underpaid_by, are_pushed_too_far_by, are_underappreciated_by, are_overworked_by
stiff	9	obey, disappoint	are_obeyed_by, command, are_disappointed_by, are_frustrated_by
rugged	9	impress, are_recruited_by, are_hired_by, are_enlisted_by	are_impressed_by, are_attracted_by, enlist, hire, recruit, deploy
malevolent	9	hate, resent, undermine, conspire_with, defraud, disillusion, torture, enslave, subjugate, are_toppled_by, are_resisted_by, are_despised_by	are_conquered_by, are_persecuted_by, are_tortured_by, are_mistreated_by, overthrow, grow_suspicious_of, are_disfigured_by, are_cursed_by, hide_from, fight_against, are_savaged_by, rebel_against, rise_against, are_brainwashed_by
expressive	9	persuade, charm, entice	are_persuaded_by, are_charmed_by, identify_with, speak_through
deceptive	9	lie_to, deceive, spread_lies_about, trick, betray, misrepresent, lie_for	are_deceived_by, are_tricked_by, are_betrayed_by, are_failed_by, are_misrepresented_by
haughty	9	are_toppled_by, underestimate, threaten, argue_with, bully, pick_on, condescend_to, fail_to_reward, silence, summon, dismiss	are_taunted_by, are_mocked_by, are_underappreciated_by, stand_up_to, are_rebuffed_by, argue_with, are_pushed_too_far_by, are_offended_by, turn_against, rebel_against, are_dismissed_by, are_rebuffed_by, lose_faith_in, are_censured_by, are_silenced_by
offensive	9	insult, satirize, heckle, offend, abuse, mock	are_mocked_by, are_booed_by, are_heckled_by, are_offended_by
obnoxious	9	insult, satirize, heckle, offend, abuse, mock	are_mocked_by, are_booed_by, are_heckled_by, are_offended_by
dim-witted	9	disappoint, fail_to_deliver_for, are_brainwashed_by, fail_to_impress	are_disappointed_by, enslave, are_unimpressed_with, humiliate
bald	9	disgust, are_dumped_by	are_disgusted_by, dump
wrinkly	9	disgust, are_dumped_by	are_disgusted_by, dump
idealistic	9	stand_up_to, are_corrupted_by, testify_against, indoctrinate, show_loyalty_to, die_for	admire, are_inspired_by
farseeing	9	inspire, are_copied_by, tower_over, are_worshipped_by, educate, are_published_by	are_inspired_by, trust, follow, worship, campaign_for, are_intrigued_by, support, learn_from, show_loyalty_to, are_chosen_by
promiscuous	9	sleep_with, flirt_with, seduce, cheat_on, cheat_with, are_dumped_by	are_seduced_by, divorce, dump
anti-social	9	abuse, insult, disrespect, resent, avoid, are_scolded_by	are_mistreated_by
devout	9	pray_to, believe_in, pray_with, worship, worship_with, sacrifice_to, are_radicalized_by, die_for	are_worshipped_by, indoctrinate, brainwash, are_excommunicated_by, are_converted_by, are_blessed_by
protective	9	defend, guard, watch_over, protect, look_after, rescue, die_for	are_shielded_by, are_protected_by, are_guarded_by, are_defended_by, are_saved_by
gentle	9	fall_in_love_with, date, enchant, charm, obtain_sympathy_from, love	are_kissed_by, are_moved_by, sympathize_with, are_trusted_by
probing	9	interview, watch_over, spy_on, diagnose, interrogate, investigate, evaluate	are_interviewed_by, are_evaluated_by, are_investigated_by
adulterous	9	sleep_with, flirt_with, seduce, cheat_on, cheat_with, are_dumped_by	are_seduced_by, divorce, dump
