Typical Activity	Setting	Setting	Setting	Setting	Setting	Setting	Setting	Setting	Setting	Setting	Setting	Setting
cursing at kitchen staff	restaurant kitchen	fast-food restaurant	fancy restaurant	soup kitchen	pantry	larder						
dancing to disco music	discotheque	sweaty nightclub	singles bar	dance hall								
dating centrefolds	sweaty nightclub	private yacht	fancy restaurant	fancy hotel								
dating supermodels	sweaty nightclub	private yacht	fancy restaurant	fancy hotel								
dating young women	sweaty nightclub	seedy bar	college dormitory	candy store	sports bar	carnival						
decrying secrecy	war room	underground lair	secret military base	city hall	Bohemian café	lecture theatre						
deep-frying chicken	fast-food restaurant	restaurant kitchen	Chinese restaurant									
defending plaintiffs	court room	jail cell	public square									
defending freedom	court room	public square	secret military base	UN general assembly	secret military base	parliament building						
defending the Earth	secret military base	secret military base	underground lair	missile silo	war zone							
defending the innocent	court room	public square	jail cell	war zone								
defending the weak	court room	public square	jail cell	city hall	leper colony							
defining words	public library	newspaper office	academic conference									
deflating political egos	television studio	parliament building	city hall	State capitol building								
delivering forehand slams	tennis court	squash court	tennis club									
delivering judgments	court room											
delivering presents	orphanage	roof garden	kindergarten	elevator								
demanding ransoms from the U.N.	underground bunker	underground lair	secret military base	missile silo								
designing clothes	fashion studio	clothing factory	sweatshop									
designing computer systems	open-plan office	hi-tech laboratory	technology campus									
designing haute couture	fashion studio	clothing factory	sweatshop									
designing modern buildings	open-plan office	art studio										
designing replicants	hi-tech laboratory	factory floor	secret military base	underground lair	cryogenics laboratory	walk-in refrigerator						
developing advertising campaigns	board room	open-plan office	art studio									
developing crazy schemes	underground bunker	underground lair	secret military base	mental hospital	asylum for the insane							
developing cunning plans	underground bunker	underground lair	secret military base	mental hospital	asylum for the insane	war room						
developing military strategies	war room	map room	battlefield	war zone	secret military base							
developing new technologies	hi-tech laboratory	fabrication lab	think tank									
developing open-source software	college dormitory	computer room	basement									
developing operating systems	open-plan office	technology campus	computer room									
developing political strategies	think tank	war room	smoke-filled back room	presidential palace								
developing real estate	deserted building site	parking lot	abandoned factory									
devising evil schemes	underground bunker	underground lair	secret military base	jail cell								
diagnosing diseases	emergency room	intensive care ward										
digging for antiquities	deserted building site	parking lot	flea market	gloomy dungeon	ghost town	archeological site	desert					
directing action movies	sound stage	film set	movie studio									
directing animated films	movie studio	art studio	computer room	animation studio								
directing bad movies	movie studio	television studio										
directing comedies	movie studio	television studio	film set									
directing Hollywood movies	sound stage	film set	movie studio									
directing indy movies	cramped studio apartment	dark alley	abandoned factory	deserted building site	cheap motel	college dormitory	spare room					
directing movies	sound stage	film set	movie studio									
directing robot movies	computer room	comic book convention										
directing science fiction movies	computer room	disused quarry	abandoned factory	disused hangar								
directing the business of state	parliament building	State capitol building	parliament chamber	smoke-filled back room	presidential palace							
directing violent movies	gloomy dungeon	cheap motel	war zone									
directing weird movies	basement	circus	carnival	alien cantina								
disappointing suitors	sweaty nightclub	seedy bar	singles bar	discotheque								
disappointing the family	living room	family restaurant										
disciplining students	principal's office	basement	gloomy dungeon									
disposing of unwanted jewelry	flea market	pawn shop	second-hand store									
divorcing husbands	court room											
doing diet commercials	television studio	sound stage	film set									
doing raunchy stage acts	carnival	seedy bar	sweaty nightclub	back-alley theatre	art-house cinema							
doing slapstick comedy	television studio	sound stage	film set	back-alley theatre								
doing stand-up	seedy bar	comedy club	Bohemian café									
doing the Charleston	discotheque	dance hall	Bohemian café									
doing the Kessel run	cockpit	command bridge										
drawing political cartoons	newspaper office	open-plan office	bullpen									
drawing whimsical cartoons	art studio	Bohemian café										
dreaming of yesteryear	therapist's office	natural history museum	second-hand store	pawn shop	public library							
dreaming the day away	open-plan office	fast-food restaurant	Bohemian café									
dressing up in cosplay costumes	comic book store	comic book convention										
drinking demon blood	seedy bar	gloomy dungeon	basement	underground lair								
drinking one's life away	seedy bar	singles bar	sweaty nightclub									
drinking tea	tea shop	Bohemian café	living room									
drinking too much red wine	wine bar	fancy restaurant	sweaty nightclub	singles bar	piano bar	Italian restaurant						
drinking White Russians	seedy bar	bowling alley										
dripping paint onto canvas	basement	garden shed	art studio	private warehouse								
driving around America	motor home											
driving fast cars	race track	parking lot	amusement arcade									
driving under the influence	parking lot	motor home										
duelling acrobatically	secret military base	floating platform										
eating bacon cheeseburgers	fast-food restaurant	bowling alley	office canteen	college dormitory								
eating carrots	health farm	farmer's market	Bohemian café									
eating census takers	basement	gloomy dungeon	kill room	gloomy dungeon								
eating dinosaur ribs	fast-food restaurant	natural history museum	sports bar									
eating donuts	fast-food restaurant	office canteen	college dormitory	donut shop								
eating people	gloomy dungeon	basement	make-shift lab	kill room	torture chamber							
eating power pellets	amusement arcade	health farm	nuclear power plant	apothecary shop								
eating the inedible	fast-food restaurant	office canteen	Chinese restaurant	jungle								
eliminating political rivals	smoke-filled back room	parliament building	city hall									
eluding authorities	public restroom	cheap motel	deserted building site	basement	abandoned factory							
eluding capture	public restroom	cheap motel	deserted building site	basement	abandoned factory	escape pod	Laser Tag arcade					
eluding electronic ghosts	amusement arcade	ghost town	carnival	gloomy dungeon	Laser Tag arcade							
eluding FBI profilers	cheap motel	deserted building site	basement	abandoned factory	seedy bar							
eluding hunters	deserted building site	basement	abandoned factory	cheap motel	seedy bar							
eluding imperial storm-troopers	desert	disused quarry	garbage dumpster	alien cantina								
eluding Republicans	Bohemian café	art-house cinema	art gallery	comedy club								
eluding the CIA	Faraday cage	safe house	cave									
eluding the FBI	basement	cheap motel	flop house	seedy bar	hobo camp							
eluding the public gaze	private yacht	underground bunker	private island	garden shed	safe house							
embezzling tax money	board room	Swiss bank	private vault	counting room								
engaging in bare-knuckle fighting	parking lot	abandoned factory	deserted building site	basement	seedy bar	hobo camp	boxing club					
engaging in hapless hijinks	college dormitory	comic book convention	comedy club	kindergarten	playground	circus	carnival					
enjoying ball-room dancing	dance hall	fancy hotel	abandoned factory	discotheque	disused hangar							
enjoying money	private yacht	private island	private vault	Caymen island	treasury room	counting room	casino	fancy hotel	fancy restaurant	palatial mansion		
enjoying salsa dancing	discotheque	fancy hotel	dance hall									
enriching uranium	underground bunker	underground lair	secret military base	hi-tech laboratory	low-tech laboratory							
entertaining teenagers	circus	carnival	comedy club	comic book store	comic book convention							
escaping from handcuffs	circus	carnival	sweaty nightclub	jail cell	theatre stage	padded room						
escaping from reality	therapist's office	mental hospital	asylum for the insane	padded room	amusement arcade	movie studio						
escaping from water tanks	circus	carnival	theatre stage									
evading mercenaries	war zone	jungle	cave	deserted building site	seedy bar							
executing morally appalling plans	war zone	jungle	underground lair	underground bunker								
exorcising demons	church basement	abandoned factory	kill room	gloomy dungeon	torture chamber							
explaining away the unexplained	public library	hi-tech laboratory	private library	newspaper office	lecture theatre							
explaining evolution	lecture theatre	natural history museum	jungle									
explaining natural selection	lecture theatre	natural history museum	jungle									
exploiting women	sweatshop	clothing factory	seedy bar	singles bar								
exploring darkest Africa	jungle	tent	make-shift hut									
exploring foreign countries	private yacht	tent	jungle									
exploring the new world	private yacht	tent	jungle									
expressing dissent	public square	Bohemian café	city hall	lecture theatre	comedy club	think tank						
expressing violent urges	therapist's office	padded room	gloomy dungeon	kill room	kindergarten	playground	jungle	torture chamber				
extracting confessions	confession box	interrogation room	torture chamber	basement								
extracting Radium from pitchblend	low-tech laboratory	spare room	garden shed									
falling for prank calls	seedy bar	singles bar	newspaper office									
falling gracefully	dance hall	toy store	playground	kindergarten	discotheque							
falling in love	singles bar	sweaty nightclub	dance hall	wine bar								
fawning on the boss	board room	office canteen	executive restroom	office building	open-plan office							
feeding the poor	soup kitchen	church basement	hobo camp	garbage dumpster								
fencing stolen goods	seedy bar	dark alley	private warehouse	parking lot								
fighting against totalitarianism	public square	parliament building	war room	underground bunker	secret military base	foreign office						
fighting barbarian hordes	jungle	war zone	battlefield	disused quarry	war zone							
fighting Carthaginians	desert	battlefield	war zone									
fighting civil wars	ghost town	battlefield	war zone	public square	open-plan office							
fighting decepticons	abandoned factory	parking lot	deserted building site	battlefield	underground bunker	secret military base						
fighting for civil rights	lecture theatre	public square	hobo camp	soup kitchen								
fighting for democracy	city hall	public square	lecture theatre									
fighting for justice	court room	jail cell	think tank									
fighting for liberty	war zone	public square	battlefield	prison								
fighting for the resistance	secret military base	underground bunker	battlefield	war zone	abandoned factory							
fighting for worker's rights	coal pit	disused quarry	abandoned factory	sweatshop	clothing factory	factory floor	hobo camp					
fighting guerilla wars	war zone	jungle	battlefield	ghost town								
fighting in duels	public square	roof garden	deserted building site	playground								
fighting in gladiator arenas	boxing club	amusement arcade	basement	parking lot	sports stadium							
fighting the forces of good	battlefield	war zone	jungle	secret military base	underground bunker	underground lair						
fighting the resistence	battlefield	war zone	jungle	abandoned factory								
fighting with swords	sports stadium	battlefield	souk	roof garden								
fighting with the mob	Italian restaurant	seedy bar	cheap motel	sweaty nightclub	pool hall							
finding clues	dark alley	incident room	cheap motel	parking lot								
fishing for shrimps	shrimping boat	aquarium										
flaunting buttocks	cat walk	sweaty nightclub	singles bar									
flaunting foppish fashions	sweaty nightclub	Bohemian café	fancy restaurant	dance hall	theatre stage							
flipping hamburgers	fast-food restaurant	soup kitchen										
flying airplanes	disused hangar	war zone	secret military base									
flying into a rage	boxing club	board room	battlefield	city hall								
foiling the schemes of evil villains	underground bunker	underground lair	secret military base									
following clues	dark alley	incident room	cheap motel	parking lot	abandoned factory							
fomenting social revolution	hobo camp	public square	college dormitory	pool hall	Bohemian café	soup kitchen						
forging art	art studio	garden shed	attic	spare room	assembly line							
forming new social connections	dance hall	singles bar	discotheque	Bohemian café	soup kitchen							
frowning at errant husbands	singles bar	seedy bar	discotheque									
frying peanut-butter and banana sandwiches	fast-food restaurant	college dormitory										
funding a cure for malaria	low-tech laboratory	jungle	apothecary shop	public restroom								
fussing about cleanliness	public restroom	cheap motel	college dormitory	seedy bar								
gadding about town	singles bar	sweaty nightclub										
tending the garden	roof garden	garden shed										
planting daffodils	roof garden	deserted building site										
getting a nose job	plastic surgeon's office											
getting plastic surgery	plastic surgeon's office											
getting run over by cars	parking lot											
giving investment advice	Swiss bank	casino	think tank									
giving noogies	kindergarten	playground	donut shop	college dormitory								
giving self-help lectures	lecture theatre	soup kitchen	hobo camp									
giving speeches	lecture theatre	public square	parliament building	city hall	sweatshop	think tank						
giving to the poor	soup kitchen	hobo camp	public square	seedy bar	garbage dumpster							
going bowling	bowling alley											
going on commando missions	secret military base	private island	jungle	sandy beach	underground lair							
going senile	cheap motel	retirement home										
going slowly mad	cheap motel	retirement home	hobo camp									
promoting nerd culture 	comic book convention	comic book store	toy store									
maintaining salon-quality hair	hair salon	dressing room	hall of mirrors									
preening in front of the mirror	public restroom	bathroom	dressing room	hall of mirrors								
gossiping with galpals	Bohemian café	fancy restaurant	singles bar	plastic surgeon's office	sweaty nightclub	shoe shop	art gallery	Chinese restaurant				
grabbing power	city hall	parliament building	board room									
grilling interviewees	interrogation room	torture chamber	chat show set									
growing up poor	soup kitchen	hobo camp	dark alley	tenement building	flop house	garbage dumpster						
guarding the galaxy	command module	command bridge										
gurning for the camera	sound stage	red carpet										
gyrating hips	dance hall	discotheque	sweaty nightclub	singles bar								
hacking into computers	computer room	internet café	college dormitory									
hacking into corporate mainframes	computer room	internet café	college dormitory									
handing out flowers	public square	public restroom	Bohemian café	Chinese restaurant								
chasing flappers	dance hall	Bohemian café	country house	music hall								
hanging out on Facebook	computer room	college dormitory										
avoiding paparazzi	ghost town	shopping mall	singles bar	gloomy dungeon								
having meltdowns in public	red carpet	shopping mall	hair salon	public restroom	fast-food restaurant							
healing the sick	leper colony	soup kitchen										
hiding from extremists	basement	underground bunker	safe house	cave	private library	flop house						
hiding from the public	ghost town	private island	private yacht									
hitting home runs	sports stadium	amusement arcade										
holding evasive press conferences	television studio	fancy hotel										
hosting a late night chat show	television studio	sound stage										
hosting educational films	television studio											
hosting radio shows	radio studio											
hosting reality TV shows	television studio											
hosting anodyne game shows	television studio											
hosting automotive shows	television studio											
hunting aliens	war zone	abandoned factory	deserted building site	jungle								
hunting demons	church basement	ghost town	gloomy dungeon									
hunting monsters	gloomy dungeon	abandoned factory	deserted building site	jungle								
hunting rabbits	roof garden	health farm	vegetable garden									
hunting raccoons	roof garden	health farm	parking lot									
hunting serial killers	kill room	singles bar	sweaty nightclub									
hunting wabbits	roof garden	health farm	vegetable garden									
impersonating women	seedy bar	sweaty nightclub	shoe shop	Bohemian café	public restroom							
incurring debts	pawn shop	casino										
instigating rebellion	public square	parliament building	battlefield	hobo camp	sweatshop							
instilling fear in the enemy	underground bunker	secret military base	war zone	battlefield								
insulting celebrities	red carpet	television studio	radio studio	fancy restaurant	fancy hotel							
insulting minorities	sweatshop	clothing factory	souk	tenement building								
interpreting evidence	incident room	hi-tech laboratory										
interviewing celebrities	television studio	red carpet	chat show set									
interviewing politicians	television studio	chat show set	parliament building	city hall	State capitol building							
introducing cartoons	television studio											
inventing electrical marvels	hi-tech laboratory	low-tech laboratory	basement	garden shed								
inventing new confectionary	restaurant kitchen	candy store	donut shop									
inventing new technologies	hi-tech laboratory	technology campus	computer room									
inventing superheroes	comic book convention	comic book store	college dormitory	kindergarten	art studio							
inventing time machines	basement	hi-tech laboratory										
investigating alien abductions	mental hospital	asylum for the insane										
investing in real estate	parking lot	abandoned factory	deserted building site									
investing money	Swiss bank	stock exchange	board room									
issuing fatwas	minaret	mosque										
issuing threats	boxing club	dark alley	seedy bar	pool hall	lecture theatre							
judging legal cases	court room	court TV set										
jumping on couches	sound stage	chat show set										
jumping over buses on motorbikes	parking lot											
keeping a diary	cramped studio apartment											
keeping accounts	counting room	Swiss bank	private vault	treasury room								
kicking ass	boxing club	war zone	battlefield									
killing demons	church basement	abandoned factory	kill room	gloomy dungeon	torture chamber							
killing for Mi6	sweaty nightclub	public restroom	casino	underground bunker	underground lair	secret military base	missile silo					
killing monsters	gloomy dungeon	abandoned factory	deserted building site									
killing murderers	kill room	gas chamber	torture chamber	basement								
killing people in ingenious ways	torture chamber	kill room										
killing rival gladiators	boxing club	sports stadium										
killing teenagers	college dormitory	comic book store	comic book convention	shopping mall	fast-food restaurant							
knocking out opponents	boxing club											
collecting rock samples	desert	deserted building site	sandy beach									
laughing at God	observatory	hi-tech laboratory	comedy club									
laughing maniacally	mental hospital	asylum for the insane	padded room	underground bunker	underground lair	comedy club						
launching a war	war room	underground bunker	secret military base									
launching cultural revolutions	hippy commune	Bohemian café	lecture theatre	Chinese restaurant								
launching foreign wars	war room	secret military base										
launching hostile takeovers	board room	stock exchange										
leading an exodus	deserted building site	abandoned factory	desert									
leading armies into battle	war zone	battlefield	jungle									
leading revolts	war zone	battlefield	public square									
leading revolutions	war zone	battlefield	public square									
leading the rebel alliance	war room	secret military base	underground bunker									
flipping hamburgers	fast-food restaurant	restaurant kitchen										
frying crabby patties	fast-food restaurant	restaurant kitchen	Chinese restaurant									
leading tour groups	parliament building	State capitol building	city hall									
leaking classified documents	secret military base	internet café	foreign office	Watergate hotel								
leaking information	secret military base	underground bunker	foreign office	board room	computer room	Watergate hotel						
leaking state secrets	foreign office	parliament building	internet café									
lecturing about climate change	lecture theatre	academic conference	UN general assembly									
letting one's hair down	seedy bar	pool hall	singles bar	dance hall	sweaty nightclub							
living amongst apes	jungle	zoo										
looking after children	kindergarten	playground	toy store									
looking after mother	retirement home	basement										
looking for hidden treasures	deserted building site	desert	jungle	souk	antique market	archeological site						
looking for immortality	cryogenics laboratory	red carpet										
looking for love	singles bar	sweaty nightclub	cheap motel	seedy bar	brothel							
looking for sex	singles bar	sweaty nightclub	cheap motel	seedy bar	brothel							
losing control	boxing club	board room	command room	court room	chat show set							
losing court cases	court room	jail cell										
losing weight	gymnasium	health farm	plastic surgeon's office									
riding a bicycle	parking lot	race track										
lying badly	court room	interrogation room	torture chamber	confession box	chat show set							
maintaining a secret identity	public restroom	telephone box	newspaper office									
making  madcap comedies	sound stage	film set	movie studio	circus								
making action movies	sound stage	film set	movie studio									
making antisemitic remarks	trailer park	seedy bar	church basement	motor home								
making bad movie choices	movie studio	board room										
making bad movies	sound stage	film set	movie studio	factory floor								
making billions	stock exchange	board room	private yacht	office building								
making bizarre movies	hippy commune	basement	circus	carnival								
making cars	assembly line	factory floor										
making cartoons	movie studio	art studio	computer room	animation studio								
making condescending remarks	chat show set	red carpet	lecture theatre	parliament building								
making documentaries	war zone	battlefield	basement	spare room								
making dumb comedies	sound stage	film set	movie studio									
making dunk shots	basketball court											
making escape plans	jail cell	prison	padded room	sweatshop								
