Determiner	Weapon	Affordances
a	golden sword	running through with, slashing with, cutting with, stabbing with
a	Titanium golf club	battering with, pummelling with
a	gorilla paw	clawing with, scratching with, gouging with
a	grappling hook	gouging with, clawing with, gutting with
a	grating faux-English accent	entrancing with, charming with, neutralizing with
a	gravel-spitting voice	targeting with, intimidating with, bullying into submission with
a	greasy drumstick	hardening arteries with, poisoning with, sickening with, choking with
	great balls of fire	burning with, obliterating with, reducing to ash with
	Greek fire	burning with, obliterating with, reducing to ash with
	green Kryponite	sickening with, poisoning with, weakening with
a	guitar-string garrote	choking with
a	Gungan battle staff	battering with, pummelling with, poking with
a	habanero catapult	burning with, battering with
a	hack attacks	hacking with, undermining with, 
	hacking tricks	hacking with, undermining with, disorienting with, manipulating with
a	hair-spray flamethrower	burning with, obliterating with, reducing to ash with
a	halberd	stabbing with, puncturing with, piercing with
	halitosis	knocking out with, poisoning with
a	hammer and sickle	battering with, slashing with, hacking with
a	harpoon gun	puncturing with, gutting with, running through with, shooting with
a	haymaker	knocking out with, knocking senseless with, smashing with
a	head butt	head-butting with, knocking out with
a	head lock	choking with
	heat vison	melting with, burning with, reducing to ash with
a	mobster's heater	shooting with, peppering with
a	heavy cane	battering with, pummelling with, whipping with, poking with
a	Heckler & Koch MP5 machine gun	shooting with, peppering with, shredding with
a	hedge fund trimmer	cutting with, slicing with, shredding with
a	hidden dagger	stabbing with, puncturing with, piercing with
a	high-fat diet	hardening arteries with, poisoning with, sickening with
a	hijacked 747	ramming with, running over with
a	hillbilly hoe	battering with, slashing with, hacking with
a	hip-mounted revolver	shooting with
	hipbop put-downs	shaming with, humiliating with, tongue-lashing with
a	Titanium hockey stick	battering with, slashing with, hacking with
a	hockey-mom stick	battering with, slashing with, hacking with
the	holy hand grenade of Antioch	blowing up with
a	home-made death ray	frying with, melting with, poisoning with
a	home-made fishing spear	running through with, slashing with, cutting with, stabbing with
a	home-made ray gun	shooting with, frying with, electrifying with
	Homeric similes	entrancing with, charming with, neutralizing with
	honey-soaked charm	entrancing with, charming with, neutralizing with, entrancing with, manipulating with
a	hostile takeover	immobilizing with
a	hot grill	melting with, burning with, reducing to ash with
a	red-hot poker	poking with, burning with, piercing with, stabbing with
a	hunting crop	slashing with, whipping with
a	hunting knife	gutting with, slashing with, cutting with, slicing with, stabbing with
a	hunting rifle	shooting with
	hurtful epigrams	shaming with, humiliating with, tongue-lashing with
	hurtful put-downs	shaming with, humiliating with, tongue-lashing with
a	hypnotic stare	entrancing with, charming with, neutralizing with, snake-charming with
a	hypodermic needle	puncturing with, piercing with, poisoning with, stabbing with
an	ice pick	puncturing with, piercing with, slashing with, stabbing with
	incendiary joss sticks	burning with
	incisive wit	shaming with, humiliating with, tongue-lashing with
	insider knowledge	manipulating with, under-cutting with, undermining with
the	invisible hand	manipulating with, crushing with, swatting with
an	invisible WMD	intimidating with
an	iron dildo	ramming with, pistol-whipping with, pummelling with, running through with
an	iron maiden	crushing with, piercing with, torturing with
	iTunes malware	hacking with, undermining with, disorienting with
an	ivory-handled Colt pistol	shooting with, pistol-whipping with
a	jailhouse shiv	shivving with, stabbing with, shanking with, slashing with, cutting with
	jalapeno kickers	blowing up with, blowing away with
the	jawbone of an ass	walloping with, pummelling with, smiting with, battering with
a	Jedi chokehold	choking with
a	Jedi lightsaber	slashing with, cutting with, hacking with, dismembering with
	Jedi mind tricks	manipulating with, hypnotizing with, entrancing with, controlling with, disorienting with
a	jeweled dagger	stabbing with, puncturing with, piercing with
a	judo chop	chopping with, immobilizing with, knocking out with
a	Kamikaze death-dive	blowing up with, destroying with, obliterating with
a	Karate kick	knocking out with, knocking senseless with, ass-kicking with
the	Kennedy charm	neutralizing with, entrancing with, manipulating with
a	KGB goon squad	intimidating with, liquidating with
a	KGB poison umbrella	poisoning with, poking with, stabbing with
a	killer backhand	bitch-slapping with, knocking out with
	killer biceps	crushing with, bear-hugging with, 
a	killer bite	stinging with, savaging with, mauling with, ripping apart with
a	killer dunk shot	humiliating with, flattening with
a	killer forehand	bitch-slapping with, knocking out with
	Kung Fu	beating black-and-blue with, ass-kicking with
a	kitchen cleaver	chopping with, dismembering with, cutting with, 
a	kitchen knife	chopping with, dismembering with, cutting with, 
a	Kiwi Molotov cocktail	blowing up with, blowing away with
a	knee kick	herniating with, groin-kicking with
a	knicker-elastic catapult	snapping with, bombarding with
a	knife in the back	stabbing with, scarring with, betraying with
	Krav Maga	beating black-and-blue with, ass-kicking with
	Krusty's Toxic Kologne	poisoning with, nauseating with, sickening with, pepper-spraying with, knocking out with
a	lady's fan	whacking with, bitch-slapping with, chopping with, poking with
a	lantern jaw	head-butting with, knocking out with
a	laser blaster	blasting with, blistering with, vaporizing with, shooting with
a	laser cannon	blasting with, blistering with, vaporizing with, shooting with, obliterating with
a	laser Taser gun	shooting with, frying with, electrifying with, electrocuting with
a	Lawgiver pistol	shooting with, pistol-whipping with
a	leather cosh	whacking with, bitch-slapping with, knocking out with, coshing with, battering with
a	left uppercut	knocking out with, knocking senseless with, smashing with
	legions of brainwashed zealots	intimidating with, liquidating with
a	lemon juice squirter	spraying with, squirting with, burning with
a	lethal joy buzzer	electrifying with, electrocuting with, zapping with, frying with, shocking with
a	lethal weapon box-set	whacking with, bitch-slapping with, knocking out with, pummelling with, battering with
a	letter-opener	stabbing with, puncturing with, piercing with
a	Lilliputian commando squad	infiltrating with, undermining with, overwhelming with
a	limpet mine	blowing up with, destroying with, obliterating with
	little grey cells	out-thinking with, manipulating with,  controlling with, disorienting with
	Liverpudlian wit	entrancing with, charming with, neutralizing with
	long arms	bear-hugging with, bitch-slapping with
a	longsword	running through with, slashing with, cutting with, stabbing with
an	M1 Carbine	shooting with, peppering with, shredding with
an	M60 machine gun	shooting with, peppering with, shredding with
an	M79 Grenade Launcher	blowing up with, blowing away with, bombarding with
a	machete	chopping with, dismembering with, cutting with, 
	Machiavellian mind-tricks	manipulating with, hypnotizing with, entrancing with, controlling with, disorienting with
a	machine gun	shooting with, peppering with, shredding with
a	Mafia garrote	choking with
	Mafia hitmen	liquidating with, assassinating with
a	magic flute	entrancing with, charming with, neutralizing with
a	magic staff	entrancing with, charming with, neutralizing with, battering with, whacking with, running through with
a	magic wand	entrancing with, charming with, neutralizing with, repelling with
a	.357 Magnum	blowing away with, shooting with
a	mahl stick	battering with, whacking with, running through with
a	Malibu Stacy cannon	bombarding with, battering with, shooting with
	mangled idioms	disorienting with, confusing with, wrong-footing with
	manic energy	overwhelming with, zapping with, electrifying with
a	Marine-issue pistol	shooting with, pistol-whipping with
	Martial Arts	beating black-and-blue with, ass-kicking with
a	massive ego	humiliating with, flattening with, crowding out with
	massive forearms	crushing with, bear-hugging with, swatting away with
a	matador's sword	running through with, slashing with, cutting with, stabbing with
a	match fix	undermining with, manipulating with
a	maverick attitude	entrancing with, charming with, neutralizing with, disorienting with
a	meatball catapult	bombarding with, battering with, shooting with
	meaty fists	pummelling with, hammering with, battering with, beating black-and-blue with
a	mechanical salute	knocking out with, swatting away with
a	Medusa stare	freezing with, petrifying with
a	melon baller	gouging with, clawing with
	metal pincer claws	crushing with, cutting with, torturing with, nipping with
a	microphone cord garrote	choking with
a	Microsoft Zune	confusing with, disorienting with, repelling with
a	mightier-than-the-sword pen	stabbing with, puncturing with, piercing with
	Mission: Impossible props	confusing with, disorienting with, intimidating with
	Mixed Martial Arts	beating black-and-blue with, ass-kicking with
	Mjolnir	hammering with, battering with, pummelling with
a	Mk III Adams Revolver	shooting with, pistol-whipping with
	mob connections	intimidating with, crushing with, manipulating with, liquidating with
	mockney charm	neutralizing with, entrancing with, manipulating with
a	Model 1913 Cavalry Saber	running through with, slashing with, cutting with, stabbing with
a	model-T-100 Terminator	terminating with, liquidating with, crushing with, intimidating with
	modernistic prose	confusing with, disorienting with, repelling with
a	Molotov cocktail	blowing up with, blowing away with
a	Molotov Martini	blowing up with, blowing away with
	monetarism	confusing with, manipulating with
	Mongo's farts	poisoning with, nauseating with, sickening with, knocking out with, repelling with
	Montezuma's revenge	sickening with, weakening with, infecting with
a	Mossberg Maverick with pistol grip	shooting with, pistol-whipping with
a	motorcycle chain	slashing with, battering with, scarring with
	Mrs. Dalloway's rock cakes	bombarding with, battering with, shooting with
	multifarious gadgets	intimidating with, crushing with, manipulating with
	multipart harmonies	repelling with, intimidating with, frightening away with, entrancing with
a	musket	shooting with, pistol-whipping with
a	musket rifle	shooting with, poking with
	mustard gas	poisoning with, nauseating with, sickening with, pepper-spraying with, knocking out with
the	nails of the holy cross	stabbing with, puncturing with, piercing with
a	napalm airbrush	spraying with, squirting with, burning with
	napalm hair spray	spraying with, squirting with, burning with
a	Napoleonic musket	shooting with, pistol-whipping with
	Nazi propaganda	disorienting with, confusing with, wrong-footing with
a	Necromonger knife	stabbing with, puncturing with, piercing with, slicing with, slashing with
	nerve gas	poisoning with, nauseating with, sickening with, pepper-spraying with, knocking out with
	neurotic babbling	disorienting with, confusing with, wrong-footing with, frightening away with
a	Nighthawk tomahawk	chopping with, dismembering with, cutting with, 
	Ninotchka nunchucks	whacking with, bitch-slapping with, knocking out with, walloping with, battering with
a	no. 9 iron golf club	battering with, walloping with, coshing with, hacking with, knocking out with
a	Noisy Cricket	shooting with, blowing away with
	noogies	humiliating with, degrading with
the	Norn Stones	entrancing with, charming with, neutralizing with, battering with, whacking with
a	nuclear missile	blowing up with, blowing away with
	nuclear waste	poisoning with, nauseating with, sickening with, knocking out with, repelling with
	numbing prose	confusing with, disorienting with, repelling with
	observational comedy	confusing with, disorienting with, repelling with
an	ogre's club	battering with, walloping with, coshing with, hacking with, knocking out with
	oil-slick charm	neutralizing with, entrancing with, manipulating with
	On The Road-rage	blowing up with, blowing away with
a	one-handed sword	running through with, slashing with, cutting with, stabbing with
an	Oompa Loompa goon squad	intimidating with, crushing with, manipulating with, liquidating with
	optical illusions	confusing with, disorienting with, repelling with
	Orcrist	running through with, slashing with, cutting with, stabbing with
an	Oscar statuette	battering with, walloping with, coshing with, hammering with, knocking out with
	over-acting	repelling with, intimidating with, frightening away with
an	over-sized hammer	hammering with, battering with, pummelling with
an	overpowering perfume	poisoning with, nauseating with, sickening with, pepper-spraying with, knocking out with
an	overweening self-belief	flattening with, crushing with
a	paint knife	stabbing with, puncturing with, piercing with
	paper-cuts	shredding with, piercing with
a	Patrician manner	flattening with, crushing with
a	Peabody Award statuette	battering with, walloping with, coshing with, hammering with, knocking out with
a	peanut shooter	shooting with, poking with, stinging with
	pearl bolas	choking with
	pearly fangs	biting with, puncturing with, piercing with
	pepper spray	spraying with, squirting with, burning with, repelling with
a	Pflager Katsumata-D pistol	shooting with, pistol-whipping with
a	phallic turnip	stabbing with, pistol-whipping with, battering with, choking with
a	phaser	zapping with, frying with, electrifying with, electrocuting with
	phosgene gas jets	burning with, melting with, frying with
a	photon torpedo	blowing away with, shooting with, blowing up with
a	piano-wire garrote	choking with
the	pincers of doom	crushing with, cutting with, torturing with, nipping with
a	pistol with bent barrel	pistol-whipping
a	pitchfork	running through with, puncturing with, cutting with, stabbing with
a	plague of frogs	overwhelming with, poisoning with, infecting with
a	plastic knife	gouging with, poking with
a	pointy umbrella	poking with, battering with, piercing with, stabbing with
	poison	poisoning with, nauseating with, sickening with
a	poison asp	poisoning with, nauseating with, sickening with, stinging with
	poison ivy	poisoning with, nauseating with, sickening with, stinging with
	poison-pen letters	fatally depressing with, withering with
a	poisoned apple	poisoning with, nauseating with, sickening with
a	poisoned fortune cookie	poisoning with, nauseating with, sickening with
	poisoned Kool-Ade	poisoning with, nauseating with, sickening with
a	poison-tipped rapier	poisoning with, nauseating with, sickening with, stabbing with, running through with
a	police baton	battering with, walloping with, coshing with, hammering with, knocking out with
	political connections	intimidating with, crushing with, manipulating with
	Polonium-210	poisoning with, nauseating with, sickening with
a	poniard	running through with, puncturing with, piercing with, stabbing with
a	pop gun	shooting with, pistol-whipping with
a	portrait of sin	shocking with, repelling with, terrifying with, frightening away with
a	potato gun	shooting with, battering with
a	potatoe gun	shooting with, battering with
the	power of positive thinking	entrancing with, charming with, neutralizing with, manipulating with
the	power of the press	overwhelming with, manipulating with, crushing with
a	power sword	running through with, slashing with, cutting with, stabbing with
	power-up pellets	zapping with, peppering with, electrifying with, electrocuting with
	prescription drugs	poisoning with, nauseating with, sickening with, knocking out with, immobilizing with
a	prison shiv	shivving with, stabbing with, shanking with, slashing with, cutting with
	probing questions	intimidating with, frightening away with, piercing with, bombarding with
	projectile drumsticks	bombarding with, battering with, shooting with
	Promethean electricity	zapping with, burning with, electrifying with, electrocuting with
a	psychedelic scream	blowing away with, deafening with, disorienting with
	psychic mind-tricks	manipulating with, hypnotizing with, entrancing with, controlling with, disorienting with
	purple prose	confusing with, disorienting with, repelling with
	Quack Fu	beating black-and-blue with, ass-kicking with
a	quarterstaff	battering with, pummelling with, poking with
	quasi-evil sensibility	intimidating with, frightening away with, manipulating with
the	queen's gambit	out-thinking with, manipulating with,  controlling with, disorienting with
	rabid bats	infecting with, overwhelming with, poisoning with, savaging with
a	rabid Doberman	infecting with, poisoning with, mauling with, savaging with
a	rabid llama	infecting with, poisoning with, mauling with, savaging with
a	rabid reindeer	infecting with, poisoning with, mauling with, savaging with
the	race card	manipulating with, intimidating with, frightening away with
a	radioactive rod	poisoning with, nauseating with, sickening with, battering with, poking with
a	Rambo crossbow	shooting with, piercing with, puncturing with, shafting with
a	Rambo knife	gutting with, slashing with, cutting with, slicing with, stabbing with
	rapid-fire gags	overwhelming with, intimidating with, humiliating with
a	rapier	running through with, puncturing with, piercing with, stabbing with
a	ray gun	zapping with, burning with, electrifying with, electrocuting with
a	razor-clawed glove	slashing with, cutting with, stabbing with, gutting with
	razor-edged flares	slashing with, cutting with, slicing with
a	razor-edged plectrum	slashing with, cutting with, slicing with
a	razor-edged spatula	slashing with, cutting with, slicing with
	razor-sharp trouser creases	slashing with, cutting with, slicing with
	Real Politik	overwhelming with, intimidating with, humiliating with
a	red-tie garrote	choking with
a	replica phaser	intimidating with, frightening away with, manipulating with
	repulsor rays	repelling with, intimidating with, frightening away with, frying with, melting with, burning with, zapping with
a	restraining order	restraining with, intimidating with, frightening away with
a	revolver	shooting with, pistol-whipping with
	ricin poison	poisoning with, nauseating with, sickening with
	Riders on the Storm	intimidating with, crushing with, manipulating with
a	riding whip	whipping with, stinging with, battering with
a	right cross	knocking out with, knocking senseless with, smashing with
a	right hook	knocking out with, knocking senseless with, smashing with
	righteous indignation	intimidating with, frightening away with, manipulating with
the	ring of fire	burning with, melting with, frying with
a	rocket-fuel Molotov cocktail	blowing up with, blowing away with, melting with, burning with
a	rogue elephant	intimidating with, crushing with, manipulating with
a	rolled-up tea towel	snapping with, whipping with, stinging with, battering with
a	rolled-up bath towel	snapping with, whipping with, stinging with, battering with
a	rolled-up newspaper	choking with, battering with, whipping with, slapping with, bitch-slapping with
a	Roman short sword	running through with, puncturing with, cutting with, stabbing with
	Room 101	intimidating with, frightening away with, manipulating with
the	rope-a-dope	manipulating with, tiring out with
a	Rosebud sleigh runner	slashing with, cutting with, stabbing with, gutting with
a	roundhouse punch	pummelling with, hammering with, battering with, beating black-and-blue with
a	royal sceptre	battering with, pummelling with, poking with
a	Ruger Super Blackhawk .454 Magnum	shooting with, pistol-whipping with, blowing away with
the	rule of law	intimidating with, crushing with, manipulating with
	ruthless ambition	overwhelming with, running over with, crushing with
a	samurai sword	running through with, slashing with, cutting with, stabbing with, gutting with
	Sankara stones	zapping with, burning with, electrifying with, electrocuting with
a	sarissae spear	running through with, slashing with, cutting with, stabbing with
a	sawn-off shotgun	blowing away with, shooting with, peppering with, blasting with
a	saxophone	entrancing with, charming with, battering with, whacking with
a	saxophone blow-pipe	shooting with, piercing with, puncturing with, poisoning with
a	scalpel	slashing with, cutting with, stabbing with, gutting with
	Scientology mind-tricks	manipulating with, hypnotizing with, entrancing with, controlling with, disorienting with
a	scimitar	slashing with, cutting with, slicing with
	scissor-fingers	slashing with, cutting with, slicing with, gutting with
a	scone launcher	bombarding with, battering with, shooting with
a	Scottish claymore	running through with, slashing with, cutting with, stabbing with, gutting with
	scripted jokes	repelling with, numbing with, frightening away with
a	SCUD missile	blowing up with, blowing away with
a	scythed chariot	mowing down with, slashing with, running over with, shredding with
	self-effacing charm	neutralizing with, entrancing with, manipulating with
	self-pity	repelling with, numbing with, frightening away with
	selfrighteous preaching	repelling with, numbing with, frightening away with, manipulating with
a	service revolver	shooting with, pistol-whipping with
a	sexy saxophone	entrancing with, charming with, battering with, whacking with
	sharks with frickin' laser beams attached to their frickin' heads	savaging with, mauling with, shredding with, zapping with
a	sharp-edged bookmark	slashing with, cutting with, slicing with
a	sharp-edged ruler	slashing with, cutting with, slicing with
a	sharpened chicken bone	stabbing with, puncturing with, piercing with
a	sharpened chop stick	stabbing with, puncturing with, piercing with
	sharpened cleats	stabbing with, puncturing with, piercing with, perforating with
a	sharpened crucifix	stabbing with, puncturing with, piercing with
a	sharpened drum stick	stabbing with, puncturing with, piercing with
	sharpened incisors	stabbing with, puncturing with, piercing with, shredding with
	sharpened lollipop sticks	stabbing with, puncturing with, piercing with, shredding with
a	sharpened paint brush	stabbing with, puncturing with, piercing with
a	sharpened pencil	stabbing with, puncturing with, piercing with
a	sharpened propeller	stabbing with, puncturing with, piercing with
a	sharpened quill	stabbing with, puncturing with, piercing with
a	sharpened stiletto heel	stabbing with, puncturing with, piercing with
a	sharpened tuning fork	stabbing with, puncturing with, piercing with
a	sharpened twig	stabbing with, puncturing with, piercing with
a	sharpened wooden nose	stabbing with, puncturing with, piercing with
