Character	Canonical Name	Gender	Address 1	Address 2	Address 3	Politics	Marital Status	Opponent	Typical Activity	Vehicle of Choice	Weapon of Choice	Seen Wearing	Domains	Genres	Fictive Status	Portrayed By	Creator	Creation	Group Affiliation	Fictional World	Category	Negative Talking Points	Positive Talking Points
Bart Simpson	Bart Simpson	male	Springfield		USA	libertarian	single	Principal Seymour Skinner, Sideshow Bob, Nelson Muntz	playing pranks, making prank calls	skateboard	catapult	blue shorts	Family life, Comedy	television, cartoons	fictional	Nancy Cartwright	Matt Groening		The Simpsons Family	The Simpsons	Child, Schoolkid	rude, boorish, insensitive	mischievous, playful, curious
Basil Fawlty	Basil Fawlty	male	Fatty Owls Hotel	Torquay	UK	right	married to Cybil Fawlty	Cybil Fawlty	condescending to customers, beating menial staff, terrorizing employees, running a hotel	old banger	long arms, funny walk	extra-long trousers	British comedy, the Hotel business	comedy, television, business	fictional	John Cleese	John Cleese	Fawlty Towers Hotel	Fawlty Towers	Fawlty Towers	Hotelier, Snob	rude, boorish, overbearing, snobby, elitist, insensitive, priggish, snooty	tall, witty
Bear Grylls	Bear Grylls	male	Surbiton	London	UK		married		eating bugs, licking frogs, sucking roots	home-made raft	sharpened twig, cactus needles, poison ivy	all-weather gear	Reality TV, the Outback	television							Adventurer, Explorer, Survivalist	reckless, overzealous	adventurous, brave, telegenic, confident, capable
Ben Affleck	Ben Affleck	male	Falmouth	Massachusetts	USA	left	married to Jennifer Garner	Jennifer Lopez	making bad movie choices, avoiding paparazzi		Oscar statuette		Acting, Hollywood	movies				Good Will Hunting			Actor, Director	bland, unconvincing, hammy	handsome, square-jawed, lantern-jawed
Benedict Arnold	Benedict Arnold	male	Boston	Massachusetts	USA			George Washington	betraying friends, stabbing in the back, selling out, changing sides	horse-drawn carriage	knife in the back	turncoat	American history, American politics, Betrayal	history, politics							Traitor, General	traitorous, disloyal, sneaky, two-faced, treacherous	clever, shrewd
Benjamin Franklin	Benjamin Franklin	male	Philadelphia	Pennsylvania	USA				testing scientific theories	horse-drawn carriage	electrified kite		American history, American politics	history, politics		Timothy Busfield		the lightning rod			Inventor, Politician	fat, obese	inventive, eloquent, imaginative, patriotic, ingenious
Benny Hill	Benny Hill	male	Teddington	London	UK		single		chasing old women		sexy saxophone		British comedy, British humour	comedy, television							Comedian	fat, oafish, sleazy, sexist, racist	funny, entertaining, witty
Bertie Wooster	Bertie Wooster	male	Mayfair	London	UK	right, libertarian	single		playing the piano,  chasing flappers, doing the Charleston	1930's Aston Martin	walking stick	dapper suit, Trilby, Ascot	British comedy,  British class politics	comedy, television, literature	fictional	Hugh Laurie	P. G. Wodehouse		The Drones club	Jeeves and Wooster	Fool, Gentleman, Fop, Dandy	foolish, silly, gullible, lazy, foppish,preening	affable, friendly, decent, honest, honorable, rich
Reginald Jeeves	Reginald Jeeves	male	Mayfair	London	UK	right, libertarian	single		rescuing aristocrats	1930's Aston Martin	earnest stare	three-piece suit	British comedy,  British class politics	comedy, television, literature	fictional	Stephen Fry	P. G. Wodehouse		Junior Ganymede club	Jeeves and Wooster	Sidekick, Butler, Valet, Gentleman's Gentleman, Gentleman	manipulative, controlling, pious, 	affable, impeccable, shrewd, insightful, helpful, cunning, encyclopedic, well-read, well-mannered, charming, polite, diplomatic, discreet, ingenious, unflappable
Bill Clinton	Bill Clinton	male	Little Rock	Arkansas	USA	left	married to Hillary Clinton, cheating with Monica Lewinsky	Barach Obama, Newt Gingrich	chasing interns	armored towncar	honey-soaked charm	sharp suit	American politics, the Left, the Democrats	politics					The Democratic Party		President, Politician, Lecher	lusty, priapic, overambitious, adulterous, slick,dishonest, manipulative, wonky	affable, emotic, empathic, clever, eloquent
Bill Cosby	Bill Cosby	male	Philadelphia	Pennsylvania	USA	left	married		telling affable jokes	1966 Shelby Cobra	avuncular charm	sweater	American comedy, American culture, Comedy, Acting	comedy, culture, 						The Cosby Show	Comedian, Actor	pious, preachy	affable, funny, avuncular, witty
Bill Gates	Bill Gates	male	Seattle	Washington State	USA		married to Melinda Gates	Steve Jobs	making billions, pushing dodgy operating systems, funding a cure for malaria	Porsche	blue screen of death	bad suit	Microsoft, Technology, Software, the Software business	technology, business		Anthony Michael Hall		Microsoft, Microsoft DOS, Microsoft Windows, Microsoft Word	Microsoft		Inventor, Businessman, Programmer, CEO	nerdy, geeky, scruffy, overly-competitive	rich, intelligent, successful, powerful, competitive,  business-savvy, philanthropic
Bill Murray	Bill Murray	male	Wilmette	Illinois	USA	left			starring in indy movies, telling dry jokes	1959 Cadillac Ecto-1	Ghostbusting power ray	Caddyshack T-shirt	American comedy, American culture	comedy, culture, 							Comedian, Actor	sarcastic	laidback, witty, cool, funny, unflappable
Billy Bob Thornton	Billy-Bob Thornton	male	Hot Springs	Arkansas	USA	left	divorced from Angelina Jolie		playing intense characters, starring in indy movies		sling blade		Acting, Hollywood	movies							Actor, Campaigner	creepy	compelling, convincing
Billy Crystal	Billy Crystal	male	East Park Avenue	New York City	USA	left	married		doing stand-up, starring in comedies		bad jokes		American comedy, American culture, Comedy, Acting	comedy, culture, 							Comedian, Actor	ingratiating	funny, witty, entertaining
Bing Crosby	Bing Crosby	male	Spokane	Washington State	USA	right	married		singing middle-of-the-road songs	1956 Ford Thunderbird		sports jacket	Pop music, Love songs	music, singing							Singer, Actor, Crooner	stiff, uncool	entertaining, tuneful, affable, smooth
Bob Dylan	Bob Dylan	male	Duluth	Minnesota	USA	left			singing protest songs,	Mary's New Car	tambourine, croaky voice	scruffy jeans	Folk music, Protest songs	music, singing				Subterranean Homesick Blues	Traveling Wilburys		Singer, Composer, Campaigner, Guitarist	preachy, scruffy, selfrighteous, screechy, nasal, whiny, croaky	soulful, tuneful, caring, philosophical, lyrical, eloquent
Leonard Cohen	Leonard Cohen	male	Westmount, Montreal	Quebec	Canada	left	single		singing melancholy songs, 	little green MG sportscar	croaky voice	Famous Blue Raincoat	Love songs	music, singing, poetry				Bird On The Wire, Suzanne			Singer, Composer	croaky, depressing, depressive, raspy	soulful, tuneful, philosophical, lyrical, poetic, witty
Bob Marley	Bob Marley	male	Kingston	Jamaica	Carribean	left			smoking herb, singing reggae songs	BMW Bavaria	incendiary joss sticks	dreadlocks	Reggae music, Pop Music, Carribean music	music, singing				Buffalo Soldier	The Wailers		Reggae Singer, Singer	militant, dope-addled	funky, soulful, tuneful, 
Boba Fett	Boba Fett	male	Sarlaac Pit		Tatooine	right, libertarian	single	Han Solo, Luke Skywalker	collecting bounties on runaways, tracking down fugitives	Slave I	harpoon gun	cool helmet	Star Wars	science fiction	fictional	Jason Wingreen	George Lucas			The Empire Strikes Back, Return of the Jedi	Bounty Hunter, Villain	cold, calculating, greedy, uncaring, mercenary	brave, intrepid, cool, capable, devious
Bobby Fischer	Bobby Fischer	male	Chicago	Illinois	USA	right	single	Boris Spassky	playing aggressive chess		queen's gambit		Chess	sport							Chess Player	kooky, racist, unstable, eccentric	clever, intelligent, strategic
Bono	Bono Hewson	male	Howth	Dublin	Ireland	left	married	Paul Theroux, Chris Martin, Sean Diddy Combs	singing rock songs, avoiding taxes, preaching to presidents	Actung Baby Trabant, U2 Spy Plane	iTunes malware	fake snakeskin trousers	Rock music, 	music, singing				With Or Without You, The Sweetest Thing	U2		Rock Singer, Musician, Campaigner	santimonious, holier-than-thou, preachy, short, stumpy, narcissistic	socially-conscious, energetic, talented, entertaining, lyrical, tuneful, melodious
Brad Pitt	Brad Pitt	male	Beverly Hills, Hollywood	California	USA	left	married to Angelina Jolie		starring in Hollywood movies, 	Prius	washboard abs, zombie antibodies	Levi's jeans	Acting, Hollywood	movies					Ocean's 11		Actor	shallow	handsome, chiseled, charismatic
Brian Wilson	Brian Wilson	male	Inglewood	California	USA				waxing a surfboard, singing multipart harmonies	surfboard	multipart harmonies		Pop music, Love songs, the Beach Boys	music, singing				Pet Sounds	The Beach Boys		Singer, Composer, Musician	kooky, eccentric, troubled	tuneful,
Bridget Jones	Bridget Jones	female	Bedale Street	London	UK	left	single	Daniel Cleaver	keeping a diary, moaning about men	London taxicab	bad cooking, self-pity, sharp-edged bookmark	size 16 dress	British culture	culture	fictional	Renée Zellweger	Helen Fielding			The Diary of Bridget Jones	Diarist, Reporter	shallow, annoying, irritating, narcissistic	bouncy, sincere, 
Britney Spears	Britney Spears	female	McComb	Mississippi	USA		divorced		flirting with rednecks, having meltdowns in public	Mercedes-Benz G55	false nails	cut-off jeans	Pop music, Tweeny music	music, singing				Baby One More Time	The Mickey Mouse Club		Pop Singer, Singer, Has-Been	tacky, wacky, sleazy, burnt-out	pretty, energetic, sultry
Bruce Lee	Bruce Lee	male	Chinatown	California	USA		married		performing kung-fu moves, starring in kung-fu movies	Black Beauty	1-inch punch, throat punch, Kung Fu	Kung-fu pyjamas, Chinese pyjamas	Martial Arts, Kung Fu	sport, movies				Mixed Martial Arts	The Shaolin Temple		Actor, Martial Artist	wooden, unconvincing	agile, graceful, balletic, skillful, muscular
Bruce Springsteen	Bruce Springsteen	male	Freehold	New Jersey	USA	left	married		singing rock songs	pickup truck	razor-edged plectrum, 	old jeans	Rock music, 	music, singing				Born in the USA	The E Street Band		Singer, Composer, Rock Singer	loud, angry, preachy	authentic, impassioned, fervent, impassioned
Bruce Wayne	Bruce Wayne	male	Wayne Mansion	Gotham City	USA	right	single	The Joker	attending cocktail parties, running a multinational corporation, maintaining a secret identity	Lamborghini Aventador	trust fund,  giant silver spoon	sharp suit	DC Comics, Big business, Gotham City	movies, comics, business	fictional	Michael Keaton, Val Kilmer, Adam West, Christian Bale, Ben Affleck, George Clooney	Bob Kane	Batman	The Wayne Foundation	Batman Begins, The Dark Knight, The Dark Knight Rises, DC Comics	Billionaire, Philanthropist, Orphan	troubled, lonely, hedonistic, womanizing, decadent, pampered, secretive 	rich, suave, handsome, powerful, dashing, charming, debonair, privileged
Commissioner James Gordon	James Gordon	male	Gotham Central	Gotham City	USA	right	married to Barbara Gordon	The Joker, Carmine Falcone, Harvey Dent	pursuing criminals, apprehending criminals, arresting criminals 	police cruiser	SIG-Sauer P226	rumpled trenchcoat	DC Comics,  Gotham City	movies, comics, law	fictional	Gary Oldman	Bob Kane		Gotham Police Department	Batman Begins, The Dark Knight, The Dark Knight Rises, DC Comics	Policeman, Cop, Police Commissioner	gruff, stern, self-righteous, moralistic, obsessive	committed, decent, honest, incorruptible, indomitable, upright
Harvey Dent	Harvey Dent	male	Gotham Courthouse	Gotham City	USA	right	divorced from Gilda Dent	Batman, Sal Moroni, Carmine Falcone	convicting criminals, tempting fate, tossing coins	custom dentmobile	sulphuric acid	half-and-half suit	DC Comics,  Gotham City	movies, comics, law	fictional	Aaron Eckhart	Bob Kane		Gotham Police Department	Batman Begins, The Dark Knight, The Dark Knight Rises, DC Comics	Lawyer, Prosecutor, District Attorney	twisted, vengeful, schizophrenic, disfigured, bipolar, demented, obsessive, compulsive, paranoid, unhinged	cunning, clean-cut, dedicated, ambitious , driven
Batman	Bruce Wayne	male	The Batcave	Gotham City	USA	right	dating Catwoman, dating Vicki Vale	The Joker, Catwoman	tracking down criminals, preventing crime, solving crimes, punishing criminals, solving crimes, pursuing criminals, tricking criminals, maintaining a secret identity	Batmobile	batarang, gas pellets, 	Batman costume, black cape	DC Comics, Gotham City	comics, movies	fictional	Michael Keaton, Val Kilmer, Adam West, Christian Bale, Ben Affleck	Bob Kane	The Batcave	The Super Friends, The Justice Society	Batman Begins, The Dark Knight, The Dark Knight Rises, DC Comics	Hero, Superhero	vengeful, secretive, punitive, po-faced, stern	justice-minded, brave, bold, dashing, crusading, agile, nimble, strong, resourceful
Catwoman	Selina Kyle	female		Gotham City	USA	right	dating Batman	The Joker, Batman	stealing jewels, defending the weak	Jaguar 1.5 E Type	retractable claws	black leather bodysuit	DC Comics, Gotham City	comics, movies	fictional	Michelle Pfeiffer, Halle Berry, Eartha Kitt, Julie Newmar	Bob Kane			The Dark Knight Rises, DC Comics	Hero, Superhero, Thief	thieving, looting, plundering, sneaky, furtive, incorrigible, outside-the-law	beautiful, curvacious, sexy, seductive, agile, nimble, resourceful
Buck Rogers	Buck Rogers	male					single		surviving in the 25th century	space battle cruiser	ray gun	spacesuit	Space Operas	science fiction	fictional	Gil Gerard	Philip Francis Nowlan			Buck Rogers in the 25th Century	Astronaut, Hero	gung-ho, old-fashioned	dashing, brave, intrepid, daring
Buddha	Buddha	male	Kapilavastu	Nepal	Indian Sub-continent	left	single		promoting Buddhism	sedan chair	belly push, belly flop	loin cloth	Eastern religion, Eastern philosophy	religion, philosophy		Keanu Reeves		Buddhism	Buddhism		Religious Leader, Philosopher	fat, obese, preachy	philosophical, insightful, meditative, inspiring
Buzz Aldrin	Buzz Aldrin	male	Montclair	New Jersey	USA		married		piloting the lunar module, collecting rock samples, piloting a spaceship, staring at the moon	Apollo 11 Moon Lander	gas gun	spacesuit	NASA, Space flight, the Moon	aeronautics					Apollo 11		Astronaut, Pilot	disappointed, pushy	dashing, intelligent, eloquent, brave
Buzz Lightyear	Buzz Lightyear	male	Andy's Room	Everytown	USA		single		falling gracefully	spaceship-shaped box	pop gun	spacesuit	Pixar, Toy Story	cartoons, movies	fictional	Tim Allen	John Lasseter		The Toy Box	Toy Story	Astronaut, Hero	cocky, egotistical, narcissistic, gung-ho	dashing, brave, pluckly, heroic, daring, intrepid
Emperor Caligula	Caligula	male	Capitoline Hill	Rome	Italy	right	single		terrorizing citizens, abusing power, 	sedan chair	short sword, poison	toga	the Roman Empire, Ancient Rome	history, politics		Malcolm McDowell			The Roman Empire		Emperor, Tyrant	evil, cruel, ruthless, tyrannical, sadistic, perverse, narcissistic, self-deifying, perverted	mischievous, playful, eccentric, extravagant
Cameron Diaz	Cameron Diaz	female	Beverly Hills, Hollywood	California	USA		single		starring in romantic comedies		pepper spray	little black dress	Acting, Comedy	movies							Actress	bland, unconvincing	beautiful, pretty, sexy
Captain Ahab	Jonas Ahab	male	Lenox	Massachusetts	USA		single	The White Whale	chasing a great white whale, commanding a whaling ship	 Nantucket whaleship "Pequod"	harpoon gun		Moby Dick, Whaling	literature	fictional	Gregory Peck	Herman Melville		The Pequod	Moby Dick	Captain, Obsessive	obsessive, overzealous	driven, committed, passionate, determined
Cardinal Richelieu	Armand Richelieu	male	Palais Cardinale	Paris	France	right	single		plotting strategies, directing the business of state	sedan chair	hidden dagger	red soutane	French history, French politics, pre-Revolutionary France	history, politics		Raymond Massey					Religious Leader, Politician	ruthless, cynical, manipulative, controlling	powerful, masterful, farseeing, strategic, cunning
Carl Lewis	Carl Lewis	male	Birmingham	Alabama	USA			Ben Johnson	winning gold medals, competing in athletic events		sharpened cleats	running shoes, running shorts	Athletics, the Olympics	sport							Athlete, Olympian	egotistical, driven, ambitious, preening	fast, graceful, agile
Carl Sagan	Carl Sagan	male	Brooklyn	New York City	USA			Edward Teller	studying the cosmos	Porsche 914	big words, cosmic rays	tweed jacket, leather elbow patches	Astronomy, the Cosmos	science, television				Cosmos			Astronomer, TV Host	humorless, preachy	insightful, eloquent, passionate, clever, widely-read, influential, passionate
