Dessert	Ingredients
Rock cakes	butter, milk, sugar, eggs, raisins
Rocky road	chocolate, golden syrup, cocoa powder, mini marshmallows, biscuit crumbs
Rum baba	eggs, butter, rum, heavy cream, vanilla essence
Rum cake	rum, eggs, flour, butter, chopped walnuts
Sachertorte	apricot jam, chocolate, ground almonds, flour, vanilla essence
Sesame seed cake	sesame seeds, sugar, eggs, flour
Shoofly pie	brown sugar, molasses, lard, flour, vanilla essence, butter
Simnel cake	cherries, butter, brown sugar, sultanas, orange zest, marzipan, apricot jam
Snickers cake	peanuts, marshmallow fluff, peanut butter, condensed milk, heavy cream
Spice cake	ground ginger, ground cloves, cinnamon, flour, eggs, milk, butter
Sponge cake	milk, eggs, flour, sugar, vanilla essence
Stollen cake	ground nutmeg, ground cloves, marzipan, raisins, flour, butter
Strawberry cheesecake	strawberries, cream cheese, biscuit crumbs, heavy cream
Strawberry shortcake	strawberries, sugar, flour, butter
Streuselkuchen	chopped walnuts, cinnamon, ground cloves, butter, cornstarch
Swiss roll	flour, eggs, butter, heavy cream, chocolate
Tarta de Santiago	almonds, eggs, milk, sugar, flour, lemon zest, orange zest
Tarte Tatin	apples, butter, egg yolks, flour
Tartufo	heavy cream, chocolate cookie crumbs, cherries, chocolate
Chocolate marshmallow tea cakes	dark chocolate, egg whites, biscuit crumbs, golden syrup
Tea loaf	sultanas, brown sugar, orange juice, hot tea, flour, butter
Tin roof pie	corn flakes, golden syrup, peanuts, ice cream
Tipsy cake	cornstarch, egg yolks, heavy cream, brandy, flour
Tiramisu	Marsala wine, mascarpone cheese, dark chocolate, cocoa powder, coffee powder, sponge fingers
Torta caprese	dark chocolate, almond essence, ground hazelnuts, ground almonds, liquore strega
Torta de nata	hot milk, sugar, eggs
Treacle tart	golden syrup, lemon zest, butter, flour
Tres leches cake	whipped cream, condensed milk, milk, vanilla essence, flour
Pineapple upside-down cake	pineapple rings, brown sugar, vanilla essence, eggs, flour
Vanilla cupcakes	butter, icing sugar, vanilla essence, buttercream, flour, eggs
Apple Strudel	puff pastry, apples, cinnamon, orange zest, nutmeg, sultanas, breadcrumbs
Vinegar pie	egg yolks, egg whites, lemon juice, vinegar, flour, butter
Vanilla wafer cake	shredded coconut, flour, milk, eggs, sugar, chopped pecans, vanilla essence
Walnut cake	walnut halves, eggs, butter, flour, sugar, chopped walnuts, vanilla essence, icing sugar
White sugar sponge cake	rice flour, white sugar, baker's yeast
Yule log	egg yolks, egg whites, cocoa powder, vanilla essence, chocolate
Zabaione	egg yolks, Marsala wine, white sugar
Mille feuille vanilla cake	puff pastry, egg yolks, vanilla essence, cream, icing sugar
Raspberry mille-feuille	raspberries, puff pastry, egg yolks, cream, icing sugar
