Label	Subject	Verbs	Object
lawman:criminal	Lawman	arrest, apprehend, chase, pursue, grow_suspicious_of	Criminal
lawyer:criminal	Lawyer	are_paid_by, defend, work_for, represent, are_hired_by	Criminal
lawyer:detective	Lawyer	work_with	Detective
lawyer:judge	Lawyer	argue_before	Judge
lawyer:prisoner	Lawyer	are_paid_by, defend, work_for, represent, are_hired_by	Prisoner
lawyer:psychiatrist	Lawyer	consult_with, are_diagnosed_by, are_treated_by, confide_in	Psychiatrist
lawyer:prosecutor	Lawyer	fight, negotiate_with, argue_with	Prosecutor
leader:counsellor	Political Leader	are_served_by, are_advised_by, appoint	Counsellor
leader:minder	Political Leader	are_protected_by, are_followed_by	Child Minder
leader:propagandist	Political Leader	hire, appoint, communicate_via, speak_via, talk_through, are_popularized_by, are_misrepresented_by	Propagandist
maiden:lady	Maiden	serve, wait_on, cater_to, attend_to	Lady
maiden:princess	Maiden	serve, wait_on, cater_to, attend_to	Princess
maiden:queen	Maiden	serve, wait_on, cater_to, attend_to	Queen
manager:assistant	Fund Manager	manage, are_served_by, are_assisted_by	Assistant
mastermind:lackey	Mastermind	reward, are_obeyed_by, are_served_by, exploit, recruit	Lackey
mastermind:terrorist	Mastermind	control, lead, recruit	Terrorist
mastermind:toady	Mastermind	reward, are_obeyed_by, are_served_by, exploit, recruit	Toady
mentor:intern	Mentor	coach, advise, supervise, guide, mentor	Intern
mentor:scholar	Mentor	coach, advise, supervise, guide, mentor	Scholar
mentor:student	Mentor	coach, advise, supervise, guide, mentor	Student
mercenary:rebel	Mercenary	are_dismissed_by, kill_for, work_for, serve, fight_for, are_hired_by	Rebel
prophet:skeptic	Prophet	inspire, convert, persuade, impress	Skeptic
messiah:apostle	Messiah	save, are_supported_by, teach, lead, inspire, impress	Apostle
minder:child	Child Minder	supervise	Child
minder:leader	Child Minder	protect, guard, follow, accompany	Political Leader
minder:minister	Child Minder	protect, guard, follow, accompany	Prime Minister
minder:politician	Child Minder	protect, guard, follow, accompany	Politician
minder:president	Child Minder	protect, guard, follow, accompany	President
minder:star	Child Minder	protect, guard, follow, accompany	Action Star
minister:emperor	Prime Minister	are_dismissed_by, serve, work_for, are_appointed_by	Emperor
minister:king	Prime Minister	are_dismissed_by, serve, work_for, are_appointed_by	King
minister:minder	Prime Minister	are_protected_by	Child Minder
minister:president	Prime Minister	are_dismissed_by, serve, work_for, are_appointed_by	President
minister:prince	Prime Minister	are_dismissed_by, serve, work_for, are_appointed_by	Prince
minister:queen	Prime Minister	are_dismissed_by, serve, work_for, are_appointed_by	Queen
mistress:lover	Mistress	break_up_with, cheat_with, take_up_with	Lover
mistress:husband	Mistress	cheat_on	Husband
model:artist	Fashion Model	are_painted_by, pose_for	Artist
model:designer	Fashion Model	are_fired_by, pose_for, work_for, are_hired_by	Designer
model:fashion designer	Fashion Model	are_fired_by, pose_for, work_for, are_hired_by	Fashion Designer
model:painter	Fashion Model	are_painted_by, pose_for, are_hired_by	Painter
monk:god	Monk	worship, pray_to	God
monster:god	Monster	are_exploited_by, are_manipulated_by	God
monster:madman	Monster	turn_against, are_exploited_by, are_manipulated_by, kill_for, die_for	Madman
monster:mastermind	Monster	turn_against, are_exploited_by, are_manipulated_by, kill_for	Mastermind
monster:necromancer	Monster	turn_against, are_exploited_by, are_manipulated_by, kill_for	Necromancer
monster:slayer	Monster	are_hunted_by, are_killed_by, are_tracked_by	Vampire Slayer
monster:wizard	Monster	turn_against, kill_for, are_exploited_by, are_manipulated_by	Wizard
mother:child	Mother	raise, nurture, give_birth_to, breastfeed	Child
mother:father	Mother	marry, divorce, are_wooed_by	Father
mother:nanny	Mother	hire, are_assisted_by, become_dependent_on, are_undermined_by	Nanny
mother:son	Mother	raise, love, care_for, tend, nurture, give_birth_to	Son
mother:daughter	Mother	raise, love, care_for, tend, nurture, give_birth_to	Daughter
musician:producer	Musician	are_supported_by, hire, perform_with, perform_for	Producer
mutineer:leader	Mutineer	are_suppressed_by, overthrow, resent, rebel_against	Political Leader
mutineer:tyrant	Mutineer	are_suppressed_by, overthrow, resent, rebel_against	Tyrant
nanny:child	Nanny	chastise, care_for, supervise, tend	Child
nanny:mother	Nanny	are_fired_by, report_to, work_for, are_hired_by	Mother
novelist:publisher	Novelist	are_published_by, write_for, sign_with	Publisher
nurse:doctor	Nurse	report_to, are_instructed_by, assist, support	Doctor
ogre:slayer	Ogre	are_hunted_by	Vampire Slayer
painter:model	Painter	paint, hire, pick_up, flirt_with	Fashion Model
pianist:singer	Pianist	play_with, accompany, perform_with	Singer
pirate:slave	Pirate	capture, abduct, kidnap, enslave	Slave
playboy:fashion model	Playboy	marry, date, seduce, woo, pick_up	Fashion Model
poetess:king	Poetess	write_for, propagandize_for	King
poet:king	Poet	write_for, propagandize_for	King
policeman:criminal	Policeman	arrest, chase, pursue, grow_suspicious_of	Criminal
policeman:thug	Policeman	arrest, chase, pursue, are_beaten_by	Thug
policeman:villain	Policeman	arrest, chase, pursue, grow_suspicious_of	Villain
policeman:lawyer	Policeman	answer_to, compete_against, testify_before	Lawyer
policeman:judge	Policeman	answer_to, testify_before	Judge
politician:bureaucrat	Politician	are_hindered_by, are_supported_by, are_assisted_by	Bureaucrat
politician:campaigner	Politician	are_supported_by, are_served_by, hire	Campaigner
politician:economist	Politician	are_advised_by, consult_with, are_served_by, hire	Economist
politician:lackey	Politician	reward, are_obeyed_by, exploit, are_served_by	Lackey
politician:minder	Politician	are_protected_by, hire	Child Minder
politician:propagandist	Politician	hire, appoint	Propagandist
politician:toady	Politician	reward, are_obeyed_by, exploit, are_served_by	Toady
pope:counsellor	Pope	are_advised_by, are_served_by, appoint	Counsellor
pope:heretic	Pope	excommunicate, punish, condemn	Heretic
president:counsellor	President	are_advised_by, consult_with, are_served_by, appoint	Counsellor
president:general	President	are_advised_by, consult_with, are_served_by, appoint	General
president:guard	President	are_guarded_by, are_protected_by, are_served_by	Shooting Guard
president:historian	President	are_studied_by	Historian
president:minder	President	are_protected_by	Child Minder
president:minister	President	are_served_by, appoint	Prime Minister
prince:king	Prince	descend_from	King
prince:minister	Prince	are_served_by, appoint	Prime Minister
prince:princess	Prince	marry	Princess
prince:queen	Prince	descend_from	Queen
princess:king	Princess	are_raised_by, descend_from	King
princess:maiden	Princess	are_supported_by, are_served_by	Maiden
princess:prince	Princess	show_loyalty_to, are_loved_by, marry	Prince
princess:queen	Princess	are_raised_by, descend_from	Queen
principal:student	Principal	supervise, manage	Student
principal:teacher	Principal	are_served_by, supervise, manage	Teacher
prisoner:guard	Prisoner	are_monitored_by, are_supervised_by, are_guarded_by	Shooting Guard
prisoner:lawyer	Prisoner	pay, fire, are_represented_by, hire	Lawyer
producer:musician	Producer	manage, support	Musician
professor:intern	Professor	are_supported_by, supervise, hire	Intern
professor:student	Professor	examine, educate, teach	Student
programmer:program	Programmer	deploy	AI Program
promoter:artist	Promoter	represent, promote, support, hire, shill_for	Artist
promoter:athlete	Promoter	represent, promote, support, hire	Athlete
promoter:boxer	Promoter	represent, promote, support, hire	Boxer
promoter:sportsman	Promoter	represent, promote, support, hire	Sportsman
promoter:star	Promoter	represent, promote, support, hire	Action Star
propagandist:autocrat	Propagandist	propagandize_for, serve, work_for, are_appointed_by, are_hired_by	Autocrat
propagandist:leader	Propagandist	propagandize_for, serve, work_for, are_appointed_by, are_hired_by	Political Leader
propagandist:politician	Propagandist	propagandize_for, serve, work_for, are_appointed_by, are_hired_by	Politician
propagandist:rebel	Propagandist	propagandize_for	Rebel
propagandist:terrorist	Propagandist	propagandize_for	Terrorist
propagandist:skeptic	Propagandist	persuade, appeal_to	Skeptic
prophet:apostle	Prophet	are_supported_by, lead, teach, inspire, impress	Apostle
prosecutor:criminal	Prosecutor	prosecute, charge, condemn	Criminal
prosecutor:detective	Prosecutor	work_with, appoint, become_dependent_upon	Detective
prosecutor:investigator	Prosecutor	work_with, appoint	Paranormal Investigator
prosecutor:district attorney	Prosecutor	answer_to, work_for, are_hired_by	District Attorney
publisher:designer	Publisher	work_with, hire	Designer
publisher:writer	Publisher	sign_up	Writer
queen:counsellor	Queen	are_advised_by, are_served_by, appoint	Counsellor
queen:guard	Queen	are_protected_by, are_guarded_by, are_served_by, appoint	Shooting Guard
queen:knight	Queen	are_defended_by, are_served_by	Jedi Knight
queen:minister	Queen	are_served_by, are_advised_by, appoint	Prime Minister
queen:poet	Queen	are_entertained_by, appoint, commission	Poet
queen:prince	Queen	give_birth_to, breastfeed, nurture, raise	Prince
queen:princess	Queen	raise, give_birth_to	Princess
queen:king	Queen	marry, are_wooed_by, divorce	King
queen:warrior	Queen	are_defended_by, are_served_by	Warrior
queen:wizard	Queen	are_served_by, appoint	Wizard
racist:foreigner	Racist	hate, fear, distrust	Foreigner
reader:writer	News Reader	admire	Writer
rebel:dictator	Rebel	overthrow, fight_against, struggle_against, campaign_against	Dictator
rebel:president	Rebel	overthrow, fight_against, struggle_against, campaign_against	President
rebel:mercenary	Rebel	pay, fight_with, are_supported_by, are_assisted_by, hire	Mercenary
rebel:propagandist	Rebel	work_with, appoint	Propagandist
rebel:conqueror	Rebel	fight	Conqueror
reporter:informant	Reporter	are_supplied_by, listen_to, interview, speak_to, rely_on	Informant
revolutionary:dictator	Revolutionary	overthrow, fight_against, struggle_against, campaign_against	Dictator
revolutionary:president	Revolutionary	overthrow, fight_against, struggle_against, campaign_against	President
revolutionary:mercenary	Revolutionary	pay, fight_with, are_supported_by, are_assisted_by, hire	Mercenary
revolutionary:propagandist	Revolutionary	work_with, appoint	Propagandist
robber:fence	Bank Robber	sell_to	Fence
royal:aristocrat	Royal	marry	Aristocrat
sailor:pirate	Sailor	fight	Pirate
scholar:mentor	Scholar	are_guided_by, are_supervised_by, are_advised_by	Mentor
seductress:man	Seductress	abandon, exploit, seduce	Old Man
serial killer:policeman	Serial Killer	are_profiled_by, are_hunted_by	Policeman
sheriff:detective	Sheriff	work_with	Detective
sidekick:hero	Sidekick	fight_with, assist, support, accompany, are_trained_by, are_recruited_by, accompany, study_under, show_loyalty_to	Hero
sidekick:superhero	Sidekick	fight_with, assist, support, accompany, are_trained_by, are_recruited_by, accompany, study_under, show_loyalty_to, are_underappreciated_by	Superhero
singer:pianist	Singer	are_accompanied_by, sing_with	Pianist
crooner:pianist	Crooner	are_accompanied_by, sing_with	Pianist
slave:boss	Slave	are_freed_by, are_exploited_by, are_abused_by, serve, work_for, are_enslaved_by, show_loyalty_to, are_underappreciated_by, are_overworked_by, are_underpaid_by	Boss
slave:pirate	Slave	are_exploited_by, are_enslaved_by, are_kidnapped_by, are_threatened_by, are_abducted_by, are_overworked_by	Pirate
slayer:demon	Vampire Slayer	kill, hunt, track_down, exorcize	Demon
slayer:monster	Vampire Slayer	kill, hunt, track_down, exorcize	Monster
slayer:ogre	Vampire Slayer	kill, hunt, track_down, exorcize	Ogre
software developer:program	Software Developer	deploy, are_betrayed_by, underestimate	AI Program
software engineer:program	Software Engineer	deploy, are_betrayed_by, underestimate	AI Program
soldier:general	Soldier	are_deployed_by, obey, show_loyalty_to, are_commanded_by, are_led_by	General
soldier:prisoner	Soldier	capture	Prisoner
songwriter:singer	Songwriter	work_with, write_for	Singer
speculator:broker	Speculator	work_with	Broker
spinster:husband	Spinster	find, seek	Husband
sportsman:promoter	Sportsman	are_promoted_by, are_represented_by	Promoter
star:agent	Action Star	fire, hire, find	Secret Agent
star:guru	Action Star	promote, admire, believe_in	Guru
star:impersonator	Action Star	are_imitated_by, are_copied_by	Female Impersonator
star:minder	Action Star	are_protected_by	Child Minder
star:promoter	Action Star	are_promoted_by, are_marketed_by, are_supported_by, hire	Promoter
student:mentor	Student	are_guided_by, are_advised_by, are_supervised_by	Mentor
student:professor	Student	are_graded_by, learn_from, are_instructed_by, are_taught_by, listen_to	Professor
student:teacher	Student	are_graded_by, learn_from, are_instructed_by, are_taught_by, listen_to	Teacher
suitor:lady	Suitor	are_rebuffed_by, woo, pursue, chase	Lady
superhero:sidekick	Superhero	are_supported_by, are_accompanied_by, fight_with, train, recruit, train, coach, mentor	Sidekick
superhero:criminal	Superhero	capture, fight, arrest, fight_against, defeat, grow_suspicious_of	Criminal
swindler:fool	Swindler	profit_from, defraud, deceive, abuse, exploit, identify	Fool
swindler:puppet	Swindler	control, manipulate, abuse, exploit, identify	Puppet
teacher:intern	Teacher	guide, advise, supervise	Intern
teacher:student	Teacher	inspire, evaluate, examine, coach, supervise, mentor, teach, instruct	Student
terrorist:radical	Terrorist	turn_against, kill_for, fight_for, are_radicalized_by, are_indoctrinated_by	Radical
terrorist:mastermind	Terrorist	report_to, are_controlled_by, are_led_by	Mastermind
terrorist:propagandist	Terrorist	hire, appoint	Propagandist
thief:fence	Thief	sell_to, supply_to	Fence
thug:bully	Thug	betray, turn_against, are_punished_by, are_victimized_by, are_rewarded_by, kill_for, work_for, are_recruited_by	Bully
thug:despot	Thug	betray, turn_against, are_punished_by, are_rewarded_by, kill_for, work_for, are_recruited_by	Despot
thug:dictator	Thug	betray, turn_against, are_punished_by, are_rewarded_by, kill_for, work_for, are_recruited_by	Dictator
thug:leader	Thug	betray, turn_against, are_punished_by, are_rewarded_by, kill_for, work_for, are_recruited_by	Political Leader
thug:politician	Thug	betray, turn_against, are_punished_by, are_rewarded_by, kill_for, work_for, are_recruited_by	Politician
thug:tyrant	Thug	betray, turn_against, are_punished_by, are_rewarded_by, kill_for, work_for, are_recruited_by	Tyrant
toady:boss	Toady	obey, support, serve, flatter, kiss_up_to, lick_up_to	Boss
toady:capitalist	Toady	obey, support, serve, flatter, kiss_up_to, lick_up_to	Capitalist
toady:despot	Toady	obey, support, serve, flatter, kiss_up_to, lick_up_to	Despot
toady:mastermind	Toady	obey, support, serve, flatter, kiss_up_to, lick_up_to	Mastermind
toady:politician	Toady	obey, support, serve, flatter, kiss_up_to, lick_up_to	Politician
toady:tyrant	Toady	obey, support, serve, flatter, kiss_up_to, lick_up_to	Tyrant
traitor:friend	Traitor	betray, turn_against	Friend
tyrant:general	Tyrant	are_served_by, command, appoint	General
tyrant:toady	Tyrant	are_obeyed_by, command, are_supported_by, are_served_by, encourage	Toady
tyrant:rebel	Tyrant	are_toppled_by, are_deposed_by, repress, suppress	Rebel
vampire:vampire	Vampire	devour, are_bitten_by, are_devoured_by, exorcize	Vampire
vigilante:criminal	Vigilante	punish, hunt, grow_suspicious_of, cause_trouble_for, lay_a_trap_for	Criminal
vigilante:policeman	Vigilante	compete_against, act_for, are_disillusioned_by	Policeman
villain:hero	Villain	struggle_against, fight, fight_against, compete_against	Hero
warrior:general	Warrior	are_deployed_by, obey, show_loyalty_to, are_commanded_by, are_led_by	General
warrior:prisoner	Warrior	capture	Prisoner
warrior:emperor	Warrior	serve, fight_for	Emperor
widow:husband	Widow	mourn_for	Husband
wife:husband	Wife	divorce, love, marry	Husband
wizard:monster	Wizard	unleash	Monster
wizard:king	Wizard	advise, work_for, are_appointed_by	King
writer:publisher	Writer	are_published_by, write_for	Publisher
writer:reader	Writer	are_read_by, attract	News Reader
president:assassin	President	are_assassinated_by, are_killed_by, forgive	Assassin
political leader:assassin	Political Leader	are_assassinated_by, are_killed_by, forgive	Assassin
assassin:president	Assassin	kill, assassinate, are_arrested_for_killing, murder, target	President
assassin:political leader	Assassin	kill, assassinate, are_arrested_for_killing, murder, target	Political Leader
economist:philosopher	Economist	read_the_works_of, study_under, disagree_with, debate_with	Philosopher
economist:intellectual	Economist	read_the_works_of, study_under, disagree_with, debate_with	Intellectual
economist:campaigner	Economist	lecture_to, condescend_to, preach_to, educate	Campaigner
economist:communist	Economist	withhold_payment_from, disagree_with, debate_with are_resisted_by	Communist
actor:maniac	Actor	fear, are_intimidated_by, are_threatened_by, are_mistaken_for	Maniac
