Root	Antonym
lordly	wretched, lowly, humble, destitute, inferior, impoverished
warty	beautiful
cloudy	sunny, clear
incoherent	lucid, focused, orderly, logical, united, determined, coherent, unified, consistent, cohesive
frightened	indomitable, valiant, undaunted, daring, fearless, courageous, bold, powerful, crusading
anointed	impure, unholy, profane, cursed, outcast
unsystematic	systematic
measured	unmeasured
indistinct	resonant, recognizable, individual, distinct
whacky	grave
feckless	responsible
easily-satisfied	ravenous
complacent	protected, besieged, anxious, paranoid, defensive, camouflaged
fluent	dyslexic, inarticulate
uncomplimentary	flattering
hideous	beautiful, handsome, attractive
cunning	naive, guileless
soporific	dazzling, enervating
knowing	perplexed
secondary	primary
colourless	vivid, colorful, colourful
frail	overpowering, fearsome, rugged, robust, reinforced, armored, mighty, dreaded, fortified, threatening, strong, husky
gaudy	chic, sombre, somber, elegant
wimpy	strong, brawny
pro-choice	prolife
artistic	crass
perky	droopy, lethargic, sluggish
equivalent	unequal
earthly	heavenly
shabby	swanky, sartorial, dapper, tidy, sophisticated
intuitive	blind
structured	unstructured
gifted	untalented, talentless
legible	illegible
just	unjust, inequitable, unfair
registered	unregistered
laughable	grave, dignified, serious
authentic	imitative, fake, phony
suave	clumsy, childish, unsophisticated
standing	sitting
addictive	bland
asymmetrical	symmetric, symmetrical
honest	deceptive, corrupt, dishonorable, duplicitous, dishonest, untruthful, shifty, sneaky, conniving
affirming	negative
kosher	invalid
criminal	decriminalized
decriminalized	criminal, illegal, proscribed, transgressing
proscribed	decriminalized, legal
mousy	aggressive
sunny	cloudy
inauspicious	auspicious, promising
underachieving	accomplished
grudging	extravagant, generous
organized	unorganized, disorganised, unorganised, chaotic, messy, disordered, disorganized
leaky	tight, gastight, watertight, airtight
oppressed	unconstrained, carefree, unrestrained, free
nurturing	lethal
devoted	self_serving, indifferent, narcissistic, selfish, faithless, inconsiderate, venal, skeptical
stressful	leisurely, relaxing
finegrained	coarse_grained
corrosive	harmless
heartless	caring, softhearted
disgusting	yummy, savory, worthy, delectable, palatable, handsome, majestic, sexy, tasty, delicious, magnificent, cute, picturesque
punishing	rewarding
touchy	insensitive
sound	unsound
hitech	lowtech
glib	laconic
peripheral	basic, central
leisurely	stressful, authoritarian
unprovocative	provocative
insulting	dignified, flattering
inaudible	audible
onstage	offstage
sincere	ignoble, insincere
groovy	unfashionable
homey	uncomfortable
pricey	inexpensive
frightening	inviting
icy	warm
weird	normal
oldfashioned	modern
distressed	merry, euphoric, happy, joyful
imaginative	unimaginative, hackneyed
hoarse	mellifluous
topsyturvy	orderly
directionless	focussed
eccentric	conservative
unrelenting	casual
fleeing	attacking, rampaging
uncivil	polite
arrogant	selfeffacing, obsequious, meek, modest, self-effacing, humble, magnanimous, unassuming, respectful, docile, bashful, gracious, submissive, obedient
diffuse	focused, concentrated, hard, focussed
aidback	authoritarian
possessed	dispossessed
questionable	unquestionable
prolific	barren, unproductive
crestfallen	optimistic
virulent	benign
noticed	unnoticed
bothersome	relaxing
moody	happy, even-tempered
swanky	shabby
appetizing	unappetising, unappetizing
reliant	independent
pious	faithless, impious
sagacious	ignorant
adulterating	purifying
uncouth	courtly, genial, chivalrous, sophisticated, cultured
horizontal	vertical, perpendicular, inclined, sheer
unedifying	enlightening, edifying
depressive	lighthearted
corporate	communist
tropical	cold
nonresidential	residential
concise	prolix, convoluted
dicey	certain
deceptive	honorable, honest
worldly	unworldly
dilute	concentrated, undiluted
impossible	possible
unwelcoming	salubrious
thankless	grateful
wideopen	closed
dismissive	congratulatory, open_minded
elected	unelected
inevitable	avertible, avoidable
spotted	clear-skinned
trenchant	uninformative
incommodious	commodious, convenient
trim	fat
sober	pissed, stoned, intoxicated, groggy, drunk, inebriated, playful
adjustable	fixed
dour	joyous
meek	arrogant, cowardly, prestigious, haughty, defiant, assertive, daring, gruff, fierce, lofty, bold, powerful, commanding, menacing
susceptible	invulnerable, insusceptible
clandestine	public
unable	able
bottomless	shallow
forceful	mild-mannered, weak
remorseful	remorseless
law_abiding	felonious
flaccid	strong, stiff, erect
unhappy	euphoric, glad, content, happy, contented, joyful, delighted, fortunate
manly	feminine, unmanlike, girlish, unmanly
concealing	revealing
enduring	temporary
overpowering	frail, charming, underwhelming, delicate, outnumbered, empty-handed, demure, powerless, weak, vulnerable, defenseless
distinguished	undistinguished
obligatory	optional
non-contagious	contagious
protected	unprotected, complacent, unguarded, insecure, vulnerable, defenseless
impure	anointed, kingly, titled, clean, demure, noble, pure
goofy	serious
pokerfaced	expressive
thunderous	peaceful, calm
old	young, new, immature
undernourished	muscular
clarion	mute
ill-defined	clear
squishy	solid, hard
unfunny	comical, humorous, funny, amusing
piercing	blunt
chic	gaudy
unimaginative	imaginative, creative, dashing
disobedient	dutiful, obedient
steely	fragile
honored	reviled, lowly, ignominious, disgraced, unpopular, dishonored, despised, contemptible, unwanted, hated, outcast
unsurprising	shocking, surprising, startling
gooey	solid
short-lived	perennial
disposable	irreplaceable, everlasting, indispensable
tremendous	insignificant
unaware	aware
wretched	lordly, rich, privileged, majestic, wealthy, magnificent
craggy	smooth
maternal	uncaring
staunch	weak
eagle_eyed	crosseyed
petite	huge
self_serving	devoted
unhallowed	consecrated, holy
serene	disruptive, devastating, aggressive
scorching	cold
damned	consecrated, holy, beloved
extravagant	grudging, miserly, thrifty, penny-pinching, poor, cheap
perceptive	unseeing, unperceptive
sinewy	flabby
dominating	deposed, dethroned, toppled
turbulent	calm
certain	dicey, tenuous
slight	substantial, unstoppable
charming	charmless, overpowering, tiresome, obnoxious, rude, threatening, violent, insensitive, noxious, annoying, boorish, crass
underwhelming	overpowering, overbearing, overwhelming
amoral	moral
unholy	anointed, consecrated, holy
brisk	slow
premeditated	spontaneous, random, unplanned, reflexive
crippling	insignificant
impartial	partisan, prejudiced, political, brainwashed, discriminating, discriminatory, unfair
lackluster	magnificent
balmy	devastating, cold
negative	affirming, positive, affirmative
peculiar	undistinguished
respectable	unrespectable, disreputable
unabashed	abashed
perfumed	stagnant, rank, noxious
popular	lonely, unpopular, lonesome, alienated
mean	caring, worthy, generous
sandy	concrete
timid	raucous, bold
vague	definite, detailed, defined, definitive, specified, specific, welldefined
stranded	saved
rapid	slow
incapable	capable
fastidious	sloppy, untidy
spiky	smooth
nervewracking	enjoyable
glad	unhappy, melancholy, sad
nosey	indifferent
horrible	handsome
wrong	correct, right
rough-hewn	cleancut
beakless	beaked
visual	verbal
pissed	sober
square	round, circular, rounded
hightech	lowtech, primitive
fetching	unattractive
junky	nourishing
green	ripe, dreaded, mature
anachronistic	modern, stylish
gullible	untrusting, skeptical, incredulous
unmarked	marked
dictatorial	democratic
quantitative	qualitative
metallic	nonmetallic
unremarkable	remarkable, eminent, pronounced, noticeable, tumultuous, alarming, grand, majestic, emphatic, provocative, fascinating, famous, evocative, notable
manual	automatic
antsy	relaxed
kind	unkind, brutal, vicious, cruel
seedy	respected, seedless
teetotal	alcoholic
harsh	tender, fine, gay, soft, gentle, mellow
unqualified	qualified, respected
bristly	smooth
fearsome	frail, domesticated, harmless, unthreatening, friendly, docile, contemptible, cuddly, cute
demoralized	conquering, vigorous, enthusiastic, energetic, winning, motivated
considerate	overbearing, mindless, inconsiderate, unthinking
refined	coarse, gritty, unrefined, crude
nonabsorbent	absorbent
intricate	basic, simple
ignorant	sagacious, authoritative, knowledgeable, insightful, kingly, titled, poised, noble, erudite, wise, cultured, allknowing
untanned	tanned
unorganised	organized
constrictive	spacious
explicable	inexplicable, incomprehensible
fertile	sterile, barren, infertile
adored	reviled, lowly, ignominious, disgraced, unpopular, despised, contemptible, unwanted, hated, outcast
wispy	dense
unmusical	melodious, musical, melodic
inaccurate	accurate
miserly	extravagant, generous
forthright	withdrawn, camouflaged
poetical	prosaic
impervious	porous, vulnerable
tightlipped	conversational, talkative, effusive
democratic	dictatorial, tyrannical, autocratic, undemocratic
bracing	gentle
depressing	uplifting, fortunate
choppy	smooth
earthbound	flying
inglorious	glorious
forgetful	aware, mindful, recollective, retentive
singleminded	unfocussed
cowering	defiant, assertive, daring, gruff, fierce, bold, commanding
evanescent	dull
limitless	limited
positive	negative
bulky	portable, svelte
lowly	lordly, honored, adored, celebrated, regal, prestigious, venerated, exalted, kingly, revered, imperious, august, grand, noble, lofty, deified, royal, magnificent
sharp	toothless, dull, blunt, fuzzy
controversial	uncontroversial, boring, mundane, accepted
brilliant	dull, colorless
done	unfinished
undramatic	dramatic
blameless	guilty
variable	steady, unchanging
divergent	convergent
corrupt	honorable, honest, worthy, godly, pure
coarse_grained	finegrained
incompressible	compressible
overworked	pampered, spoiled
contaminating	cleansing, purifying
nonreflective	reflective
fat-free	fatty, fat
briny	bland
fixed	adjustable, removable, moving, changing
welcoming	xenophobic, forbidding, dank, stifling, uninviting, camouflaged
felonious	law_abiding
chesty	flat-chested
barren	prolific, fertile, fruitful, lush, sumptuous, woody, plentiful, verdant
methodical	disorganized
wavy	smooth
softcore	hardcore
pale	tanned, colorful, burnt, tawny, swarthy, reddened, tan, crimson, scarlet, red, reddish
clumsy	skilful, suave, stealthy, skilled, dainty, graceful, poised, skillful, deft, handy, adept, dexterous, adroit
grim	gay, handsome, pleasant
delicate	overpowering, hardy, rugged, robust, hard, brutish, hardened
piquant	bland
striking	banal, mundane
dreary	dashing, joyful
ramshackle	organised
uncomfortable	merry, homey, heated, happy, luxurious, plush, luxuriant, comfy, comfortable, cozy, cosy
partisan	impartial, united, unbiased, neutral
unoccupied	occupied
creative	unimaginative, uncreative
planned	random, unplanned
great	insignificant, meaningless, trivial, minor, inconsequential, helpless, harmless, mediocre, tiny, pathetic, irrelevant, silly, powerless, trifling, weak, terrible, worthless, frivolous, mundane, small, unimportant, uninteresting, puny
overbearing	underwhelming, considerate, unintrusive, undemanding, thoughtful, diplomatic
unrigged	rigged
odd	commonplace
lifeless	frisky, relentless, electric, vigorous, fresh, rambunctious, spunky, dashing, lively, alive, vibrant, spirited, exuberant, vivacious
plebeian	patrician
sharpsighted	blind
meditative	unthinking
precise	imprecise
denounced	blessed, admired, respected
blessed	unfortunate, cursed, denounced
unadaptable	adaptable
continual	sporadic
contaminated	clean
lasting	temporary, impermanent
cumbersome	portable, handy
variegated	homogeneous
theatrical	unscripted
childish	urbane, suave, adult, sophisticated, wise, mature
xenophobic	welcoming
proletariat	aristocratic
indecipherable	obvious
historical	passe
crazed	sane
formidable	insignificant, trivial, helpless, harmless, pathetic, powerless, contemptible, worthless
inseparable	disjoint
outdated	modern, fashionable, current
jarring	soothing
extensive	limited
gloomy	merry, dandy, rosy, happy, jolly, contented, joyful, delighted
undedicated	dedicated
big	little, small
rowdy	wellbehaved, placid
grammatical	ungrammatical
flaky	pristine
genteel	brutish, crass
promiscuous	celibate, chaste
working	useless
stylised	convoluted
insolent	biddable
untroubled	insecure, troubled
tardy	punctual, prompt
tolerable	unbearable
pointed	pointless
brown	colorless
incessant	infrequent
uninhibited	inhibited
spontaneous	premeditated, staged, ritualistic, versed
humourous	humorless, humourless
legitimate	legitimate, illegitimate
watchful	unobservant
disadvantaged	rich
unfeminine	womanly
tasteless	spicy, fruity, poised, dignified, tasteful, tasty
discontinuous	uninterrupted, continuous, lineal
forbidding	welcoming
solvent	bankrupt
gymnastic	stiff
implicit	explicit
upbeat	melancholy, morose, macabre
colorful	uncoloured, colourless, pale, grey, gray, colorless, uncolored, drab
indifferent	devoted, nosey, doting, dedicated, jealous, choosy, committed, hooked, determined, insistent, avid, supportive, tenacious, fanatic, zealous, eager, fascinated, crusading, curious
leggy	short-legged
psychic	blind
jolting	smooth
grey	colorful
wary	unwary
functioning	broken
uninterrupted	discontinuous
stealthy	clumsy, obvious, unsubtle
spicy	tasteless, bland
warm	icy, chill, chilly, frosty, frigid, cool, cold
feminine	manly, burly, masculine, macho, unwomanly
incredible	everyday, credible, mundane, believable
authoritative	ignorant
precious	worthless
clammy	dry
abhorrent	desirable
flakey	smooth
flighty	lethargic
invulnerable	susceptible, besieged, weakened, vulnerable, defenseless
shocking	unsurprising, handsome, boring, banal
airless	airy, windy
advantageous	detrimental, harmful, disadvantageous
spineless	mighty, fighting, strong, upstanding, rampaging, powerful
portable	unwieldy, bulky, cumbersome, immovable, hefty, immoveable, unmovable
mortal	immortal
angry	merry, calm, happy
lethal	nurturing, harmless, lifesustaining
discrete	indiscrete
thrifty	extravagant, unsparing, wasteful
equal	unequal
celebrated	reviled, lowly, ignominious, disgraced, unpopular, despised, contemptible, unwanted, hated, outcast
unknown	renowned, determinate
homosexual	heterosexual
treacherous	honorable, trustworthy
factual	false
dreamy	realistic
impractical	pragmatic, practical
regal	lowly, humble, powerless, undignified, crude, cheap
shaky	steady
incomplete	complete, total, comprehensive
softhearted	heartless, hardheaded
constricting	relaxing
uncompromising	conciliatory, flexible, compromising
ripe	green, unripe, unripened, immature
urgent	unimportant
venomous	friendly
qualified	unqualified
commendable	ignoble
lucky	unfortunate, cursed, unlucky, luckless
peaceful	thunderous, belligerent, hostile, volcanic, pugilistic
joyless	merry, joyous, delightful, festive
advanced	elementary, primitive
organised	ramshackle, undisciplined, chaotic, disorganized
tiresome	charming, enjoyable
reigning	cowed, deposed, subservient, fawning, dethroned, subjugated, servile, toppled, subordinate, submissive, obedient
inexpensive	pricey, costly, expensive
convergent	divergent
eastern	western
temporary	enduring, lasting, permanent, persistent
intriguing	boring
ethereal	substantial
crusty	soft
decrepit	handsome
lightweight	mighty, crushing, dense, heavyweight
dandy	gloomy
self_effacing	selfaggrandizing
relentless	lifeless, toothless, ineffective, purposeless, lazy, feeble, ineffectual, aimless
prophetic	uninformative
stressed	relaxed
various	uniform
guttural	mellifluous
distressing	fortunate
ignominious	honored, adored, celebrated, venerated, revered, august
static	animated, dynamic, wayfaring
sleek	misbegotten, fluffy
inelegant	poised, elegant, handsome
lawful	unlawful
nonreflecting	reflective
unreserved	reserved
pitiable	magisterial, magnificent
dishonorable	honorable, honest, glorious, honourable
camp	masculine, butch
educated	uneducated
muscular	undernourished, skinny, stringy, flabby, gaunt
alert	drowsy, clueless, unalert
inquisitive	inattentive
horrifying	handsome, comforting
unruffled	ruffled
gray	colorful
efficient	unproductive, inefficient
impeccable	disreputable
disgraced	conquering, honored, adored, celebrated, venerated, worshipped, revered, august, winning
unofficial	official
despicable	honorable, prestigious, admirable, worthy, handsome, lofty, beloved
virtuous	ignoble, wicked
arty	artless
hot	freezing, snowy, frozen, cool, cold
mannered	instinctive
burnt	pale
doting	indifferent
unlivable	livable
imprecise	precise, exact
inflexible	flexible
calm	thunderous, turbulent, angry, disturbed, worried, furious, agitated, breathless, livid, stormy, volcanic, raging, devastating, jittery, incendiary, anxious, skittish
unintrusive	overbearing, intrusive, invasive
lucid	incoherent
systematic	unsystematic, disorganized
vegetarian	bloodthirsty, carnivorous
stagnant	perfumed, aromatic, fresh, fragrant, pure
brief	lengthy
incongruous	meaningful, sensible
minuscule	huge
removable	fixed
shallow	bottomless, penetrating, deep
extreme	bland
constrained	unconstrained, emancipated, liberated
toothless	sharp, relentless, toothed
unfinished	done
involved	uninvolved
sparing	unsparing, spendthrift
unforgettable	forgettable
rotten	peachy, fresh, worthy
bloodless	bloody
adaptable	unadaptable, stubborn
prepared	unprepared
skilled	clumsy, unskilled, incompetent
burly	feminine, skinny, puny
uncommunicative	talkative, communicative
continuous	discontinuous
legal	illegal, unlawful
unsociable	gregarious, sociable
mischievous	well-behaved
unintegrated	integrated
incidental	basic, core
bad	good
uncongenial	congenial
nonphilosophical	philosophical
prolife	pro-choice
indentured	unconstrained, carefree, unrestrained, free
catholic	agnostic
classy	vulgar, trashy
tinkering	dedicated, professional
conciliatory	uncompromising, implacable
dedicated	undedicated, indifferent, tinkering
tethered	untethered
elite	low_level
cleansing	contaminating, filthy
cosmopolitan	provincial
scented	odorless
alcoholic	teetotal, nonalcoholic
purposeles	intent
nonliteral	literal
foul-natured	goodnatured
inhibited	uninhibited
ignoble	honorable, sincere, commendable, virtuous, brave, exalted, kingly, heroic, titled, graceful, glorious, worthy, courageous, dignified, noble, humanitarian, elevated, inspiring, righteous, infallible, generous, selfless, pure, important
jealous	indifferent
swift	rambling, slowmoving, slow, plodding, sluggish
crafty	naive
drowsy	alert
hardy	fragile, delicate, tender, sensitive, weak
present	absent
punctual	tardy
manacled	unconstrained, carefree, unrestrained, free
inadvisable	prudent
dumb	intelligent, clever, ingenious, godly, smart
effectual	ineffective, ineffectual
neglected	privileged
daunting	easy
unscrupulous	honorable, scrupulous
narcissistic	devoted
uncalculating	calculative
thoughtprovoking	uninspiring
shady	bright, respected
portentous	insignificant
massive	tiny
planted	unplanted
north	south
dull	impressive, evanescent, sharp, brilliant, shining, boisterous, shimmery, heady, funky, blinding, dashing, lively, radiant, glowing, luminous, atmospheric, bright, sparkly, sporty, flashy, exhilarating, lustrous, spruce, exciting
proficient	incompetent
ill-tempered	goodnatured
twodimensional	onedimensional
undisturbed	disturbed, devastating
battered	conquering, winning
unconstrained	enslaved, shackled, oppressed, constrained, indentured, manacled, unfree, caged, chained, trapped
sartorial	shabby, tattered
cowed	reigning, leading, ruling
muted	loud, audible
inedible	delectable, edible
sinuous	arthritic, stiff
reverent	irreverent
dispossessed	possessed
hospitable	inhospitable
openminded	close_minded
euphonious	cacophonous
faddish	eternal, timeless
detached	attached
charging	retreating
stationary	mobile
spry	flatfooted, immobile, arthritic
unrecognizable	recognizable
mournful	joyful
clean-handed	guilty
hip	unfashionable
rosy	gloomy
pessimistic	irrepressible, optimistic
innumerate	numerate
vulgar	classy, courtly, chivalrous, poised, sophisticated, dignified, aristocratic
conclusive	inconclusive
unwholesome	wholesome
consecrated	unhallowed, damned, unholy, blasphemous, ungodly, cursed, impious
ingenuous	disingenuous, suspicious, sly, artful
colorless	vivid, brilliant, brown, colorful, blue, reddened, purple, yellow, golden, orange, pink, violet, colourful
yummy	disgusting
trained	uneducated, unskilled, untrained, inexperienced, talentless
consuming	insignificant
resonant	indistinct
evil	honorable, good, decent, godly, blameless, innocent, pure
mediate	immediate
unexciting	stimulating, exciting
evangelical	shy
involuntary	voluntary
plucked	feathery
heated	uncomfortable
sacred	profane
insatiable	undemanding, satisfied
remote	near, intimate, close
leathery	soft_skinned
useless	functional, working, worthy, efficacious
fecund	sterile
broke	rich, wealthy
nonmetallic	metallic
healthy	ill, sick, sickly, unhealthy, unfit, fattening, diseased
grungy	handsome
despairing	merry, happy, optimistic
gluttonous	abstemious
exploited	pampered, undeveloped, spoiled
unglazed	glazed
weighty	weightless
fatalistic	optimistic
innocuous	eminent, harmful, noxious, famous, important
duplicitous	honest, upfront
sunken	puffy, hefty
blasphemous	consecrated, holy
clearcut	convoluted
recognizable	indistinct, unrecognizable
spiritless	spirited
listless	determined, energetic
deafening	quiet
lightheaded	heavy
ergonomic	inefficient
undefeated	defeated
intrusive	unintrusive, noninvasive
surprising	unsurprising
biological	artificial, mechanical
philosophical	nonphilosophical, nonphilosophic
low-level	dominant
obnoxious	charming, charismatic
microscopic	huge
nonslippery	slippery, slippy
dissonant	sonorous, musical
high-level	lowlevel
staged	spontaneous, unscripted
changeable	immutable, changeless, unalterable, unchanging, unchangeable
meaningful	incongruous, meaningless, nonsensical
clear-skinned	spotted, spotty
unappealing	erotic, appealing, alluring, sympathetic, likable, handsome, likeable, enticing, tantalising
faint	incandescent
compliant	defiant, noncompliant, assertive, commanding
superstitious	rational
greedy	selfless, restrained
dated	modern
even	uneven
wonderful	dire, awful
rich	wretched, disadvantaged, broke, skint, downtrodden, humble, desperate, destitute, powerless, malnourished, homeless, impoverished, underprivileged, jobless, poor, miserable, lean
immortal	mortal
leading	cowed, subservient, fawning, subjugated, servile, subordinate, following, submissive, obedient
trembling	indomitable, valiant, undaunted, daring, fearless, courageous, bold
congenial	uncongenial, authoritarian
decorous	indelicate, crass
helpful	unhelpful
unclear	clear, well-defined
scarey	soothing, comforting
unclean	kingly, titled, clean, handsome, noble, godly
blind	clairvoyant, intuitive, sharpsighted, psychic, farseeing, visionary, sharpeyed, sighted
archaic	modern, fashionable
spotless	spattered, filthy, muddy
lyrical	shrill, cacophonous
damaging	harmless, fortunate
discreet	indiscreet, imposing
absorbing	watertight
gregarious	unsociable, gruff, antisocial
fantastic	banal, mundane
holey	whole
unreal	substantial, real, natural
scared	mighty, brave, valiant, daring, fearless, courageous, fierce, bold, powerful, intrepid
stoned	sober
insignificant	tremendous, crippling, great, formidable, portentous, consuming, prestigious, mighty, noticeable, magisterial, totemic, grand, awesome, lofty, majestic, significant, magnificent, important
irreplaceable	disposable, replaceable, expendable
self-centered	altruistic, selfless
meaningless	great, meaningful, grand
unrewarding	rewarding, lucrative
unencumbered	encumbered
compelling	boring
calloused	smooth
quirky	trite, conventional
rocky	smooth
epicurean	unsophisticated
amiable	hostile, gruff
rugged	fragile, frail, delicate
remarkable	unremarkable
peachy	rotten
dapper	shabby
empty	charged, stuffed, full, packed
eminent	inconspicuous, unremarkable, innocuous, anonymous, unimpressive
congested	vacant
tricky	predictable, simple
exotic	vanilla, mundane
disturbed	calm, undisturbed
unenlightened	enlightened
unformed	developed
scarce	abundant
definite	vague, indefinite
joyous	dour, joyless
instant	unresponsive
immediate	mediate
undemanding	overbearing, insatiable, demanding
humped	flat
worried	calm, happy
outrageous	unobtrusive
bustling	deserted
untrusting	gullible
possible	impossible
robust	fragile, frail, delicate
horny	passionless
jumpy	steady
graceless	graceful, poised
cuttingedge	old_fashioned
wholesome	unwholesome, unsavory, naughty
minimal	maximal
thin-skinned	hardshelled
deposed	conquering, dominating, reigning, controlling, enthroned, dominant, domineering, triumphant, ruling, crowned, powerful, commanding, throned
candid	camouflaged, coy
excited	passionless, unexcited
brooding	lighthearted
tender	harsh, hardy, pernicious, threatening, tough
scratchy	soothing
faithful	unfaithful, disloyal
inaccessible	accessible
fruitful	barren, infertile
reassuring	disconcerting, worrying, worrisome
mordant	glum
pointless	pointed, successful, majestic
tenuous	certain
incorrect	correct
satisfied	insatiable, hungry
automatic	manual
queasy	comfortable
conformist	subversive
cautious	reckless, intrepid
towering	stunted
shaggy	bare
crowded	uncrowded
emotionless	emotive, emotional
unaccommodating	accommodating
loathsome	handsome, attractive
neat	messy, untidy
skeptical	gullible, trusting, devoted
futile	successful, promising
near	remote
broad	narrow
nutritious	fattening
shining	dull
aromatic	stagnant, rank, noxious, foul-smelling
blue	colorless
lowlevel	high-level
nervous	happy, carefree
userfriendly	unusable, incomprehensible
uncoordinated	coordinated
unerring	sloppy
naked	reinforced, robed, overdressed
furious	calm
cowardly	meek, brave, fighting, valiant, heroic, courageous, bold
mercurial	thoughtful
erotic	unappealing
unsexy	sexy
inanimate	animated, animate
wimpish	indomitable
trivial	impressive, great, formidable, prestigious, grand, awesome, lofty, significant, important
charged	empty
choosy	indifferent
marked	unmarked
passe	historical, contentious
unmoving	moving
confining	luxurious, spacious
controlling	deposed, dethroned, toppled
reinforced	fragile, frail, naked, soft, unguarded, insecure, softened, weakened, vulnerable, defenseless
tempting	off-putting, unattractive
inadequate	worthy, adequate
appealing	unappealing, unsightly, threatening, slimy, despised, annoying, unsympathetic, unwanted, unlikable, unlikeable
captive	free
unwise	prudent
obscene	prudish
scattered	regimented
dumpy	beautiful
haunting	forgettable
prestigious	meek, lowly, despicable, insignificant, trivial, subservient, humble, inferior, worthless, poor, unimportant, submissive
astute	mindless, clueless, thoughtless
self-centred	altruistic, selfless
deformed	handsome
addicted	free
limp	firm, magisterial, lively, rigid, stiff, crisp, powerful, sporty
armored	fragile, unprotected, frail, dainty, unguarded, vulnerable, tinny, flimsy
brittle	sturdy, durable
unsightly	appealing, exquisite, graceful, radiant, beautiful, handsome, pretty, attractive, cute
impermanent	lasting, eternal, permanent
assuming	unassuming
insensible	sensitive, sensible
pampered	whipped, overworked, exploited, modest, self-effacing, humble, abused, exhausted, malnourished, unspoiled, harried, poor, overburdened, traumatized
luscious	dessicated
motionless	whirling, bouncy, active
mutable	immutable, changeless
uncommitted	committed, attached, determined
overseas	domestic
inconsiderable	considerable
gifted]	untalented
musty	fresh
hands-off	manipulative
western	eastern
salient	irrelevant
taxing	easy
enthralling	boring
rewarding	punishing, unrewarding
maladroit	agile, adroit
unnatural	natural
flawed	faultless, flawless
infamous	respected, beloved, famous
minor	great, sweeping, worldshaking, grand, major, encompassing
brunette	blond, blonde
unnoticeable	noticeable
streamlined	clunky
acrobatic	arthritic, stiff
overstated	understated
unmeasured	measured
secular	religious
new	old, worn
